Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
165	who?	BAI	Bhumij	Baigodia	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	CHA	Bhumij	Champi	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	DIG	Bhumij	Dighinuasahi	yes	66	61	right	ɔkɑje	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	DUM	Bhumij	Dumadie	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	LAD	Bhumij	Ladhiramsai	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	MAD	Bhumij	Madhupur	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	MOH	Bhumij	Mohuldiha	yes	66	61	right	ɔkɑj	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	MUN	Bhumij	Munduy	yes	66	61	right	ɔkoje	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	POD	Bhumij	Podadiha	yes	66	61	right	okojɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
165	who?	UDA	Bhumij/Mundari	Udala	yes	66	61	right	okoe	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with dental marks, vowel quality, nasals, continuations, and the page break rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
