Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
182	eat!, he ate	BAI	Bhumij	Baigodia	yes	70	65	left	dʒʌmeme, dʒʌmlɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	CHA	Bhumij	Champi	yes	70	65	left	dʒomeme, dʒomkijɑ | dʒʌmem, dzʌmkeɑj	1 | 1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	DIG	Bhumij	Dighinuasahi	yes	70	65	left			source_blank	high	source explicitly prints '0 no entry'	manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	DUM	Bhumij	Dumadie	yes	70	65	left	dʒʌmeme, dʒomlijɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	LAD	Bhumij	Ladhiramsai	yes	70	65	left	dʒomʌm, dʒomled̪ɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	MAD	Bhumij	Madhupur	yes	70	65	left	dʒomeme, dʒomkijɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	MOH	Bhumij	Mohuldiha	yes	70	65	left	dʒomem, dʒomle	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	MUN	Bhumij	Munduy	yes	70	65	left	dʒomem, nukud̪e	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	POD	Bhumij	Podadiha	yes	70	65	left	dʒomeme, dʒomlijɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
182	eat!, he ate	UDA	Bhumij/Mundari	Udala	yes	70	65	left	dʒommem, dʒomkid̪ɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with commas, dental marks, and the unlabeled continuation rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
