Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
191	it burns, it burned	BAI	Bhumij	Baigodia	yes	72	67	left	sɑl gɑeme, sɑl gookidɑ	3	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	CHA	Bhumij	Champi	yes	72	67	left	dʒulime, dʒulijɑe	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	DIG	Bhumij	Dighinuasahi	yes	72	67	left			source_blank	high	source explicitly prints '0 no entry'	manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	DUM	Bhumij	Dumadie	yes	72	67	left	dʒullem, dʒulliɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	LAD	Bhumij	Ladhiramsai	yes	72	67	left	lot̪ʔn̩me, loleŋɑ	2	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	MAD	Bhumij	Madhupur	yes	72	67	left	dʒulkijɑe	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	MOH	Bhumij	Mohuldiha	yes	72	67	left	dʒuluwɑ, dʒuʔlenɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	MUN	Bhumij	Munduy	yes	72	67	left	dʒult̪enɑ, hɛt̪ɑrdʒɑnɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	POD	Bhumij	Podadiha	yes	72	67	left	dʒulem, dʒullinɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
191	it burns, it burned	UDA	Bhumij/Mundari	Udala	yes	72	67	left	dʒulkidɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with dental marks, syllabic nasal, glottal stops, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
