Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
189	sit down!, he sat down	BAI	Bhumij	Baigodia	yes	71	66	right	d̪upme, d̪upkenɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	CHA	Bhumij	Champi	yes	71	66	right	d̪upme, d̪upkene	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	DIG	Bhumij	Dighinuasahi	yes	71	66	right			source_blank	high	source explicitly prints '0 no entry'	manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	DUM	Bhumij	Dumadie	yes	71	66	right	d̪upme, d̪ublinɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	LAD	Bhumij	Ladhiramsai	yes	71	66	right	d̪ubʔmeʔ, d̪uβɑkɑn tɑikinʌ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	MAD	Bhumij	Madhupur	yes	71	66	right	d̪ud̪upme, d̪ud̪up dʒɑnɑe	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	MOH	Bhumij	Mohuldiha	yes	71	66	right	d̪ud̪uʔme, edʒd̪d̪uʔlenɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	MUN	Bhumij	Munduy	yes	71	66	right	d̪uʔme, d̪ugdʒenɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	POD	Bhumij	Podadiha	yes	71	66	right	dud̪upme, dud̪uplinɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
189	sit down!, he sat down	UDA	Bhumij/Mundari	Udala	yes	71	66	right	dubme, dubjɑnɑ	1	attested	high		manual visual inspection of the 400-dpi rendered PDF page with repeated dental marks, glottal stops, beta, and continuations rechecked at 800 dpi; OCR/PDF text neither supplied nor verified any reading	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
