Item	Site	Response	Transcription	Review	Uncertainty
1	KUN	1	oɖʌmbɨ	reviewed	source-raster-coronal
1	KOL	1	oɖʌmbɨ	reviewed	source-raster-coronal
1	CHE	1	oɖʌlɨ	reviewed	source-raster-coronal
1	KIL	1	oɖʌmbu	reviewed	source-raster-coronal
1	MET	1	oɖʌmbu	reviewed	source-raster-coronal
1	CHO	1	oɖʌmbu	reviewed	source-raster-coronal
1	MAV	1	oɖʌmbɨ	reviewed	source-raster-coronal
1	ANA	1	oɖʌmbu	reviewed	source-raster-coronal
1	BOO	1	mʌj	reviewed	
1	THA	1	oɖʌmbu	reviewed	source-raster-coronal
1	NEL	1	oɖʌmbɨ	reviewed	source-raster-coronal
2	KUN	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	KOL	1	t̪ɛle	reviewed	source-raster-coronal
2	CHE	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	KIL	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	MET	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	CHO	1	t̪ʌle	reviewed	source-raster-coronal
2	MAV	1	t̪ɛle	reviewed	source-raster-coronal
2	ANA	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	BOO	1	t̪ʌlʌ	reviewed	source-raster-coronal
2	THA	1	t̪ʌlɛ	reviewed	source-raster-coronal
2	NEL	1	t̪ɛle	reviewed	source-raster-coronal
3	KUN	1	mʌɳɖe	reviewed	source-raster-coronal
3	KOL	1	mʌɳɖe	reviewed	source-raster-coronal
3	CHE	1	mʌɳɖe	reviewed	source-raster-coronal
3	KIL	1	mʌɳɖe	reviewed	source-raster-coronal
3	MET	1	mʌɳɖe	reviewed	source-raster-coronal
3	CHO	1	mʌɳɖe	reviewed	source-raster-coronal
3	MAV	1	mʌɳɖe	reviewed	source-raster-coronal
3	ANA	1	kuɖulɨ	reviewed	source-raster-coronal
3	BOO	1	kuɖɨlɨ	reviewed	source-raster-coronal
3	THA	1	mehɨɾɨ	reviewed	
3	NEL	1	mʌjɨɾɨ	reviewed	
4	KUN	1	mon̪d̪ɛ	reviewed	source-raster-coronal
4	KOL	1	mon̪d̪e	reviewed	source-raster-coronal
4	CHE	1	mon̪d̪ɛ	reviewed	source-raster-coronal
4	KIL	1	mon̪d̪ɛ̃	reviewed	source-raster-coronal; source-raster-nasalization
4	MET	1	non̪d̪e	reviewed	source-raster-coronal
4	CHO	1	mon̪d̪e	reviewed	source-raster-coronal
4	MAV	1	mon̪d̪e	reviewed	source-raster-coronal
4	ANA	1	mon̪d̪ʌ	reviewed	source-raster-coronal
4	BOO	1	mokka	reviewed	
4	THA	1	muɲʤi	reviewed	source-raster-affricate
4	NEL	1	muɲʤi	reviewed	source-raster-affricate
5	KUN	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	KOL	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	CHE	1	kʌɳɳi	reviewed	source-raster-coronal
5	KIL	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	MET	1	kʌɳɳu	reviewed	source-raster-coronal
5	CHO	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	MAV	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	ANA	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	BOO	1	kɛɳɳɨ	reviewed	source-raster-coronal
5	THA	1	kʌɳɳɨ	reviewed	source-raster-coronal
5	NEL	1	kʌɳɳɨ	reviewed	source-raster-coronal
6	KUN	1	kaɖɨ	reviewed	source-raster-coronal
6	KOL	1	kaɖɨ	reviewed	source-raster-coronal
6	CHE	1	kaɖɨ	reviewed	source-raster-coronal
6	KIL	1	kaɖɨ	reviewed	source-raster-coronal
6	MET	1	kaɖu	reviewed	source-raster-coronal
6	CHO	1	kaɖɨ	reviewed	source-raster-coronal
6	MAV	1	kaɖu	reviewed	source-raster-coronal
6	ANA	1	kaɖɨ	reviewed	source-raster-coronal
6	BOO	1	kimi	reviewed	
6	THA	1	kaɖɨ	reviewed	source-raster-coronal
6	NEL	1	kaɖɨ	reviewed	source-raster-coronal
7	KUN	1	mukku	reviewed	
7	KOL	1	mukku	reviewed	
7	CHE	1	mukku	reviewed	
7	KIL	1	muku	reviewed	
7	MET	1	mukku	reviewed	
7	CHO	1	mukkɨ	reviewed	
7	MAV	1	muku	reviewed	
7	ANA	1	mukkɨ	reviewed	
7	BOO	1	mugu	reviewed	
7	THA	1	mukku	reviewed	
7	NEL	1	mukkɨ	reviewed	
8	KUN	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	KUN	2	ʋʌi	reviewed	
8	KOL	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	CHE	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	KIL	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	MET	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	CHO	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	MAV	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	ANA	1	ʋʌi	reviewed	
8	BOO	1	bʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	THA	1	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	NEL	1	ʋʌi	reviewed	
9	KUN	1	pʌllɨ	reviewed	
9	KOL	1	pʌllɨ	reviewed	
9	CHE	1	pʌllɨ	reviewed	
9	KIL	1	pʌllɨ	reviewed	
9	MET	1	pʌllɨ	reviewed	
9	CHO	1	pʌllɨ	reviewed	
9	MAV	1	pʌllu	reviewed	
9	ANA	1	pʌllɨ	reviewed	
9	BOO	1	ʌllɨ	reviewed	
9	THA	1	pʌllɨ	reviewed	
9	NEL	1	pʌllɨ	reviewed	
10	KUN	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	KOL	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	CHE	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	KIL	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	MET	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	CHO	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	MAV	1	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	ANA	1	nɑɭʌŋgʌ	reviewed	source-raster-coronal
10	BOO	1	nɑluɡʌ	reviewed	source-raster-coronal
10	THA	1	nɑkkɨ	reviewed	
10	NEL	1	nɑkkɨ	reviewed	
11	KUN	1	ʋəɾɨ	reviewed	source-raster-vowel
11	KOL	1	ʋəɾɨ	reviewed	source-raster-vowel
11	CHE	1	ʋəɾɨ	reviewed	source-raster-vowel
11	KIL	1	ʋoɾu	reviewed	
11	MET	1	ʋəɾɨ	reviewed	source-raster-vowel
11	CHO	1	ʋəɾɨ	reviewed	source-raster-vowel
11	MAV	1	ʋəɾɨ	reviewed	source-raster-vowel
11	ANA	1	ʋəɾɨ	reviewed	source-raster-vowel
11	BOO	1	ʋʌʈʈʌ	reviewed	source-raster-coronal
11	THA	1	ʋəɾɨ	reviewed	source-raster-vowel
11	NEL	1	ʋʌjiɾɨ	reviewed	
12	KUN	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	KOL	1	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	CHE	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	KIL	1	koɪ	reviewed	source-raster-legacy-glyph-ɪ
12	MET	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	CHO	1	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	MAV	1	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	ANA	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	BOO	1	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	THA	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	NEL	1	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
