Item	Gloss	Site	Response	Group	PDF_Page	Printed_Page	Column	Raw_OCR	Palakkad_Kunjapana_Control	Transcription	Review	Uncertainty
1	body	KUN	1	1	30	25	1	odambi	bɛnnɨ	oɖʌmbɨ	reviewed	source-raster-coronal
1	body	KOL	1	1	30	25	1	odambi	bɛnnɨ	oɖʌmbɨ	reviewed	source-raster-coronal
1	body	CHE	1	2	30	25	1	odali	bɛnnɨ	oɖʌlɨ	reviewed	source-raster-coronal
1	body	KIL	1	1	30	25	1	odambu	bɛnnɨ	oɖʌmbu	reviewed	source-raster-coronal
1	body	MET	1	1	30	25	1	odambu	bɛnnɨ	oɖʌmbu	reviewed	source-raster-coronal
1	body	CHO	1	1	30	25	1	odambu	bɛnnɨ	oɖʌmbu	reviewed	source-raster-coronal
1	body	MAV	1	1	30	25	1	odambé	bɛnnɨ	oɖʌmbɨ	reviewed	source-raster-coronal
1	body	ANA	1	1	30	25	1	odambu	bɛnnɨ	oɖʌmbu	reviewed	source-raster-coronal
1	body	BOO	1	3	30	25	1	ma‘	bɛnnɨ	mʌj	reviewed	
1	body	THA	1	1	30	25	1	odambu	bɛnnɨ	oɖʌmbu	reviewed	source-raster-coronal
1	body	NEL	1	1	30	25	1	odambi	bɛnnɨ	oɖʌmbɨ	reviewed	source-raster-coronal
2	head	KUN	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	KOL	1	1	30	25	1	tele	tɛ̪le	t̪ɛle	reviewed	source-raster-coronal
2	head	CHE	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	KIL	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	MET	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	CHO	1	1	30	25	1	tale	tɛ̪le	t̪ʌle	reviewed	source-raster-coronal
2	head	MAV	1	1	30	25	1	tele	tɛ̪le	t̪ɛle	reviewed	source-raster-coronal
2	head	ANA	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	BOO	1	1	30	25	1	tala	tɛ̪le	t̪ʌlʌ	reviewed	source-raster-coronal
2	head	THA	1	1	30	25	1	tale	tɛ̪le	t̪ʌlɛ	reviewed	source-raster-coronal
2	head	NEL	1	1	30	25	1	tele	tɛ̪le	t̪ɛle	reviewed	source-raster-coronal
3	hair	KUN	1	1	30	25	1	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	KOL	1	1	30	25	1	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	CHE	1	1	30	25	1	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	KIL	1	1	30	25	1	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
