@@ pdf30-p25-c1
Appendix B: Irula wordlis
l. body
KUN 1 odambi
KOL 1 odambi
CHE 2 odali
KIL 1 odambu
MET 1 odambu
CHO 1 odambu
MAV 1 odambé
ANA 1 odambu
BOO 3 ma‘
THA 1 odambu
NEL 1 odambi
CBT 1 oqamb:
MAD 5 wudal
KAN 6 deha
BAD 8 gdirega
ALU 7 wuru
BET 8 terige
JEN 3 ma‘
2. head
KUN 1 tale
KOL 1 tele
CHE 1 tale
KIL 1 tale
MET 1 tale
CHO 1 tale
MAV 1 tele
ANA 1 tale
BOO 1 tala
THA 1 tale
NEL 1 tele
CBT 1 tala‘
MAD 1 tala'
KAN 1 tale
BAD 2 mand2
ALU 2 mande
BET 2 mande
JEN 1 tale
3. hair
KUN 1 mande
KOL 1 mande
CHE 1 mande
KIL 1 mande
MET 1 mande

@@ pdf30-p25-c2
S
CHO 1 mande
MAV 1 mande
ANA 2 kuduli
BOO 2 kud4lé
THA 3 mehiré
NEL 3,7 majiri
CBT 6 mudi
MAD 7 majic
KAN 2 ku:dalu
BAD 4 woarama
ALU 2 ku:dalu
BET 5 kuru
JEN 2 kudulu
4. face
KUN 1 monde
KOL 1 monde
CHE 1 monde
KIL 1 monde,
MET 1 nonde
CHO 1 monde
MAV 1 monde
ANA 1 monda
BOO 2 mokka
THA 7 munsi
NEL 7 munzi
CBT 6 muham
MAD 5,6 mugam
KAN 2,4 muka
BAD 1 monde
ALU 4,5 moga
BET 8 more
JEN 2 mokka
5. eye
KUN 1 knné
KOL 1 kKanni
CHE 1 kanni
KIL 1 kanni
MET 1 kannu
CHO 1 Kanni
MAV 1 kanni
ANA 1 kanni
BOO 1 kenni
THA 1 kanni
NEL 1 kanné
CBT 1 kanni

25

@@ pdf30-p25-c3
MAD 2 kan
KAN 1 kannu
BAD 1 kannu
ALU 1 kKannu
BET 1 kKannu
JEN 1 kannu
6. ear

KUN 1 kadé
KOL 1 kadéd
CHE 1 kadi
KIL 1 kadé
MET 1 kadgu
CHO 1 kadé
MAV 1 kadu
ANA 1 kad:
BOO 2 kimi
THA 1 kad:
NEL 1 kadé
CBT 1 kad:
MAD 1 kadu
KAN 2,3 kivi
BAD    missing data
ALU 3 kevi
BET 4 kiviye
JEN 3 kivi
7. nose

KUN 1 mukku
KOL 1 mukku
CHE 1 mukku
KIL 1 muku
MET 1 mukku
CHO 1 mukké
MAV 1 muku
ANA 1 mukki
BOO 1 mugu
THA 1 mukku
NEL 1 mukké
CBT 1 mukk4
MAD 1 mu:kku
KAN 1 mu:gu
BAD 1 mu:kku
ALU 1 mu:ku
BET 1 mu:kku
JEN 1 mu:kku

@@ pdf31-p26-c1
8. mouth
KUN 1 va

1 vai
KOL 1 pa’
CHE 1 va’
KIL 1 va'
MET 1 va’
CHO 1 va'
MAV 1 va’
ANA 1 vai
BOO 3 ba’
THA 1 vpa'
NEL 1 vai
CBT 1 vai
MAD 1 va'
KAN 5 baji
BAD 6 ba
ALU 5 baji
BET 5 baje
JEN 5 baji
9. teeth
KUN 1 palli
KOL 1 pallé4
CHE 1 pallia
KIL 1 pallé
MET 1 pallé
CHO 1 palléd
MAV 1 pallu
ANA 1 pall
BOO 1 alls
THA 1 palli
NEL 1 palli
CBT 1 palli
MAD    missing data
KAN    missing data
BAD i hallu
ALU 1 hallu
BET 1 pallu
JEN 1 allu
10. tongue
KUN 1 nalange
KOL 1 nalange
CHE 1 nalange
KIL 1 nalange
MET 1 nalange
CHO 1 nalange
MAV 1 nalange
ANA 1 nalanga
BOO 1 naluga
THA 2 nakki
NEL 2 nakki
CBT 2 nakké

@@ pdf31-p26-c2
MAD 2 nakku
KAN 1 nalige
BAD 1 nalenge
ALU 1 nalange2
BET 4 nelufi
JEN 1 nalegge
ll. belly

KUN 1 verd
KOL 1 veréd
