Codepoint	Byte	Unicode	Glyph	Occurrences
U+F001	0x53	U+0283	ʃ	488
U+F002	0x64	U+0064	d	282
U+F003	0x5A	U+0292	ʒ	125
U+F004	0x20	U+0020	SPACE	312
U+F005	0x61	U+0061	a	1470
U+F006	0x6B	U+006B	k	786
U+F007	0x72	U+0072	r	336
U+F008	0x81	U+0268	ɨ	173
U+F009	0x76	U+0076	v	74
U+F00A	0x6E	U+006E	n	873
U+F00B	0x68	U+0068	h	915
U+F00C	0x8A	U+0254	ɔ	392
U+F00D	0x21	U+02D0	ː	321
U+F00E	0x69	U+0069	i	1278
U+F00F	0x84	U+0259	ə	373
U+F010	0xB4	U+0301	◌́	162
U+F011	0x75	U+0075	u	928
U+F012	0x6F	U+006F	o	558
U+F013	0x74	U+0074	t	869
U+F014	0xD0	U+0303	◌̃	141
U+F015	0x6C	U+006C	l	506
U+F016	0xEB	U+032F	◌̯	905
U+F017	0x52	U+027E	ɾ	59
U+F018	0x66	U+0066	f	24
U+F019	0x45	U+025B	ɛ	396
U+F01A	0x41	U+0251	ɑ	223
U+F01B	0x73	U+0073	s	57
U+F01C	0x6D	U+006D	m	498
U+F01D	0x67	U+0067	g	39
U+F01E	0xA4	U+014B	ŋ	436
U+F01F	0x70	U+0070	p	370
U+F020	0x62	U+0062	b	182
U+F021	0x49	U+026A	ɪ	134
U+F022	0x98	U+0288	ʈ	66
U+F023	0x48	U+0294	ʔ	255
U+F024	0x6A	U+006A	j	64
U+F025	0x80	U+0153	œ	3
U+F026	0x65	U+0065	e	208
U+F027	0x79	U+0079	y	53
U+F028	0x40	U+031A	◌̚	63
U+F029	0xAF	U+0308	◌̈	4
U+F02A	0x2F	U+002F	/	13
U+F02B	0x7D	U+027D	ɽ	29
U+F02C	0xB0	U+0304	◌̄	11
U+F02D	0x89	U+028C	ʌ	14
U+F02E	0xB8	U+0301	◌́	9
U+F02F	0x87	U+0289	ʉ	11
U+F030	0x77	U+0077	w	38
U+F031	0x99	U+0256	ɖ	10
U+F032	0xBA	U+0300	◌̀	72
U+F033	0x2E	U+002E	.	29
U+F034	0x3C	U+0278	ɸ	3
U+F035	0x4E	U+0274	ɴ	1
U+F036	0x28	U+0028	(	184
U+F037	0x29	U+0029	)	184
U+F038	0xAE	U+0329	◌̩	1
U+F039	0x51	U+00E6	æ	8
U+F03A	0xBC	U+0300	◌̀	1
U+F03B	0x9D	U+0272	ɲ	2
U+F03C	0x90	U+026C	ɬ	1
U+F03D	0x3E	U+0276	ɶ	1
U+F03E	0xCE	U+0306	◌̆	1
U+F03F	0xCA	U+0302	◌̂	2
U+F040	0x88	U+026F	ɯ	1
U+F041	0xA3	U+0263	ɣ	2
