ID,Parameter_ID,Form,Morphology,Gloss,Reason
d8-1,d8,akal,"(akalv-, akaṉṟ-)","to spread, widen, extend, depart, go away",unclassified full-stem or irregular paradigm
d49-2,d49,accu-kkaṭṭu,(-kkaṭṭi-),to form a ridge around a field,unclassified full-stem or irregular paradigm
d120-17,d120,fem. aṇukki; aṇṇu,(aṇṇi-),"to approach, draw near, join, unite with",unclassified full-stem or irregular paradigm
d164-1,d164,amal,"(amalv-, amaṉṟ-)","to be close, thickly grown; <i>n.</i> fulness",unclassified full-stem or irregular paradigm
d227-1,d227,aruḷ,(aruḷi-),"to be gracious to, favour, speak graciously, command, grant, bestow; <i>n.</i> grace, mercy, favour, benevolence, good deeds, order, command",unclassified full-stem or irregular paradigm
d276-1,d276,ar̤al,"(ar̤alv-, ar̤aṉṟ-)","to burn, glow, shine, be acrid, become angry, envy; <i>n.</i> fire, flame, heat, pungency, rage",unclassified full-stem or irregular paradigm
d276-12,d276,ar̤ukkaṟu,(ar̤akkaṟi-),to be envious,unclassified full-stem or irregular paradigm
d333-1,d333,ā,"(āṉ-, āyi-)","to come into existence, happen, be, be fit, agreeable, be like, equal",unclassified full-stem or irregular paradigm
d374-1,d374,ār-āṭṭu,(-āṭṭi-),to lull to sleep,unclassified full-stem or irregular paradigm
d405-1,d405,āṟu,(obl. āṟṟu-),"way, road, path, means, manner, method",unclassified full-stem or irregular paradigm
d413-1,d413,ikal,"(ikalv-, ikaṉṟ-; ikali-)","to disagree, hate, be inimical, compete; <i>n.</i> enmity, hatred, battle, war",unclassified full-stem or irregular paradigm
d413-5,d413,ical,(icali-),"to be in disagreement with one another, wrangle",unclassified full-stem or irregular paradigm
d456-1,d456,iṇar,(iṇari-),"to be dense; <i>n.</i> a cluster of flowers, full-blown flower, pollen, bunch of fruit",unclassified full-stem or irregular paradigm
d469-6,d469,iyal,"(iyalv-, iyaṉṟ-; iyali-)","to go on foot, dance; <i>n.</i> pace, gait",unclassified full-stem or irregular paradigm
d471-1,d471,iyal,"(iyalv-, iyaṉṟ-; iyali-)","to be possible, befall, be associated with; accept, agree to, approach, resemble; <i>n.</i> fitness, good conduct, likeness, nature, quality",unclassified full-stem or irregular paradigm
d515-4,d515,eṟt-,(eṟty-),"to overcome in contest, outstrip",unclassified full-stem or irregular paradigm
d539-1,d539,īṇṭu,(īṇṭ-),"to gouge, extract, pull out. ?",unclassified full-stem or irregular paradigm
d562-1,d562,uku,"(ukuv-, ukk-)","to be shed as feathers or hair, be spilled, gush forth, fall down, die, set; (-pp-, -tt-) to let fall, spill, scatter, cast, shed as leaves or feathers, shed (fear), pour out",unclassified full-stem or irregular paradigm
d664-1,d664,uruḷ,"(uruḷv-, uruṇṭ-)","to roll, tumble over and over, revolve (as a wheel), spin, become round, globular; <i>n.</i> car wheel, wheeled vehicle",unclassified full-stem or irregular paradigm
d664-67,d664,uruḷ,"(uruḷv-, uruṇṭ-)","to roll, tumble over and over, revolve (as a wheel), spin, become round, globular; <i>n.</i> car wheel, wheeled vehicle",unclassified full-stem or irregular paradigm
d689-2,d689,uḷar,"(-v-, -nt-; uḷari-)","to spread out and draw the fingers through (as in drying wet hair), adjust or smooth out as birds their feathers",partially classified paradigm
d712-6,d712,hunning,"(hur-, hutt-)","(MBE 1962, p. 62; <i>BDCG</i>, § 3.16 and n. 11). DED(S) 610",unclassified full-stem or irregular paradigm
d731-6,d731,uyal,"(uyalv-, uyaṉṟ-)","to wave, shake",unclassified full-stem or irregular paradigm
d851-6,d851,er̤umpu (er̤umpi-) = er̤u; empu,(empi-),"to rise, spring up",unclassified full-stem or irregular paradigm
d851-86,d851,er̤umpu (er̤umpi-) = er̤u; empu,(empi-),"to rise, spring up",unclassified full-stem or irregular paradigm
d906-1,d906,ēl,"(ēṟp-, ēṟṟ-; ēlv-, ēṉṟ-)","to oppose in battle, encounter (as a foe)",unclassified full-stem or irregular paradigm
d916-5,d916,ēl,"(ēṟp-, ēṟṟ-; ēlv-, ēṉṟ-)","to be excessive, abound; awake from sleep; bear, lift up, carry",unclassified full-stem or irregular paradigm
d969-1,d969,oṇtu,(oṇṭi-),"to take shelter, conceal oneself (as a person to shoot game), lurk (as an animal for prey)",unclassified full-stem or irregular paradigm
d1288-1,d1288,karumpu,(in cpds. karuppu-),sugar-cane,unclassified full-stem or irregular paradigm
d1298-1,d1298,kal,"(kaṟ-, kaṉ-)","stone, pebble, boulder, precious stone, milestone",unclassified full-stem or irregular paradigm
d1328-1,d1328,kaval,"(kavalv-, kavaṉṟ-)","care, anxiety, distress, concern, interest, fear",unclassified full-stem or irregular paradigm
d1349-1,d1349,kar̤al,"(kar̤alv-, kar̤aṉṟ-)","to become loose (as a fastening, shoe, handle, hair, part of any mechanism), be unhinged, slip off, slough off, become extricated, disentangled, be put out of joint, fall out (as a loose tooth)",unclassified full-stem or irregular paradigm
d1350-1,d1350,kar̤al,"(kar̤alv-, kar̤aṉṟ-)","to protrude, bulge out, pass through (as an arrow)",unclassified full-stem or irregular paradigm
d1356-8,d1356,kar̤al,"(kar̤alv-, kar̤aṉṟ-)","to pass away, disappear, be expended",unclassified full-stem or irregular paradigm
d1404-7,d1404,kañal,"(kañalv-, kañaṉṟ-)","to be close, crowded, densely packed",unclassified full-stem or irregular paradigm
d1406-1,d1406,kaṉal,"(kaṉalv-, kaṉaṉṟ-)","to be hot, boil, be angry; burn <i>",unclassified full-stem or irregular paradigm
d1438-1,d1438,kāṭu,(obl. kāṭṭu-),"forest, jungle, desert",unclassified full-stem or irregular paradigm
d1477-1,d1477,kāl,"(kālv-, kāṉṟ-)","to vomit, disgorge",unclassified full-stem or irregular paradigm
d1478-1,d1478,kāl,"(kālv-, kāṉṟ-)","to flow (as saliva from mouth, blood from a vein, tears from eyes), leap forth as a waterfall",unclassified full-stem or irregular paradigm
d1564-5,d1564,cuṛaṇṭu,(cuṟaṇṭi-),"to scratch, scrape with fingernail or instrument, erase",unclassified full-stem or irregular paradigm
d1622-1,d1622,kīḷ,"(kīḷv-, kīṇṭ-)","to rend (<i>tr.</i>), tear, split; burst (<i>intr.</i>, as bund of an overfull tank); <i>n.</i> part, portion, section",unclassified full-stem or irregular paradigm
d1624-4,d1624,kīl,"(kīlv-, kīṉṟ-)","to rend (<i>tr.</i>), tear",unclassified full-stem or irregular paradigm
d1750-1,d1750,kump-iṭu,"(iṭuv-, iṭṭ-)","to join hands in worship, make obeisance with the hands joined and raised, beg, entreat; <i>n.</i> worship",unclassified full-stem or irregular paradigm
d1763-1,d1763,kuyil,"(kuyilv-, kuyiṉṟ-)","to bore, perforate, tunnel; <i>n.</i> hole, perforation",unclassified full-stem or irregular paradigm
d1764-2,d1764,Eudynamis honorata;,"(kuyilv-, kuyiṉṟ-)","to call, whoop, halloo; utter, tell",unclassified full-stem or irregular paradigm
