Proto_Nuristani_ID,Proto_Nuristani_Form,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Target_Language,Target_Form,Target_Gloss,Form_Similarity,Gloss_Overlap,Score,Runner_Up_Score,Structural_ID
n10,paṭa,7699,paṭṭa,"slab, tablet; leaf; metal plate",OIA,paṭṭa-,slab; tablet,1.000,slab;tablet,1.200,1.000,7699
n11,paṭa-,7699,paṭṭa,"slab, tablet; leaf; metal plate",OIA,paṭṭa-,slab; tablet,1.000,slab;tablet,1.200,1.000,7699
n12,paṭa-,7699,paṭṭa,"slab, tablet; leaf; metal plate",OIA,paṭṭa-,slab; tablet,1.000,slab;tablet,1.200,1.000,7699
n13,ače˜-paṭ,7699,paṭṭa,"slab, tablet; leaf; metal plate",OIA,paṭṭa-,slab; tablet,1.000,slab;tablet,1.200,1.000,7699
n16,peć,7949,parśu,axe,PAr,parču-,axe,0.800,axe,1.050,0.977,7949
n17,pr̥ć,7949,parśu,axe,PAr,parču-,axe,0.800,axe,1.050,0.977,7949
n21,piače˜,7730,*pativēcya,to be sifted; sieve,OIA,pati-več-ya-,be sifted,1.000,sifted,1.200,1.139,7730
n29,pâc̣anna,8026,pākṣika,favouring a party,OIA,pâkṣ-i-ka-,favoring a party,1.000,party,1.200,1.033,8026
n30,"pac̣anna-
vani",8026,pākṣika,favouring a party,OIA,pâkṣ-i-ka-,favoring a party,1.000,party,1.200,1.033,8026
n32,pâla,8034,pāṭali,Bignonia or Stereospermum suaveolens,OIA,pâṭali-,kind of tree,1.000,,1.000,0.857,8034
n33,pâṛa,8034,pāṭali,Bignonia or Stereospermum suaveolens,OIA,pâṭali-,kind of tree,1.000,,1.000,0.857,8034
n41,pâṇḍau,8048,pāṇḍava,the five sons of Pāṇḍu,OIA,pânḍava-,Panḍava,1.000,,1.000,0.857,8048
n45,pič,8154,piccʰā,scum of boiled rice; slimy saliva; gum of Bombax heptaphyllum,OIA,piččha-:-,scum of boiled rice,0.909,boiled;rice;scum,1.109,0.909,8154
n50,pit,8181,pittá,bile,OIA,pitt′a-,bile,1.000,bile,1.250,1.109,8181
n55,piṛi,8228,pīḍita,"pressed, squeezed; a method of coitus",PAr,pi:ḍ-i-ta-,pressed; fucked,1.000,pressed,1.200,0.969,
n62,püṇḍ,8242,pī́van,"well-nourished, abundant",PAr,p′i:-van-,well-nourished; fat,1.000,nourished;well,1.200,0.800,
n70,piša-,14694,piṣṭá,,PAr,pi˜š-′a-,grind,0.889,,0.889,0.889,
n74,puaći,7652,*paccʰi,basket,PAr,pauči:-,pine,0.800,,0.800,0.800,
n78,paćâ,7986,paśupā́,herdsman,PAr,paču-p′â-,herdsman,0.833,herdsman,1.083,0.964,
n80,pašpâ,7986,paśupā́,herdsman,OIA,pašu-p′â-,herdsman,1.000,herdsman,1.250,1.107,
n85,pača-,7654,pacyátē,"is cooked, is digested; becomes ripe",OIA,pač-y′a-te,is cooked; becomes ripe,1.000,becomes;cooked;is;ripe,1.200,1.033,
n88,-pak,7621,pakvá,"cooked, ripe; cooked food; ripe corn",PAr,pak-v′a-,cooked; ripe,1.000,cooked;ripe,1.200,0.969,
n89,paka-,7621,pakvá,"cooked, ripe; cooked food; ripe corn",PAr,pak-v′a-,cooked; ripe,1.000,cooked;ripe,1.200,0.969,
n90,pakʷe-,7621,pakvá,"cooked, ripe; cooked food; ripe corn",PAr,pak-v′a-,cooked; ripe,1.000,cooked;ripe,1.200,0.969,
n104,pra-,14686,pāra-,,PAr,pr′a,forward,0.857,,0.857,0.857,
n107,pa-,8540,práti,"towards, against; near, beside",PAr,pr′a-ti,towards; against,1.000,against;towards,1.200,0.914,
n113,pau,8343,pū́rva,"fore, first, eastern, ancient",PAr,pr̥:-va-,fore; first; ancient,0.889,ancient;first;fore,1.089,0.800,
n118,pâr-,8106,pāyáyati,"brings over, rescues, brings to an end; is a match for; is capable of",OIA,pâr-′aya-ti,brings over; brings to an end,0.875,brings;end;over,1.075,1.075,
n121,pâr,7918,parṇá,"RV.,; lex., m.; RV. 2. <b>pārṇa-</b>; TāṇḍBr.,",PAr,parn′a-,plumage; foliage,1.000,,1.000,0.909,
n123,pâṭ,7918,parṇá,"RV.,; lex., m.; RV. 2. <b>pārṇa-</b>; TāṇḍBr.,",OIA,parṇ′a-,plumage; foliage,1.000,,1.000,0.909,
n127,pând,7918,parṇá,"RV.,; lex., m.; RV. 2. <b>pārṇa-</b>; TāṇḍBr.,",OIA,parṇ′a-,plumage; foliage,1.000,,1.000,0.909,
n131,pâṣu,7948,párśu,rib,PAr,p′aršu-,rib,1.000,rib,1.250,1.000,
n132,pâṣu-âṭi,7948,párśu,rib,PAr,p′aršu-,rib,1.000,rib,1.250,1.000,
n133,pâṣu-čaṭ,7948,párśu,rib,PAr,p′aršu-,rib,1.000,rib,1.250,1.000,
n136,pâṣu,8118,pārśvá,"region of the ribs, side; nearness; rib",PAr,pâršv-′a-,region of the ribs; side,1.000,region;ribs;side,1.200,1.057,
n151,upa,1821,utpātaka,"a kind of animal; a fabulous animal Śarabha; a noxious insect; drinks, sucks; drinking out",OIA,ut-pât-a-ka,noxious insect,1.000,insect;noxious,1.200,0.875,
n154,pâṭu,7733,páttra,"wing-feather; wing; leaf, petal; leaf of book",PAr,p′at-tra-,wing-feather; leaf,1.000,feather;leaf;wing,1.200,1.109,
n156,paṭila,7736,pattralá,"leafy; *leaf-like, thin; beats into thin leaves; thin",PAr,pat-tra-l′a,leafy,1.000,leafy,1.200,0.917,
n163,upuǰa-,1814,útpadyatē,"arises, originates",OIA,′ut-pad-ya-te,arises; originates,1.000,arises;originates,1.250,0.889,
n171,pâ,7691,paṭ,sudden noise; with a crack; makes a cracking noise,OIA,p′ât,foot,1.000,,1.000,1.000,
n177,par,8330,pūra,filling; flood; filling; flood,PAr,pu:r-a-,filling,1.000,filling,1.200,1.000,
n178,pâr,8330,pūra,filling; flood; filling; flood,PAr,pu:r-a-,filling,1.000,filling,1.200,1.000,
n185,parei,8107,pāráyati,fills,OIA,pâr-′aya-ti,fills,1.000,fills,1.250,1.125,
n186,pârei,8107,pāráyati,fills,OIA,pâr-′aya-ti,fills,1.000,fills,1.250,1.125,
n187,pari,8107,pāráyati,fills,OIA,pâr-′aya-ti,fills,1.000,fills,1.250,1.125,
n190,parsa,8287,púrīṣa,"having or giving fullness; TS., 'suppletion; ordure",PAr,p′uri:-sa-,fullness; filling; rubble; dung,1.000,fullness,1.200,1.000,
n194,palâl,7953,pálala,mud,PAr,palâla-,mud,1.000,mud,1.250,1.000,
n203,pali,7962,palitá,"grey, hoary, old; old age",PAr,palit′a-,grey,1.000,grey,1.200,1.000,
n214,pa˜č,7655,páñca,five,PAr,p′ank̂a,five,0.800,five,1.050,1.033,
n216,pačić,7662,páñcadaśa,fifteen,PAr,p′ank̂a-dača,fifteen,0.778,fifteen,1.028,0.824,
n217,pačilić,7662,páñcadaśa,fifteen,PAr,p′ank̂a-dača,fifteen,0.778,fifteen,1.028,0.824,
n219,pačauš,7662,páñcadaśa,fifteen,OIA,p′anča-daša,fifteen,1.000,fifteen,1.250,1.000,
n220,pačiš,7662,páñcadaśa,fifteen,OIA,p′anča-daša,fifteen,1.000,fifteen,1.250,1.000,
n226,pr̥k,8355,*pr̩ta,filled,OIA,p′r̥thak,separately,0.800,,0.800,0.769,8355
n230,pupus,9090,pʰuppʰusa,"lungs; swollen; panting; swelling; swelling of the gums and palate; lungs, animal's entrails",PAr,phu-pphu-sa-,lungs,0.875,lungs,1.075,0.714,
n236,puš,8306,púṣya,vigour; a kind of plant,PAr,pus-ya-,kind of plant,1.000,kind;plant,1.200,1.000,
n237,pišâ˜,8298,*puśśī,cat,OIA,*pušši:-,cat,1.000,cat,1.250,0.889,8298
n238,pišâ˜š,8298,*puśśī,cat,OIA,*pušši:-,cat,1.000,cat,1.250,0.889,8298
n241,putr,8265,putrá,son,OIA,putr′a-,son,1.000,son,1.250,1.109,8265
n243,pus-,8310,*pusati,"leaves, is left",PAr,pus-,leaves; is left,0.667,is;leaves;left,0.917,0.857,8310.1
n244,pus-âv-,8310,*pusati,"leaves, is left",PAr,pus-,leaves; is left,0.667,is;leaves;left,0.917,0.857,8310.1
n245,pus,8310,*pusati,"leaves, is left",PAr,pus-,leaves; is left,0.667,is;leaves;left,0.917,0.857,8310.1
n246,punḍa-,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n247,punḍa-,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n248,puṇḍa,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n249,puṇḍa,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n250,puṇḍo,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n251,puṇḍo-i,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n252,puṇḍa-ra,8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n253,"puṇḍa-ra-i-
k",8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n254,"puṇḍa-ra-
k",8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n255,"puṇḍa-ra-
ṇa",8377-7,*puṇḍa,,OIA,punḍa-,swell up,1.000,,1.000,0.909,8377.7
n256,pu˜ṭ,8259,puṇḍra,*pale; lex. 2. <b>pauṇḍra-</b> m. 'straw-coloured sugarcane; sectarian mark; a plant,OIA,punḍra-,pale; bright red; color of sugarcane,1.000,pale;sugarcane,1.200,1.000,8259.1
n257,poč,8400-4,*pōcca,"woven cloth; bandage, cloth; cloth to smear with, smearing",OIA,počča-,cloth,1.000,cloth,1.200,1.000,8400.5
n267,pa˜t,7785,pántʰā,"path, road",PAr,p′antha-:-,path; road,0.909,path;road,1.159,1.000,
n271,pâla,8125,pālá,protector; herdsman; guardian,PAr,pâl′a-,protector; herdsman,1.000,herdsman;protector,1.200,1.000,
n274,pâli,8125-2,*pā́la,protection,PAr,p′âla-,protection,1.000,protection,1.250,1.000,
n278,pia-,8209,píbati,drinks,PAr,p′i-ba-ti,drinks,1.000,drinks,1.250,1.000,
n283,piliâ-,8592,*pratilati,goes forward,OIA,*pra-til-a-ti,goes forward,1.000,forward;goes,1.250,1.089,8592
n284,piliŋa-,8591,pratilaŋgʰayati,transgresses; mounts,OIA,pra-ti-langʱ-ay-a-ti,transgresses; mounts,0.963,mounts;transgresses,1.213,0.846,8591
n285,prâr,8906,prahāra,blow,OIA,pra-ɦâr-a-,blow,0.923,blow,1.173,0.923,8906
n295,pal,9051,pʰála,"fruit; *grain; seed of a fruit; spot on dice; ripe fruit; to ripen; expand, burst",OIA,ph′ala-,fruit; grain,0.889,fruit;grain,1.089,1.000,9051
n296,pal-,9051,pʰála,"fruit; *grain; seed of a fruit; spot on dice; ripe fruit; to ripen; expand, burst",OIA,ph′ala-,fruit; grain,0.889,fruit;grain,1.089,1.000,9051
n305,babakâv-,9157,barbára-,stammering; non-Aryan; blockhead,OIA,barb′ara-,stammering,1.000,stammering,1.200,1.000,9157
n321,bi,9250,bī́ja,"seed, semen",OIA,b′i:ǰa-,seed; semen,1.000,seed;semen,1.250,1.089,9250
n325,bâźigal,9438,bʰājya,to be divided,PAr,b′âǰʱ-ya-,external; foreign; outcaste,1.000,,1.000,1.000,
n326,bâźiu,9438,bʰājya,to be divided,PAr,b′âǰʱ-ya-,external; foreign; outcaste,1.000,,1.000,1.000,
n330,ba-,9183,*bahira,external,OIA,baɦi-ra-,external,0.909,external,1.159,1.159,
n331,bai-,9183,*bahira,external,OIA,baɦi-ra-,external,0.909,external,1.159,1.159,
n332,bâi-,9183,*bahira,external,OIA,baɦi-ra-,external,0.909,external,1.159,1.159,
n333,bair-,9183,*bahira,external,OIA,baɦi-ra-,external,0.909,external,1.159,1.159,
n334,bar-,9183,*bahira,external,OIA,baɦi-ra-,external,0.909,external,1.159,1.159,
n352,bâ,9430,bʰāga,"portion, fraction; piece of land, place",PAr,bʱâg-a-,portion; fraction,1.000,fraction;portion,1.200,1.000,
n354,bâk,9430,bʰāga,"portion, fraction; piece of land, place",PAr,bʱâg-a-kka-,portion; fraction,0.727,fraction;portion,0.927,0.833,
n357,bat,9331,bʰaktá,"RV.,; Mn.,",PAr,bʱak-t′a-,food; boiled rice,1.000,,1.000,1.000,
n360,bâgisṭ,9434,bʰāgya,"fortune, lot",PAr,bʱâg-ya-,fortune; lot,1.000,fortune;lot,1.250,1.089,
n364,baŋâ-,9354,bʰaŋgá,hemp,OIA,bʱang′a-,hemp,0.889,hemp,1.139,0.889,9354
n368,bâs,9480,bʰāsá,light,PAr,bʱa:s′a-,light; shine; glory; magnificence; power,1.000,light,1.200,1.000,
n372,baz,9229,bāhú,arm,PAr,ba:ǰʱ′u-,arm,0.750,arm,1.000,0.750,
n373,bitala,9493,bʰitta,*split timber; fragment; wall,OIA,bʱit-ta-,split timber,1.000,split;timber,1.200,1.000,9493
n377,bo-,9416,bʰávati,"becomes, is",PAr,bʱ′av-a-ti,becomes,1.000,becomes,1.200,1.033,
n378,bu,9416,bʰávati,"becomes, is",PAr,bʱ′av-a-ti,becomes,1.000,becomes,1.200,1.033,
n382,ba-,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",OIA,bʱâv-aya-ti,causes to be,1.000,causes,1.200,1.075,
n383,bâ-,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",OIA,bʱâv-aya-ti,causes to be,1.000,causes,1.200,1.075,
n384,bo-,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",OIA,bʱâv-aya-ti,causes to be,1.000,causes,1.200,1.075,
n386,samâ-,12967,saṁbʰāvayati,"produces, makes; fosters, honours, supposes possible",OIA,sa˜-bʱâv-aya-ti,produces; fosters; honors,0.952,fosters;produces,1.152,0.889,
n389,bo-,9475,bʰāvá,"being, thing; state, disposition",PAr,bʱ′âv-a-,it happened,1.000,,1.000,0.950,
n392,bum,9556,bʰū́man,"earth, world",PAr,bʱ′u:-man-,earth; world,1.000,earth;world,1.250,1.000,
n397,puruǰe-,7848,*paribudʰyatē,understands,OIA,pari-budʱ-ya-te,understands,1.000,understands,1.250,0.857,
n400,bud,9276,buddʰa,"known, understood; awakened, conscious, wise",PAr,buddʱa-,known; understood,1.000,known;understood,1.200,1.000,
n403,bud,9277,buddʰi,"intelligence, discernment",PAr,buddʱi-,intelligence,1.000,intelligence,1.200,0.889,
n404,budi,9277,buddʰi,"intelligence, discernment",PAr,buddʱi-,intelligence,1.000,intelligence,1.200,0.889,
n407,buduṣ-,9277,buddʰi,"intelligence, discernment",PAr,buddʱi˜ šri,intelligence,0.769,intelligence,0.969,0.714,
n411,bâr,9459,bʰārá,"burden, weight; weight",PAr,bʱâr-′a-,burden,1.000,burden,1.200,1.000,
n414,baṛa-,9588,bʰr̩ta,"carried, brought; hired, paid; hireling, mercenary; hired servant; hired soldier, servant",PAr,bʱr̥-ta-,brought; carried,1.000,brought;carried,1.200,0.889,
n416,samaṛa-,12970,sáṁbʰr̩ta,collected,OIA,s′a˜-bʱr̥-ta-,collected,0.923,collected,1.173,1.019,
n419,bâri,9464,bʰārika,porter,PAr,bʱâr-i-ka-,porter,1.000,porter,1.250,1.000,
n428,buǰra,9570,bʰūrja,the birch tree Betula bhojpattra,PAr,bʱu:rǰa-,birch,1.000,birch,1.200,1.109,
n431,brâź-,9659,bʰrā́jatē,shines,PAr,bʱr′a:ǰ-a-te,shines,1.000,shines,1.250,0.867,
n434,brâź-,9659-2,bʰrā́jas,"shine, spark",PAr,bʱr′a:ǰ-as-,shine; spark,1.000,shine;spark,1.250,0.769,
n442,bale-,9474,bʰāláyatē,"describes, beholds",OIA,bʱâl-′aya-te,describes; beholds,1.000,beholds;describes,1.250,1.057,
n446,mande,9136,bandʰá,"bond; damming; custody; deposit, pledge; dam",PAr,bandʱ-′a-,bond; dam,1.000,bond;dam,1.200,1.033,
n448,manda-,9139,bandʰati,binds,PAr,bandʱ-a-ti,binds,1.000,binds,1.250,1.057,
n450,buc̣a,9525,bʰúja,arm,OIA,bʱuǰ,enjoy,0.857,,0.857,0.800,
n455,bil-a˜,9517,*bʰīla,dreadful; intimidating,OIA,bʱi:-la-,dreadful,1.000,dreadful,1.200,1.000,
n456,bil-aṇ-i,9517,*bʰīla,dreadful; intimidating,OIA,bʱi:-la-,dreadful,1.000,dreadful,1.200,1.000,
n457,bili,9517,*bʰīla,dreadful; intimidating,OIA,bʱi:-la-,dreadful,1.000,dreadful,1.200,1.000,
n458,bili-â˜,9517,*bʰīla,dreadful; intimidating,OIA,bʱi:-la-,dreadful,1.000,dreadful,1.200,1.000,
n462,brâ,9661,bʰrā́tr̩,brother,PAr,bʱr′a:tr̥-,brother,1.000,brother,1.250,1.109,
n463,brâk,9661,bʰrā́tr̩,brother,PAr,bʱr′a:tr̥-,brother,1.000,brother,1.250,1.109,
n464,brâya,9661,bʰrā́tr̩,brother,PAr,bʱr′a:tr̥-,brother,1.000,brother,1.250,1.109,
n468,bruv,9688,bʰrū́,eyebrow,PAr,bʱr′u:-,brow,1.000,,1.000,0.857,
n473,bâmbaṇ,9327,brāhmaṇá,"one who has sacred knowledge, Brahman",OIA,brâɦmaṇ′a-,Brahman,0.933,brahman,1.133,1.000,
