Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
n10,7699,Strand places PNur beneath OIA; numeric IA ancestor
n11,7699,Strand places PNur beneath OIA; numeric IA ancestor
n12,7699,Strand places PNur beneath OIA; numeric IA ancestor
n13,7699,Strand places PNur beneath OIA; numeric IA ancestor
n21,7730,Strand places PNur beneath OIA; numeric IA ancestor
n29,8026,Strand places PNur beneath OIA; numeric IA ancestor
n30,8026,Strand places PNur beneath OIA; numeric IA ancestor
n32,8034,Strand places PNur beneath OIA; numeric IA ancestor
n33,8034,Strand places PNur beneath OIA; numeric IA ancestor
n41,8048,Strand places PNur beneath OIA; numeric IA ancestor
n45,8154,Strand places PNur beneath OIA; numeric IA ancestor
n50,8181,Strand places PNur beneath OIA; numeric IA ancestor
n80,7986,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n85,7654,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n118,8106,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n123,7918,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n127,7918,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n151,1821,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n163,1814,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n171,8056,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n185,8107,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n186,8107,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n187,8107,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n219,7662,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n220,7662,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n226,8355,Strand places PNur beneath OIA; numeric IA ancestor
n237,8298,Strand places PNur beneath OIA; numeric IA ancestor
n238,8298,Strand places PNur beneath OIA; numeric IA ancestor
n241,8265,Strand places PNur beneath OIA; numeric IA ancestor
n246,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n247,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n248,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n249,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n250,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n251,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n252,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n253,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n254,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n255,8377-7,Strand places PNur beneath OIA; numeric IA ancestor
n256,8259,Strand places PNur beneath OIA; numeric IA ancestor
n257,8400,Strand places PNur beneath OIA; numeric IA ancestor
n283,8592,Strand places PNur beneath OIA; numeric IA ancestor
n284,8591,Strand places PNur beneath OIA; numeric IA ancestor
n285,8906,Strand places PNur beneath OIA; numeric IA ancestor
n295,9051,Strand places PNur beneath OIA; numeric IA ancestor
n296,9051,Strand places PNur beneath OIA; numeric IA ancestor
n305,9157,Strand places PNur beneath OIA; numeric IA ancestor
n321,9250,Strand places PNur beneath OIA; numeric IA ancestor
n330,9183,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n331,9183,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n332,9183,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n333,9183,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n334,9183,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n364,9354,Strand places PNur beneath OIA; numeric IA ancestor
n373,9493,Strand places PNur beneath OIA; numeric IA ancestor
n382,9477,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n383,9477,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n384,9477,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n386,12967,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n397,7848,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n416,12970,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n442,9474,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n450,9529,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n455,9517,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n456,9517,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n457,9517,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n458,9517,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n473,9327,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n478,12111,Strand places PNur beneath OIA; numeric IA ancestor
n479,12111,Strand places PNur beneath OIA; numeric IA ancestor
n480,12111,Strand places PNur beneath OIA; numeric IA ancestor
n481,12111,Strand places PNur beneath OIA; numeric IA ancestor
n483,12111,Strand places PNur beneath OIA; numeric IA ancestor
n487,11353,Strand places PNur beneath OIA; numeric IA ancestor
n488,11353,Strand places PNur beneath OIA; numeric IA ancestor
n489,11385,Strand places PNur beneath OIA; numeric IA ancestor
n492,11258,Strand places PNur beneath OIA; numeric IA ancestor
n493,11258,Strand places PNur beneath OIA; numeric IA ancestor
n497,11235,Strand places PNur beneath OIA; numeric IA ancestor
n498,11235,Strand places PNur beneath OIA; numeric IA ancestor
n499,11235,Strand places PNur beneath OIA; numeric IA ancestor
n500,11235,Strand places PNur beneath OIA; numeric IA ancestor
n502,11296,Strand places PNur beneath OIA; numeric IA ancestor
n506,11588,Strand places PNur beneath OIA; numeric IA ancestor
n507,11588,Strand places PNur beneath OIA; numeric IA ancestor
n516,5450,Strand places PNur beneath OIA; numeric IA ancestor
n518,11738,Strand places PNur beneath OIA; numeric IA ancestor
n523,12109,Strand places PNur beneath OIA; numeric IA ancestor
n524,12115,Strand places PNur beneath OIA; numeric IA ancestor
n527,12079,Strand places PNur beneath OIA; numeric IA ancestor
n529,12218,Strand places PNur beneath OIA; numeric IA ancestor
n533,12234,Strand places PNur beneath OIA; numeric IA ancestor
n534,12234,Strand places PNur beneath OIA; numeric IA ancestor
n555,9711,Strand places PNur beneath OIA; numeric IA ancestor
n556,9917,Strand places PNur beneath OIA; numeric IA ancestor
n557,9917,Strand places PNur beneath OIA; numeric IA ancestor
n558,9727,Strand places PNur beneath OIA; numeric IA ancestor
n559,9882,Strand places PNur beneath OIA; numeric IA ancestor
n560,9892,Strand places PNur beneath OIA; numeric IA ancestor
n561,9892,Strand places PNur beneath OIA; numeric IA ancestor
n562,9731,Strand places PNur beneath OIA; numeric IA ancestor
n577,9827,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n578,9827,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n584,9746-2,Strand places PNur beneath OIA; numeric IA ancestor
n592,10009,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n598,9989,Strand places PNur beneath OIA; numeric IA ancestor
n599,9990,Strand places PNur beneath OIA; numeric IA ancestor
n600,9990,Strand places PNur beneath OIA; numeric IA ancestor
n605,9996,Strand places PNur beneath OIA; numeric IA ancestor
n606,10092,Strand places PNur beneath OIA; numeric IA ancestor
n608,10044,Strand places PNur beneath OIA; numeric IA ancestor
n610,10117,Strand places PNur beneath OIA; numeric IA ancestor
n611,10117,Strand places PNur beneath OIA; numeric IA ancestor
n631,10137,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n635,10137,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n639,1258,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n654,10302,Strand places PNur beneath OIA; numeric IA ancestor
n664,9964,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n665,10113,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n682,10383,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n686,10066,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n693,9869,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n705,558,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n749,10247,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n750,10247,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n771,9841,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n793,10144,Strand places PNur beneath OIA; numeric IA ancestor
n795,10174,Strand places PNur beneath OIA; numeric IA ancestor
n796,10187,Strand places PNur beneath OIA; numeric IA ancestor
n797,10187,Strand places PNur beneath OIA; numeric IA ancestor
n798,10187,Strand places PNur beneath OIA; numeric IA ancestor
n809,10258,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n814,10245,Strand places PNur beneath OIA; numeric IA ancestor
n815,10257-2,Strand places PNur beneath OIA; numeric IA ancestor
n816,10257-2,Strand places PNur beneath OIA; numeric IA ancestor
n821,10334,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n856,11616,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n860,2411,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n869,12113,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n873,12099,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n878,12127,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n887,11431,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n897,11547,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n898,11348,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n899,11348,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n903,11348,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n937,12080,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n947,8807,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n956,11243,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n970,11591,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1008,1634,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1012,1739,Strand places PNur beneath OIA; numeric IA ancestor
n1018,11140-2,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1022,11141,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1051,895,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1069,23,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1070,2562,Strand places PNur beneath OIA; numeric IA ancestor
n1082,958,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1102,1275,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1104,1275,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1120,2563,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1158,5617,Strand places PNur beneath OIA; numeric IA ancestor
n1159,5617,Strand places PNur beneath OIA; numeric IA ancestor
n1161,5706,Strand places PNur beneath OIA; numeric IA ancestor
n1162,5706,Strand places PNur beneath OIA; numeric IA ancestor
n1168,5647,Strand places PNur beneath OIA; numeric IA ancestor
