Status,Reason,Proto_Burushaski_ID,Proto_Source_Key,CDIAL_ID,Claim_Source_Entry_ID,Legacy_Form_ID,Source_Key,Language_ID,Form,Gloss,Source,Prior_Relation,New_Relation,Comparison_IDs
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-1008-4d856295339f,proto-burushaski:indo-aryan:ia-1008-4d856295339f,1008,1008,0-8568,,Bur,aiyʌś,sky,CDIAL,reflex,reflex,burushaski:ia-1008-4d856295339f:cdial:1008:3457cb24ef
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-1008-4d856295339f,proto-burushaski:indo-aryan:ia-1008-4d856295339f,1008,1008,0-8569,,Bur,ayʌś,sky,CDIAL,reflex,reflex,burushaski:ia-1008-4d856295339f:cdial:1008:3457cb24ef
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10085-0cad39612fd7,proto-burushaski:indo-aryan:ia-10085-0cad39612fd7,10085,10085,45-5450,berger-entry-5605,Bur,mā̌ti,"type earth, used as mortar (after some only sh. for bur. dumúlľ)",berger-auto[p. 140 (printed p. 273)],reflex,reflex,burushaski:ia-10085-0cad39612fd7:cdial:10085:d37ab56413
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-1009-5c7f62f32934,proto-burushaski:indo-aryan:ia-1009-5c7f62f32934,1009,1009,20-21,berger-entry-334,Bur,ayáś,heaven,berger[p. 24],reflex,reflex,burushaski:ia-1009-5c7f62f32934:cdial:1009:53661a32f2
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-1009-5c7f62f32934,proto-burushaski:indo-aryan:ia-1009-5c7f62f32934,1009,1009,20-22,berger-entry-334-dialect-1,Bur,ayáś,heaven,berger[p. 24],reflex,reflex,burushaski:ia-1009-5c7f62f32934:cdial:1009:53661a32f2
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10113-86f77e7938dc,proto-burushaski:indo-aryan:ia-10113-86f77e7938dc,10113,10113,45-5689,berger-entry-5890,Bur,mayū̂ś,hose for swimming,berger-auto[p. 146 (printed p. 284)],reflex,reflex,burushaski:ia-10113-86f77e7938dc:cdial:10113:7bf811a1ea
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10113-86f77e7938dc,proto-burushaski:indo-aryan:ia-10113-86f77e7938dc,10113,10113,45-5690,berger-entry-5890:dialect:1,Bur,manyóś,hose for swimming,berger-auto[p. 146 (printed p. 284)],variant,variant,burushaski:ia-10113-86f77e7938dc:cdial:10113:7bf811a1ea
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10113-93eae05eef89,proto-burushaski:indo-aryan:ia-10113-93eae05eef89,10113,10113,24-2288,,Bur,hīṣmāhīṣ,buffalo,backstrom1992,reflex,reflex,burushaski:ia-10113-93eae05eef89:cdial:10113:ed723aca67
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10113-93eae05eef89,proto-burushaski:indo-aryan:ia-10113-93eae05eef89,10113,10113,24-2289,,Bur,hīṣmāhīṣ,buffalo,backstrom1992,reflex,reflex,burushaski:ia-10113-93eae05eef89:cdial:10113:ed723aca67
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10113-93eae05eef89,proto-burushaski:indo-aryan:ia-10113-93eae05eef89,10113,10113,24-2290,,Bur,hīṣmāhīṣ,buffalo,backstrom1992,reflex,reflex,burushaski:ia-10113-93eae05eef89:cdial:10113:ed723aca67
