Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Strand_Ancestor,Best_IA_ID,Best_IA_Form,Reason
n2,pa-u,over; around (away from the speaker),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3,pačaṭik,bramble; entangled cotton seed,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n4,paṭalik,large pancake,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n6,paṭi,wooden part of bow,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n7,paṭila,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n9,paṭuv,fir,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n14,paṣa,sleeping place in stable,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n15,paṣa,shaman,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n19,paṛa,smallpox,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n20,pa-tia-,believe,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n22,palai,herder,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n23,palak-,flash,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n25,pâitâva,puttee,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n26,pâ-u,"down (away from the speaker, at an angle)",,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n31,pâče˜,cotton thread,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n34,pâṭâl,lammergeier vulture,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n35,pâṣâi,Pašaī,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n36,pâṣu˜ta,Uṣ′üt,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n37,pârik,shoulder blade,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n39,pâdi,bushel,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n42,pâ-pâ,sole (of foot),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n44,piku,wall brace,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n46,piša˜,crop,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n47,pištikâk,dung,,8139,pāṣi,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n51,pis,fart (silent),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
