Source_Dictionary,Source_Entry_ID,Source_Page,Printed_Target_ID,Resolved_Target_ID,Status,Reason,Resolution,Relation,Direction,Confidence,Citation,Evidence
cdial,10000,575,DED 3942,d4810,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10000],"[Cf. Kan. mādiga 'man of very low caste, cobbler', Tel. mādige DED 3942]"
cdial,10023,576,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,compared-from-entry,low,CDIAL[entry 10023],"10023 mā́trā f. 'measure' RV., 'minute portion' ŚBr. 2. -mātra- at end of cmpds. 'having the measure of, only' KātyŚr. [√ mā ] 1. Pa. mattā - f. 'measure, quantity'; Pk. mattā - ( māyā - in cmpds.) f. 'share, measure, small measure of time', * maṭṭa - 'measure' → Tam. maṭṭu 'measure' J. Bloch Thomas EIS 35; NiDoc. maṭavo 'which ought to be measured' Burrow KharDoc 110, J. Bloch op. cit. 35; L. mātar f. 'ridge round a handmill which prevents flour being scattered', awāṇ. mātar f. 'circle of sheaves placed round threshing floor before threshing'; P.ḍog. māttar f. 'tablet'; H. māt f. 'symbol, mark, mark of a vowel in writing'. — Prob. L. mātrā m. 'large earthen vessel in which sugarcane juice is cooled' (semant. cf. M. māṇ f. 'earthen vessel for water' < mā́na -²: derivation from * mārtta - is phonet. difficult). 2. Pa. - matta -, - mattaka - 'of the size of, consisting only of, only'; Pk. - matta -, - māya -, - metta - (with e from mēa -, mejja - < mēya -), - mitta - 'consisting only of'; P. mātar 'only' (e.g. chin m° 'for a moment only'); N. mātra , emph. mātrai 'only' after the word qualified (< * matta-ḍa - or ← Sk.?); Si. - matu 'only', mat 'only, merely'. — With unexpl. a and ṭ : S. maṭu 'equal to, being a match for', m. 'revenge' (→ Brah. maṭ 'equal in strength' J. Bloch op. cit. 35)? * nimātra-; manuṣyamātra-, mahāmātra-, *strīmātrī -."
cdial,10055,578,DED 3945,d4813,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,medium,CDIAL[entry 10055],[Nursery word: similar words in Drav. DED 3945]
cdial,10059,578,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,influence,undetermined,low,CDIAL[entry 10059],"[Cf. mímītē 'measures' RV., 'corresponds in measure, is large enough for' BhP., 'is contained in' Kāv. — Poss., though not necessary, Drav. semantic influence, cf. Tam. aḷava 'measure' ~ Tel. aḍapu 'be contained' A. Master BSOAS xii 359. — √ mā ]"
cdial,10086,580,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,entry-from-compared,high,CDIAL[entry 10086],"[ mr̥tsná - m. 'powder' Suśr. - masiná - 'finely powdered' lex., masr̥ṇa - 'soft, tender' Kāv. are sanskritized forms of MIA. and not with J. Bloch BSOS v 741 ← Drav. (see maṣati ): EWA ii 605 with lit. — √ mr̥d ]"
cdial,10092,580,DED 3954,d4827,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,high,CDIAL[entry 10092],"[← Drav., Tam. mālai 'wreath' &c. DED 3954, EWA ii 628 with lit. Derivation from * vr̥tman - (P. Tedesco JAOS 67, 87) is phonet. unacceptable]"
cdial,10118,582,DED 3693,d4519,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10118],"[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]"
cdial,10118,582,DED 3969,d4845,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10118],"[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]"
cdial,10138,583,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,low,CDIAL[entry 10138],"['blink' only in nimēṣa -, nimiṣ ( a )-. One of a group of words for 'blink' in Balto-slav., Indo-ir. and Drav.; cf. * micc-, *miṭṭ-, √mīl (~ mīḍ -, miḍ -, mil - ? — see √ mil ) (J. C. W.)]"
cdial,10140a,583,DED 3999,d4885,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,high,CDIAL[entry 10140a],"[← Drav. Tam. mīṉ &c., DED 3999]"
