Set_ID,Proto_Form,Gloss,Evidence_Keys,Method,Status,Notes
berger-berger-entry-1000,*búy- -ç-,"mit pl.-Subjekt buyá- -ć-/-úya- -é-, die präfixlose Form gehört zu den ""4 y-Verben""",berger-entry-1000|berger-entry-1000-dialect-1|berger-entry-1000-dialect-2|berger-entry-1000-dialect-3|berger-entry-1000-dialect-4,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10004,*uyám,"süß, schmack- haft",berger-entry-10004|berger-entry-10004-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10016,*duy-,"davon duy- oder :stuy-, :sċuy-, d:s- ċuy- hz.ng. schmelzen trs",berger-entry-10016|berger-entry-10016-dialect-2|berger-entry-10016-dialect-3,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10044,*du-wál- -j-,da- vonfliegen,berger-entry-10044|berger-entry-10044-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10050,*wáldas,Rücken ; ; Körper und Hinterteil bei Tieren,berger-entry-10050|berger-entry-10050-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10060,*wálto,"wálti, wal- z hz.ng. vier ; ; ; ; ; eini- ge, ein paar",berger-entry-10060|berger-entry-10060-dialect-1|berger-entry-10060-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10066,*wálti-áltar,wálti-álthar achtzig,berger-entry-10066|berger-entry-10066-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10090,*wár- -ć-,"nztwar müde werden, er- müden",berger-entry-10090|berger-entry-10090-dialect-1|berger-entry-10099-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10102,*warċč-apárč,,berger-entry-10102|berger-entry-10102-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10107,*wártikuin,"Helfer ohne Lohn, auf Gegenseitigkeit",berger-entry-10107|berger-entry-10107-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10117,*waś,"(Holz) biegen, um es zu brechen, eindrücken, eine : Delle machen Gh. was th- ""Axt stumpf m. "" wáśum waś NH total verbogen",berger-entry-10117|berger-entry-10119-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10140,*yãāābulto,"auch yāārbulto, ng. yäãārbuto vorgestern",berger-entry-10140|berger-entry-10140-dialect-1|berger-entry-10140-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10145,*yaálmun,Rippe 5. 35,berger-entry-10145|berger-entry-10145-dialect-1|berger-entry-10145-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10150,*yåanis(an),,berger-entry-10150|berger-entry-10150-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10159,*yáarum,dazu -yáarum vor einem weg,berger-entry-10159|berger-entry-10159-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10162,*yaári,das erste Mor- genlicht; Sonnen- oder Mond- strahlen,berger-entry-10162|berger-entry-10162-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10163,*yáariki,"Bett, Bett- zeug, Unterbett, Matratze",berger-entry-10163|berger-entry-10163-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10184,*yágu- -ć-,,berger-entry-10184|berger-entry-10184-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10233,*yánći,vor,berger-entry-10233|berger-entry-10233-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10242,*yáńaċe,gar: im Schlaf sprechen,berger-entry-10242|berger-entry-10242-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10258,*khár -yár-,"intr. weiden, grasen",berger-entry-10258|berger-entry-10258-attached-522-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10261,*yáran- -rai-,,berger-entry-10261|berger-entry-10261-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10263,*yaráq,"das Abkühlen- und Ausruhenlassen der Pferde nach der Arbeit, mit festgebundenem Kopf stehend auf- und abgeführt, bevor sie Futter bekommen",berger-entry-10263|berger-entry-10263-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10294,*yás,"auch -taro Schwe- ster eines Mannes; Schwägerin, d.i. Schwester der Ehefrau",berger-entry-10294|berger-entry-10294-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10297,*yasoól,"Mann, der bei der Au- dienz die Speisen verteilt",berger-entry-10297|berger-entry-10297-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10309,*yátal,Urial,berger-entry-10309|berger-entry-10309-attached-793-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10312,*yátar,yátar s. yáte,berger-entry-10312|berger-entry-10315-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10325,*yáṭtis,Kopf,berger-entry-10325|berger-entry-10326-attached-826-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10330,*yátkuin,"yátukuin Oberaufseher, Aufpasser ; Neugieriger, Neider",berger-entry-10330|berger-entry-10330-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10339,*dzyay-,"s. di-yáay- ye Interj. nun, wohlan denn!, los!, auf! (besonders bei Imperativen) ; ; ; 18; ; usw.usw. gerade so, eben mal",berger-entry-10339|berger-entry-10339-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10340,*yeéċ- -Ś-,"bei hx pl.-Obj. yoóċ-, hz. ntiċ, ng. ntyeeč, ntyooċć",berger-entry-10340|berger-entry-10340-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10360,*yópuś,"und yópurś -raṅ Stück Fell, um das Mehl in der Mühle zusammenzufegen",berger-entry-10360|berger-entry-10360-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
