Source_Dictionary,Source_Entry_ID,Source_Page,Printed_Target_ID,Resolved_Target_ID,Status,Reason,Resolution,Relation,Direction,Confidence,Citation,Evidence,Review
dedr,d3003,259,5705,5705,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 3003, DED(S) 2433, DED 2444]","Cf. Skt. cakragaja-, cakramarda- C. tora (Turner, CDIAL , no. 4546); taravaṭa- C. auriculata , Mar. tarvaḍ, taroḍ C. auriculata or tora , etc. (ibid., no. 5705). DED(S) 2433, DED 2444.",ok
cdial,9626,549,DED 3750,da51,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,compared-from-entry,high,CDIAL[entry 9626],"[ bhōgika - m. 'village headman' Hemac.; Pa. bhōgin - also id. — Emeneau Sk. bhōgin - concludes that Drav. Mal. and Tu. bōyi 'caste of palanquinbearers and fishermen' DED 3750, Go. pōī 'fisherman' DEDS are ← IA.]",ok
dedr,d4600,406,9268,9268,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 4600, DED(S) 3761]","Cf. Pkt. boḍa- bald, shavenheaded; Turner, CDIAL , no. 9268(8), *bōḍa-. DED(S) 3761.",ok
dedr,d1794,162,3327,3327,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 1794, DED 1494]","Cf. Skt. kurala-, kurula- curl or lock of hair; Turner, CDIAL , no. 3327. DED 1494.",ok
dedr,d1676,154,3748,3748,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 1676, DED(S) 1396]","The items here, those in DBIA 104 (add: Go. [SR.] guṭṭam , [M.] guṭṭa , [L.] guṭā peg [ Voc. 1112]), and those in Turner, CDIAL , no. 3893 *khuṭṭa-, *khuṇṭa- and no. 3748 kṣōḍa- , exhibit considerable convergence and present many problems of immediate relationship. DED(S) 1396.",ok
dedr,d5327,482,11260,11260,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 5327, DED(S, N) 4362]","? Cf. H. bannā to be made, banānā to make etc.; Turner, CDIAL , no. 11260. DED(S, N) 4362.",ok
dedr,d2621,227,4870,4870,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 2621, DED(S, N) 2154]","Cf. Skt. cumb- to kiss; Turner, CDIAL , no. 4870. DED(S, N) 2154.",ok
dedr,d5101,462,9920,9920,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 5101, DED(S, N) 4187]","Cf. Skt. maṣi- ink, lampblack; Turner, CDIAL , no. 9920; ? cf. Skt. mecaka- black, dark blue DED(S, N) 4187.",ok
dedr,d3069,266,6170,6170,installed,printed CDIAL ID,printed-id,related,undetermined,medium,"dedr[entry 3069, DED(S) 2496]","MBE 1969, p. 294, no. 29, for areal etymology, with reference to Turner, CDIAL , no. 6170, *dab- . DED(S) 2496.",ok
dedr,d1852,169,4207,4207,installed,printed CDIAL ID,printed-id,related,undetermined,medium,"dedr[entry 1852, DED(S, N) 1538]","MBE 1969, p. 291, no. 12, for areal ety<-> mology, with reference to Turner, CDIAL , no. 4207, *guragura- , no. 4486, ghuraghurāyate , and no. 4489, ghurghurā -. DED(S, N) 1538 (and from 1496).",ok
dedr,da39,512,4884,4884,installed,printed CDIAL ID,printed-id,related,undetermined,medium,"dedr[appendix entry 39, DED(S) 2246]","Turner, CDIAL , no. 4884, Skt. cūḍa- bracelet, Pkt. cūḍa-, cūlaa- id. DED (S) 2246.",ok
dedr,d2304,203,13102,13102,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 2304, DED(S) 1899]","Cf. Skt. ( lex. ) saṭṭa- two pieces of timber at the side of a door; Turner, CDIAL , no. 13102. DED(S) 1899.",ok
dedr,d2063,187,3241,3241,installed,printed CDIAL ID,printed-id,related,undetermined,low,"dedr[entry 2063, DED(S) 1717]","Cf. Pali koṭṭeti to beat, smash, pound; Turner, CDIAL , no. 3241(2). Cf. Nahali koṭṭo- to pound, beat. DED(S) 1717.",ok
