CDIAL_ID,Headword,Status,DEDR_IDs,Confidence,Relation,Direction,Rationale,Evidence
16,akkā,installed-proposal,d23,,,,Already represented by a structured comparison.,"16 akkā 'mother' Kāś. [← Drav. Burrow, BSOAS 12, 365: Tam. akkai 'elder sister']"
49,agaru,existing-match,d13,,,,Already represented by a structured comparison.,"49 agaru m.n. 'fragrant Aloe-tree and wood, Aquilaria agallocha' lex., aguru- R. [← Drav. Mayrhofer EWA i 17 with lit.]"
50,agásti,existing-match,d5,,,,Already represented by a structured comparison.,"50 agásti m. 'the tree Agasti grandiflorum' Suśr. [← Drav. Burrow BSOAS 12, 365; Agásti- m. 'nom. prop.' perh. from this, Mayrhofer EWA I 17]"
52,agāra,existing-match,d7,,,,Already represented by a structured comparison.,"52 agāra n. 'house' ĀśvGr̥., āgāra- Mn. [Prob. ← Drav., Mayrhofer EWA i 17 with lit.]"
179,*aṭṭ,installed-proposal,d83,,,,Already represented by a structured comparison.,"179 *aṭṭ² 'obstruct, stop'. [Cf. *aṭṭha-², *aḍ-, *aḍḍ-: prob. ← Drav. see *aḍ-]"
187,*aḍ,existing-match,d83,,,,Already represented by a structured comparison.,"187 *aḍ 'obstruct, stop'. [Cf. *aḍḍ-, *aṭṭ-², poss. *aṭṭha-²; — ← Drav. cf. Tam. aṭai 'to be obstructed', Kan. aḍ{ḍ}a 'obstructing, transverse', Tu. aṭaka, aḍaka 'obstacle', Kui aḍa 'screen', Brah. aṛ 'obstruction': T. Burrow TPS 1945, 79.]"
188,*aḍḍ,existing-match,d83,,,,Already represented by a structured comparison.,"188 *aḍḍ 'obstruct, stop'. [← Drav., see *aḍ-]"
189,*aḍḍa,existing-match,d83,,,,Already represented by a structured comparison.,"189 *aḍḍa 'transverse'. [Same as prec.? — ← Drav., see *aḍ-]"
191,*aḍḍi,existing-match,d72,,,,Already represented by a structured comparison.,"191 *aḍḍi 'heel'. 2. *aḍi-. 3. *ēḍḍi-. 4. *ēḍi-. [J. Bloch BSOS v 738 ← Drav., cf. Tam. Kan. aḍi, Tel. aḍugu 'foot, footstep']"
222,attā,installed-proposal,d142,,,,Already represented by a structured comparison.,"222 attā f. 'mother, mother's sister, elder sister' lex., atti{kā}-, anti{kā}- f. 'elder sister' lex. 2. *addā-. [← Drav. Tam. attai 'aunt, mother-in-law' T. Burrow BSOAS xii 366. Cf. *atta-²]"
292,anala,installed-proposal,d327,,,,Already represented by a structured comparison.,292 anala m. 'fire'. [← Drav. Mayrhofer EWA i 33]
491,apūpá,existing-match,d155,,,,Already represented by a structured comparison.,"491 apūpá m. 'cake of flour' RV. 2. pūpa- m. 'a kind of cake' MBh. 3. pūpalā- f. 'a sweet cake fried with ghee or oil' lex., °lik̇ā- Car., pūpālik̇ā- Suśr. [J. Charpentier, Le Monde Oriental xxvi 112 ← Drav. Tam. appam, &c. cf. also Muṇḍa in Savara p̣upu 'cake, bread, pudding' ← Sk ? Poss. further conn. in pūra-², pauli-]"
1558,iñcāka,existing-match,d517,,,,Already represented by a structured comparison.,"1558 iñcāka m. 'prawn, shrimp' lex., iñcaka- KāśyapaS. [Drav. Mayrhofer EWA i 85 with lit.]"
1695,uḍupa,existing-match,d1039,,,,Already represented by a structured comparison.,"1695 uḍupa m. 'raft' MBh. [Cf. hōḍa- m. lex. prob. ← Drav., Tam. ōṭam]"
1699,uṇḍuka,existing-match,d664,,,,Already represented by a structured comparison.,"1699 uṇḍuka m. 'net, chignon, part of the body' Suśr. [Cf. uṇḍēraka- m. 'ball of flour, loaf, roll', uṇḍērakasraj- f. 'balls of meal on a string' Yājñ.: belongs to iṇḍvà- and the group of words collected under vīṭā- and is prob. ← Drav. cf. Tam. uṇṭai 'ball' Mal. uṇḍa, Kan. Tu. uṇḍe]"
2360,ulū́khala,existing-match,d583 d672,,,,Already represented by a structured comparison.,"2360 ulū́khala n. 'a wooden mortar' RV., aulūkhalḗ 'pestle and mortar' MaitrS. 2. *ulukkhala-. 3. udūkhala- n. Suśr. 4. *udukkhala-. [← Drav. EWA 111 with lit. Like músala-, pop. derivative with -ala- J. Bloch BSOS v 742]"
2512,ēḍa,existing-match,d5152,,,,Already represented by a structured comparison.,"2512 ēḍa m. 'a kind of sheep' KātyŚr., ēḍī- f., ēḍaka-¹ m. 'a sheep or goat', aiḍa- 'ovine' MBh., aiḍaká m. 'a kind of sheep' ŚBr., iḍikka- f. 'wild goat' lex. [← Drav. EWA i 126 with lit.]"
2522,ēlā,existing-match,d907,,,,Already represented by a structured comparison.,2522 ēlā f. 'cardamum' Suśr. [← Drav. EWA i 561 with lit. — Cf. ēḍaka-² 'a medicinal plant' Suśr.?]
2547,*ōḍḍh,existing-match,d587,,,,Already represented by a structured comparison.,"2547 *ōḍḍh 'put on, wear, cover'. [← Drav. cf. Tam. uṭu-, Kan. uḍu- 'to dress', Tel. uḍupu 'dress' (though ac. to T. Burrow BSOAS xii 134 < *cuṭu). The forms of all languages (except Tir., see below) must or may contain -ḍḍh-: conn. therefore with váhati 'wears clothes' Mr̥cch. (vṓḍhum LM 302) is unlikely.]"
2595,kaṅká,existing-match,d2125,,,,Already represented by a structured comparison.,"2595 kaṅká m. 'heron' VS. [← Drav. T. Burrow TPS 1945, 87; onomat. Mayrhofer EWA i 137. Drav. influence certain in o of M. and Si.: Tam. Kan. Mal. kokku 'crane', Tu. korṅgu, Tel. koṅga, Kuvi koṅgi, Kui kohko]"
2601,kaṅkara,no-defensible-target,,,,,Only a tentative non-Aryan (Dravidian?) label is supplied; no Dravidian form is cited and no formal DEDR counterpart was found.,"2601 kaṅkara¹ n. 'buttermilk mixed with water' lex. [Suggesting non-Aryan (Drav.?) source EWA i 143 groups with kaccara-¹, kaṭvará-, kaṭura-, kadvara- n. 'milk with water', kadara- n. 'a partic. milk product' lex.]"
2621,kacchū́,existing-match,d1104,,,,Already represented by a structured comparison.,"2621 kacchū́ f. 'itch, scab, cutaneous disease' Suśr. [Prob. like kharju-¹, khasa-¹ and poss. kaṇḍū- ← Drav. EWA i 139, 147 with lit.]"
2622,kajjala,installed-proposal,d1278,,,,Already represented by a structured comparison.,2622 kajjala n. 'lamp-black' Suśr. [← Drav. or Mu. EWA 139 with lit. Former might account for N. g-. J. Bloch BSOS v 738 puts it with kāla-¹ as ← Drav.]
2639,kaṭi,existing-match,d1109,,,,Already represented by a structured comparison.,"2639 kaṭi, °ṭī́- 'hip, buttocks' Mn., °ṭikā- f., °ṭa- 'hip' MBh. [IE. *{s}qI̊-to- WP ii 597: rather ← Drav., cf. Tam. kaḍam 'mountain side, elephant's temple', Kan. kaḍe 'side, end', Tel. kaḍa.]"
2645,*kaṭṭa,existing-match,d1123,,,,Already represented by a structured comparison.,"2645 *kaṭṭa² 'young male animal'. [Cf. kaṭāha-² m. 'young male buffalo with horns just appearing' prob. ← Drav. T. Burrow BSOAS xii 368; *kaḍḍa-, *kēṭṭa-]"
2650,kaṭhiná,existing-match,d1148,,,,Already represented by a structured comparison.,"2650 kaṭhiná 'hard, stiff' Suśr. [EWA i 144 with lit. groups kaṭhiná-, káṭhōra-, °ōla-, kaṭhara-, kaḍḍati as ← Drav. Tam. kaṭṭu 'hardness', Tu. gaṭṭi, &c.]"
