Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Evidence,Candidate_Count,Anchor
n2,pa-u,over; around (away from the speaker),,,,no structural IA candidate,0,
n3,pačaṭik,bramble; entangled cotton seed,,,,no structural IA candidate,0,
n4,paṭalik,large pancake,,,,no structural IA candidate,0,
n6,paṭi,wooden part of bow,,,,no structural IA candidate,0,
n7,paṭila,,,,,no structural IA candidate,0,
n9,paṭuv,fir,,,,no structural IA candidate,0,
n10,paṭa,,7699,paṭṭa-,slab; tablet,numeric IA ancestor,1,OIA paṭṭa- “slab; tablet”
n11,paṭa-,,7699,paṭṭa-,slab; tablet,numeric IA ancestor,1,OIA paṭṭa- “slab; tablet”
n12,paṭa-,,7699,paṭṭa-,slab; tablet,numeric IA ancestor,1,OIA paṭṭa- “slab; tablet”
n13,ače˜-paṭ,,7699,paṭṭa-,slab; tablet,numeric IA ancestor,1,OIA paṭṭa- “slab; tablet”
n14,paṣa,sleeping place in stable,,,,no structural IA candidate,0,
n15,paṣa,shaman,,,,no structural IA candidate,0,
n16,peć,,7949,parču-,axe,numeric IA ancestor,1,PAr parču- “axe”
n17,pr̥ć,,7949,parču-,axe,numeric IA ancestor,1,PAr parču- “axe”
n19,paṛa,smallpox,,,,no structural IA candidate,0,
n20,pa-tia-,believe,,,,no structural IA candidate,0,
n21,piače˜,,7730,pati-več-ya-,be sifted,numeric IA ancestor,1,OIA pati-več-ya- “be sifted”
n22,palai,herder,,,,no structural IA candidate,0,
n23,palak-,flash,,,,no structural IA candidate,0,
n25,pâitâva,puttee,,,,no structural IA candidate,0,
n26,pâ-u,"down (away from the speaker, at an angle)",,,,no structural IA candidate,0,
n29,pâc̣anna,,8026,pâkṣ-i-ka-,favoring a party,numeric IA ancestor,1,OIA pâkṣ-i-ka- “favoring a party”
n30,"pac̣anna-
vani",,8026,pâkṣ-i-ka-,favoring a party,numeric IA ancestor,1,OIA pâkṣ-i-ka- “favoring a party”
n31,pâče˜,cotton thread,,,,no structural IA candidate,0,
n32,pâla,,8034,pâṭali-,kind of tree,numeric IA ancestor,1,OIA pâṭali- “kind of tree”
n33,pâṛa,,8034,pâṭali-,kind of tree,numeric IA ancestor,1,OIA pâṭali- “kind of tree”
n34,pâṭâl,lammergeier vulture,,,,no structural IA candidate,0,
n35,pâṣâi,Pašaī,,,,no structural IA candidate,0,
n36,pâṣu˜ta,Uṣ′üt,,,,no structural IA candidate,0,
n37,pârik,shoulder blade,,,,no structural IA candidate,0,
n39,pâdi,bushel,,,,no structural IA candidate,0,
n41,pâṇḍau,,8048,pânḍava-,Panḍava,numeric IA ancestor,1,OIA pânḍava- “Panḍava”
n42,pâ-pâ,sole (of foot),,,,no structural IA candidate,0,
n44,piku,wall brace,,,,no structural IA candidate,0,
n45,pič,,8154,piččha-:-,scum of boiled rice,numeric IA ancestor,1,OIA piččha-:- “scum of boiled rice”
n46,piša˜,crop,,,,no structural IA candidate,0,
n47,pištikâk,dung,,,,no structural IA candidate,0,
n50,pit,,8181,pitt′a-,bile,numeric IA ancestor,1,OIA pitt′a- “bile”
n51,pis,fart (silent),,,,no structural IA candidate,0,
n55,piṛi,,,,,no structural IA candidate,0,
n56,pil,shallow wooden bowl,,,,no structural IA candidate,0,
n58,pe,across (in a horizontal plane),,,,no structural IA candidate,0,
n62,püṇḍ,,,,,no structural IA candidate,0,
n70,piša-,,,,,no structural IA candidate,0,
n74,puaći,,,,,no structural IA candidate,0,
n78,paćâ,,,,,no structural IA candidate,0,
n80,pašpâ,,,,,no structural IA candidate,0,
n85,pača-,,,,,no structural IA candidate,0,
n88,-pak,,,,,no structural IA candidate,0,
n89,paka-,,,,,no structural IA candidate,0,
n90,pakʷe-,,,,,no structural IA candidate,0,
n104,pra-,,,,,no structural IA candidate,0,
n107,pa-,,,,,no structural IA candidate,0,
n113,pau,,,,,no structural IA candidate,0,
n118,pâr-,,,,,no structural IA candidate,0,
n121,pâr,,,,,no structural IA candidate,0,
n123,pâṭ,,,,,no structural IA candidate,0,
n127,pând,,,,,no structural IA candidate,0,
n131,pâṣu,,,,,no structural IA candidate,0,
n132,pâṣu-âṭi,,,,,no structural IA candidate,0,
n133,pâṣu-čaṭ,,,,,no structural IA candidate,0,
n136,pâṣu,,,,,no structural IA candidate,0,
n151,upa,,,,,no structural IA candidate,0,
n154,pâṭu,,,,,no structural IA candidate,0,
n156,paṭila,,,,,no structural IA candidate,0,
n163,upuǰa-,,,,,no structural IA candidate,0,
n171,pâ,,,,,no structural IA candidate,0,
n177,par,,,,,no structural IA candidate,0,
n178,pâr,,,,,no structural IA candidate,0,
n185,parei,,,,,no structural IA candidate,0,
n186,pârei,,,,,no structural IA candidate,0,
n187,pari,,,,,no structural IA candidate,0,
n190,parsa,,,,,no structural IA candidate,0,
n194,palâl,,,,,no structural IA candidate,0,
n203,pali,,,,,no structural IA candidate,0,
n214,pa˜č,,,,,no structural IA candidate,0,
n216,pačić,,,,,no structural IA candidate,0,
n217,pačilić,,,,,no structural IA candidate,0,
n219,pačauš,,,,,no structural IA candidate,0,
n220,pačiš,,,,,no structural IA candidate,0,
n226,pr̥k,,8355,p′r̥thak,separately,numeric IA ancestor,1,OIA p′r̥thak “separately”
n230,pupus,,,,,no structural IA candidate,0,
n236,puš,,,,,no structural IA candidate,0,
n237,pišâ˜,,8298,*pušši:-,cat,numeric IA ancestor,1,OIA *pušši:- “cat”
n238,pišâ˜š,,8298,*pušši:-,cat,numeric IA ancestor,1,OIA *pušši:- “cat”
n239,-pur-,-like,,,,no structural IA candidate,0,
n240,p′uṇa,calf (1-2 years),,,,no structural IA candidate,0,
n241,putr,,8265,putr′a-,son,numeric IA ancestor,1,OIA putr′a- “son”
n242,put-soṭ,companion,,,,no structural IA candidate,0,
n243,pus-,,8310.1,pus-,leaves; is left,numeric IA ancestor,1,PAr pus- “leaves; is left”
n244,pus-âv-,,8310.1,pus-,leaves; is left,numeric IA ancestor,1,PAr pus- “leaves; is left”
n245,pus,,8310.1,pus-,leaves; is left,numeric IA ancestor,1,PAr pus- “leaves; is left”
n246,punḍa-,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n247,punḍa-,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n248,puṇḍa,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n249,puṇḍa,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n250,puṇḍo,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n251,puṇḍo-i,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n252,puṇḍa-ra,,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n253,"puṇḍa-ra-i-
k",,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n254,"puṇḍa-ra-
k",,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n255,"puṇḍa-ra-
ṇa",,8377.7,punḍa-,swell up,numeric IA ancestor,1,OIA punḍa- “swell up”
n256,pu˜ṭ,,8259.1,punḍra-,pale; bright red; color of sugarcane,numeric IA ancestor,1,OIA punḍra- “pale; bright red; color of sugarcane”
n257,poč,,8400.5,počča-,cloth,numeric IA ancestor,1,OIA počča- “cloth”
n267,pa˜t,,,,,no structural IA candidate,0,
n271,pâla,,,,,no structural IA candidate,0,
n274,pâli,,,,,no structural IA candidate,0,
n278,pia-,,,,,no structural IA candidate,0,
n282,praća-,shake; beat,,,,no structural IA candidate,0,
n283,piliâ-,,8592,*pra-til-a-ti,goes forward,numeric IA ancestor,1,OIA *pra-til-a-ti “goes forward”
n284,piliŋa-,,8591,pra-ti-langʱ-ay-a-ti,transgresses; mounts,numeric IA ancestor,1,OIA pra-ti-langʱ-ay-a-ti “transgresses; mounts”
n285,prâr,,8906,pra-ɦâr-a-,blow,numeric IA ancestor,1,OIA pra-ɦâr-a- “blow”
n286,prâsiu˜,Vâsi,,,,no structural IA candidate,0,
n287,prost-pâ,bed-leg,,,,no structural IA candidate,0,
n295,pal,,9051,ph′ala-,fruit; grain,numeric IA ancestor,1,OIA ph′ala- “fruit; grain”
n296,pal-,,9051,ph′ala-,fruit; grain,numeric IA ancestor,1,OIA ph′ala- “fruit; grain”
n301,bâdur,,,,,no structural IA candidate,0,
