Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Overlap,Rank,Runner_Up_Overlap,Shared_Reflexes,Hierarchy_ID,Target_Language,Target_Form,Target_Gloss,Form_Similarity,Gloss_Overlap
n11,*paṭa,,7699,paṭṭa,"slab, tablet; leaf; metal plate",1,1,0,nis:paṭara,7699,OIA,paṭṭa-,slab; tablet,1.000,slab;tablet
n12,*paṭa,,7700,paṭṭa,"cloth, woven silk; bandage, fillet turban, diadem; woven",1,1,0,nis:mu-paṛi,7699,OIA,paṭṭa-,slab; tablet,1.000,
n13,*acẽpaṭ,,7701,*paṭṭa,veil; veil,1,1,0,nis:acẽ-poṭ,7699,OIA,paṭṭa-,slab; tablet,1.000,
n17,*pr̩ʦ,,7949,parśu,axe,1,1,0,sanu:pōs,7949,PAr,parču-,axe,0.800,axe
n29,*pāʦ̣anna,,8026,pākṣika,favouring a party,1,1,0,nis:pāʦ̣ana,8026,OIA,pâkṣ-i-ka-,favoring a party,1.000,party
n32,*pāla,,8034,pāṭali,Bignonia or Stereospermum suaveolens,1,1,0,nis:palā,8034,OIA,pâṭali-,kind of tree,1.000,
n41,*pāṇḍau,,8048,pāṇḍava,the five sons of Pāṇḍu,1,1,0,nis:paṇāv,8048,OIA,pânḍava-,Panḍava,1.000,
n45,*pic,,11477,vā́ja,"strength, vigour; ghee",1,1,0,sec:vaz,8154,OIA,piččha-:-,scum of boiled rice,0.200,
n47,*piśtikāk,dung,8139,pāṣi,dry cowdung; dung,1,1,0,nis:piśtik,,,,,0.000,
n50,*pit,,8349,pūla,"bunch, bundle; straw",1,1,1,ktivi:piur̆,8181,OIA,pitt′a-,bile,0.444,
n50,*pit,,8181,pittá,bile,1,2,1,nis:pit,8181,OIA,pitt′a-,bile,1.000,bile
n70,*piśa,,8142,piṁṣáti,grinds,1,1,0,nis:piśa,,PAr,pi˜š-′a-,grind,0.727,
n74,*puaʦi,,8407,*pōśī,pine; pine,1,1,0,nis:pɨʦ,,PAr,pauči:-,pine,0.444,pine
n80,*paśpā,,7986,paśupā́,herdsman,2,1,0,nis:gā-paśpā;nis:paśpā,,OIA,pašu-p′â-,herdsman,1.000,herdsman
n85,*paca,,7654,pacyátē,"is cooked, is digested; becomes ripe",1,1,0,nis:paca,,OIA,pač-y′a-te,is cooked; becomes ripe,1.000,becomes;cooked;is;ripe
n88,*pak,,7621,pakvá,"cooked, ripe; cooked food; ripe corn",2,1,0,Kam:puk;nis:pok,,PAr,pak-v′a-,cooked; ripe,1.000,cooked;ripe
n89,*paka,,7621,pakvá,"cooked, ripe; cooked food; ripe corn",1,1,0,nis:pukāla,,PAr,pak-v′a-,cooked; ripe,1.000,cooked;ripe
n104,*pra,,8655,prádadāti,gives away,1,1,0,nis:pra,,PAr,pr′a,forward,0.500,
n113,*pau,,8343,pū́rva,"fore, first, eastern, ancient",1,1,0,nis:pɘv,,PAr,pr̥:-va-,fore; first; ancient,0.889,ancient;first;fore
n123,*pāṭ,,7918,parṇá,"RV.,; lex., m.; RV. 2. <b>pārṇa-</b>; TāṇḍBr.,",1,1,0,nis:poṭ,,OIA,parṇ′a-,plumage; foliage,1.000,
n127,*pānd,,7918,parṇá,"RV.,; lex., m.; RV. 2. <b>pārṇa-</b>; TāṇḍBr.,",1,1,0,nis:pān,,OIA,parṇ′a-,plumage; foliage,1.000,
n131,*pāṣu,,7948,párśu,rib,1,1,0,nis:pāṣɨ,,PAr,p′aršu-,rib,1.000,rib
n154,*pāṭu,,7733,páttra,"wing-feather; wing; leaf, petal; leaf of book",1,1,0,nis:paṭæ,,PAr,p′at-tra-,wing-feather; leaf,1.000,feather;leaf;wing
n163,*upuja,,1814,útpadyatē,"arises, originates",1,1,0,nis:upuja,,OIA,′ut-pad-ya-te,arises; originates,1.000,arises;originates
n178,*pār,,8330,pūra,filling; flood; filling; flood,1,1,0,nis:mās-pār,,PAr,pu:r-a-,filling,1.000,filling
n186,*pārei,,8107,pāráyati,fills,1,1,0,nis:pāra,,OIA,pâr-′aya-ti,fills,1.000,fills
n187,*pari,,8107,pāráyati,fills,1,1,0,nis:pari-sta,,OIA,pâr-′aya-ti,fills,1.000,fills
n194,*palāl,,7953,pálala,mud,1,1,0,nis:palāl,,PAr,palâla-,mud,1.000,mud
n203,*pali,,7962,palitá,"grey, hoary, old; old age",1,1,0,nis:pali,,PAr,palit′a-,grey,1.000,grey
n214,*pãc,,7655,páñca,five,1,1,0,nis:pũc,,PAr,p′ank̂a,five,0.800,five
n220,*paciś,,7662,páñcadaśa,fifteen,1,1,0,nis:paciś,,OIA,p′anča-daša,fifteen,1.000,fifteen
n226,*pr̩k,,8355,*pr̩ta,filled,2,1,0,nis:pṛɘki amā;nis:pṛɘki manaṣ,8355,OIA,p′r̥thak,separately,0.800,
n230,*pupus,,9090,pʰuppʰusa,"lungs; swollen; panting; swelling; swelling of the gums and palate; lungs, animal's entrails",1,1,0,nis:papɨs,,PAr,phu-pphu-sa-,lungs,0.875,lungs
n236,*puś,,8306,púṣya,vigour; a kind of plant,1,1,0,nis:pɨś,,PAr,pus-ya-,kind of plant,1.000,kind;plant
n237,*piśā̃,,8298,*puśśī,cat,1,1,0,nis:piśā̃,8298,OIA,*pušši:-,cat,1.000,cat
n239,*pur,-like,8281,purás,"in front, before; formerly",1,1,0,Kam:pɨrɨk,,,,,0.000,
n244,*pusāv,,8310,*pusati,"leaves, is left",1,1,0,nis:pɨsā,8310.1,PAr,pus-,leaves; is left,0.667,is;leaves;left
n251,*puṇḍoi,,8377,*pēḍa,lump,1,1,0,nis:pɨṇi,8377.7,OIA,punḍa-,swell up,0.667,
n254,*puṇḍara k,,8377,*pēḍa,lump,1,1,0,nis:punḍrok,8377.7,OIA,punḍa-,swell up,0.667,
n257,*poc,,8400,pōta,cloth,1,1,0,nis:poc,8400.5,OIA,počča-,cloth,0.667,cloth
n267,*pãt,,7785,pántʰā,"path, road",1,1,0,nis:pũt,,PAr,p′antha-:-,path; road,0.909,path;road
n271,*pāla,,8125,pālá,protector; herdsman; guardian,1,1,0,nis:pāla,,PAr,pâl′a-,protector; herdsman,1.000,herdsman;protector
n278,*pia,,8209,píbati,drinks,1,1,0,nis:piia,,PAr,p′i-ba-ti,drinks,1.000,drinks
n283,*piliā,,8592,*pratilati,goes forward,1,1,0,nis:pilā,8592,OIA,*pra-til-a-ti,goes forward,1.000,forward;goes
n284,*piliŋa,,8591,pratilaŋgʰayati,transgresses; mounts,1,1,0,nis:piliŋa,8591,OIA,pra-ti-langʱ-ay-a-ti,transgresses; mounts,0.963,mounts;transgresses
n295,*pal,,9051,pʰála,"fruit; *grain; seed of a fruit; spot on dice; ripe fruit; to ripen; expand, burst",1,1,0,nis:pol,9051,OIA,ph′ala-,fruit; grain,0.889,fruit;grain
n321,*bi,,9250,bī́ja,"seed, semen",1,1,0,nis:bi,9250,OIA,b′i:ǰa-,seed; semen,1.000,seed;semen
n330,*ba,,9183,*bahira,external,1,1,0,sanu:ba,,OIA,baɦi-ra-,external,0.909,external
n333,*bair,,9183,*bahira,external,1,1,0,nis:ber,,OIA,baɦi-ra-,external,0.909,external
n354,*bāk,,9430,bʰāga,"portion, fraction; piece of land, place",1,1,0,Kam:bok,,PAr,bʱâg-a-kka-,portion; fraction,0.727,fraction;portion
n357,*bat,,9331,bʰaktá,"RV.,; Mn.,",1,1,0,nis:bot,,PAr,bʱak-t′a-,food; boiled rice,1.000,
n364,*baŋā,,9354,bʰaŋgá,hemp,1,1,0,nis:baŋæ,9354,OIA,bʱang′a-,hemp,0.889,hemp
n368,*bās,,11592,vāsa,perfume,1,1,0,nis:bās,,PAr,bʱa:s′a-,light; shine; glory; magnificence; power,0.750,
n372,*baz,,11477,vā́ja,"strength, vigour; ghee",1,1,0,sec:vaz,,PAr,ba:ǰʱ′u-,arm,0.500,
n373,*bitala,,9493,bʰitta,*split timber; fragment; wall,1,1,0,nis:bitala,9493,OIA,bʱit-ta-,split timber,1.000,split;timber
n377,*bo,,9250,bī́ja,"seed, semen",1,1,0,nis:bi,,PAr,bʱ′av-a-ti,becomes,0.400,
n382,*ba,,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",1,1,0,nis:ba,,OIA,bʱâv-aya-ti,causes to be,1.000,causes
n383,*bā,,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",1,1,0,sanu:bā,,OIA,bʱâv-aya-ti,causes to be,1.000,causes
n384,*bo,,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",1,1,0,nis:bo,,OIA,bʱâv-aya-ti,causes to be,1.000,causes
n392,*bum,,9556,bʰū́man,"earth, world",1,1,0,nis:bɨm,,PAr,bʱ′u:-man-,earth; world,1.000,earth;world
n397,*puruje,,7848,*paribudʰyatē,understands,1,1,0,nis:prɨjā,,OIA,pari-budʱ-ya-te,understands,1.000,understands
n411,*bār,,9459,bʰārá,"burden, weight; weight",1,1,0,nis:bā,,PAr,bʱâr-′a-,burden,1.000,burden
n419,*bāri,,9464,bʰārika,porter,1,1,0,nis:bari,,PAr,bʱâr-i-ka-,porter,1.000,porter
n442,*bale,,9474,bʰāláyatē,"describes, beholds",1,1,0,sanu:bal-ie,,OIA,bʱâl-′aya-te,describes; beholds,1.000,beholds;describes
n462,*brā,,9661,bʰrā́tr̩,brother,1,1,0,nis:brā,,PAr,bʱr′a:tr̥-,brother,1.000,brother
n480,*veṇa,,12111,vḗnati,"sees, looks; to see",1,1,0,nis:vr̆̃e,12111,OIA,v′en-a-ti,sees; looks,1.000,looks;sees
n481,*veṇe,,12111,vḗnati,"sees, looks; to see",1,1,0,sanu:vier̆̃-ie,12111,OIA,v′en-a-ti,sees; looks,1.000,looks;sees
n484,*vāṇi,,12111,vḗnati,"sees, looks; to see",1,1,0,nis:vr̆̃e,12111,PAr,vain-,sees; looks,0.600,looks;sees
n487,*vaṭdroṇ,,11353,*vartadruṇa,pellet-bow,1,1,0,nis:vaṭdrũ,11353,OIA,*vart-a-druṇa-,stone-bow,1.000,bow
n489,*baḍil,,11385,*vardʰira,"axe, hammer",1,1,0,nis:baḍil,11385,OIA,*vardʱ-ira-,axe; hammer,1.000,axe;hammer
n492,*ban,,11258,vána,"single tree; forest, timber",1,1,0,nis:ban,11258,OIA,v′ana-,forest; timber,1.000,forest;timber
n496,*manʣ,,11209,*vañja,oak; name of various trees,1,1,0,nis:mũʦ,11209,PAr,vanǰa-,oak,1.000,oak
n498,*maṭa,,11235,vaṇṭa-,share,1,1,0,nis:maṭa,11235.1,OIA,vanṭ-a-,share,1.000,share
n499,*maṭa,,11235,vaṇṭa-,share,1,1,0,nis:maṭa,11235.1,OIA,vanṭ-a-,share,1.000,share
