ID,Query,Status,Latitude,Longitude,OSM_Type,OSM_ID,Match
nubri_sama,"Samagaon, Gorkha, Nepal",geocoded,28.5846748,84.6440443,node,1078765424,"सामागाउ‌‍‍‍, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_lho,"Lho, Gorkha, Nepal",geocoded,28.5740470,84.7019922,node,1782474498,"Lho, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_namrung,"Namrung, Gorkha, Nepal",geocoded,28.5450595,84.7678840,node,11741261311,"Namrung, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_prok,"Prok, Gorkha, Nepal",geocoded,28.5212042,84.8338395,node,9364209682,"Prok, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
tsum_chekampar,"Chekampar, Tsum Valley, Gorkha, Nepal",regional-fallback,,,,,
southern_ghale_barpak,"Barpak, Gorkha, Nepal",geocoded,28.2029090,84.7445140,node,3386580344,"Barpak, Sulikot, गोरखा, गण्डकी प्रदेश, नेपाल"
southern_ghale_kyaura,"Kyaura, Saurpani, Gorkha, Nepal",regional-fallback,,,,,
southern_ghale_laprak,"Laprak, Gorkha, Nepal",geocoded,28.2191492,84.8013991,node,3386661752,"Laprak, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_jagat,"Jagat, Gorkha, Nepal",geocoded,28.3514140,84.8958597,node,1078765998,"Jagat, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_philim,"Philim, Gorkha, Nepal",geocoded,28.3933175,84.8966189,node,1046601963,"Philim, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_uiya,"Uiya, Gorkha, Nepal",regional-fallback,,,,,
northern_ghale_khorla,"Khorla, Gorkha, Nepal",geocoded,28.2428629,84.8661610,way,340546877,"Khorla, Dharche-03, Machhakhola, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_nyak,"Nyak, Gorkha, Nepal",geocoded,28.4435327,84.8936869,node,1781687924,"Nyak, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
kutang_ghale_bihi,"Bihi, Gorkha, Nepal",geocoded,28.5082840,84.8624650,node,3494189593,"Bihi, Chum Nubri-05, Gyayoul, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
kutang_ghale_chyak,"Chyak, Gorkha, Nepal",regional-fallback,,,,,
kutang_ghale_rana,"Rana, Gorkha, Nepal",geocoded,27.8568819,84.7361004,node,10873361313,"राणा गाउँ, Gandaki, गोरखा, गण्डकी प्रदेश, नेपाल"
eastern_gorkha_tamang_keraunja,"Keraunja, Gorkha, Nepal",geocoded,28.3098002,84.9034686,node,4845077901,"Keraunja, Dharche-01, Dobhan, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
western_tamang_lamagara,"Lamagara, Midkot, Gorkha, Nepal",regional-fallback,,,,,
brahui_rakhshan,"Rakhshan, Balochistan, Pakistan",geocoded,28.3836750,64.1757536,relation,16653787,"رخشان ڈویژن, بلوچستان, پاکستان"
kurux_lochani,"Lochani, Morang, Nepal",regional-fallback,,,,,
kurux_bhokraha,"Bhokraha, Sunsari, Nepal",geocoded,26.6069849,87.1258950,node,5048183051,"Bhokraha, Bhokraha-04, भोक्राहा नरसिंह, भोक्राहा नरसिंह गाउँपालिका, सुनसरी जिल्ला, कोशी प्रदेश, नेपाल"
kurux_siddhapur,"Siddhapur, Parsa, Nepal",regional-fallback,,,,,
kurux_tokla,"Tokla, Jhapa, Nepal",regional-fallback,,,,,
loke_lo_manthang,"Lo Manthang, Upper Mustang, Nepal",regional-fallback,,,,,
