ID,Latitude,Longitude,Method,Source,Note
nubri_sama,28.5846748,84.6440443,openstreetmap,OSM node 1078765424,"सामागाउ‌‍‍‍, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_lho,28.574047,84.7019922,openstreetmap,OSM node 1782474498,"Lho, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_namrung,28.5450595,84.767884,openstreetmap,OSM node 11741261311,"Namrung, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
nubri_prok,28.5212042,84.8338395,openstreetmap,OSM node 9364209682,"Prok, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
tsum_chekampar,28.47291,85.0839,gazetteer-area,GeoNames 10318012,administrative area point
southern_ghale_barpak,28.202909,84.744514,openstreetmap,OSM node 3386580344,"Barpak, Sulikot, गोरखा, गण्डकी प्रदेश, नेपाल"
southern_ghale_kyaura,28.102,84.705,manual-map,Saurpani locality context,approximate village display point
southern_ghale_laprak,28.2191492,84.8013991,openstreetmap,OSM node 3386661752,"Laprak, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_jagat,28.351414,84.8958597,openstreetmap,OSM node 1078765998,"Jagat, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_philim,28.3933175,84.8966189,openstreetmap,OSM node 1046601963,"Philim, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_uiya,28.28459,84.88885,gazetteer,GeoNames 7997392,
northern_ghale_khorla,28.2428629,84.866161,openstreetmap,OSM way 340546877,"Khorla, Dharche-03, Machhakhola, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
northern_ghale_nyak,28.4435327,84.8936869,openstreetmap,OSM node 1781687924,"Nyak, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
kutang_ghale_bihi,28.508284,84.862465,openstreetmap,OSM node 3494189593,"Bihi, Chum Nubri-05, Gyayoul, Chum Nubri, गोरखा, गण्डकी प्रदेश, नेपाल"
kutang_ghale_chyak,28.53,84.84,manual-map,Kutang survey map,approximate village display point
kutang_ghale_rana,28.55,84.79,manual-map,Kutang survey map,corrects unrelated southern Nepal match; approximate
eastern_gorkha_tamang_keraunja,28.3098002,84.9034686,openstreetmap,OSM node 4845077901,"Keraunja, Dharche-01, Dobhan, Dharche, गोरखा, गण्डकी प्रदेश, नेपाल"
western_tamang_lamagara,28.02,85.04,manual-map,Midkot survey locality context,approximate; rejects same-name western Nepal result
brahui_rakhshan,28.383675,64.1757536,openstreetmap,OSM relation 16653787,"رخشان ڈویژن, بلوچستان, پاکستان"
kurux_lochani,26.64008,87.31626,gazetteer,GeoNames 7970190,
kurux_bhokraha,26.6069849,87.125895,openstreetmap,OSM node 5048183051,"Bhokraha, Bhokraha-04, भोक्राहा नरसिंह, भोक्राहा नरसिंह गाउँपालिका, सुनसरी जिल्ला, कोशी प्रदेश, नेपाल"
kurux_siddhapur,27.16,84.88,manual-map,Parsa district locality context,approximate; rejects same-name eastern Nepal result
kurux_tokla,26.72229,88.15386,gazetteer,GeoNames 7953940,
loke_lo_manthang,29.18391,83.96267,gazetteer,GeoNames 1283080,
loke_ghiling,28.9438,83.8184,manual-map,Upper Mustang settlement map,
loke_chhosher,29.145,83.958,manual-map,Upper Mustang settlement map,approximate village center
loke_jharkot,28.81937,83.84811,gazetteer,GeoNames 6941673,
loke_kagbeni,28.83717,83.78363,gazetteer,GeoNames 1283278,
thakali_tukuche,28.7108973,83.6452283,openstreetmap,OSM node 5669668358,"Tukuche, Thasang, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_marpha,28.751913,83.686234,openstreetmap,OSM way 180611195,"Marpha, Gharapjhong-02, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_thini,28.7688847,83.7225591,openstreetmap,OSM way 352604043,"Thini Kola, Khutsab Terenga Gumba, Gharapjhong-05, Thinigaon, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_syang,28.7752908,83.7080823,openstreetmap,OSM node 1910417085,"Syāng, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
maikoti_maikot,28.6765833,82.8774444,survey-gps,Maikoti Kham survey appendix,
maikoti_ranma,28.7006389,82.8578611,survey-gps,Maikoti Kham survey appendix,
maikoti_arjal,28.6791667,82.8160833,survey-gps,Maikoti Kham survey appendix,
maikoti_hukam,28.6742222,82.85825,survey-gps,Maikoti Kham survey appendix,
kochila_morang_east,26.56281,87.33297,gazetteer,GeoNames 7971221,
kochila_bara_west,27.0487916,85.3098587,openstreetmap,OSM way 1229111531,"Simara Bhawanipur, गुजरा नगरपालिका, रौतहट जिल्ला, मधेश प्रदेश, नेपाल"
kochila_siraha_central,26.70755,86.4431,gazetteer,GeoNames 7996357,
majhi_kunauri,27.3742833,86.0344333,survey-gps,Majhi/Bote survey appendix,Appendix prints E06; interpreted as E086 from the site and companion entries
majhi_gaikura,27.4035667,86.0661,survey-gps,Majhi/Bote survey appendix,
majhi_majhigau,27.2640167,86.66495,survey-gps,Majhi/Bote survey appendix,
