ID,Entry_ID,Compared_Entry_ID,Relation,Direction,Confidence,Source,Evidence
cdial:52:dedr:d7,52,d7,loan,entry-from-compared,medium,CDIAL[entry 52],"Turner labels agāra- 'house' probably borrowed from Dravidian; DEDR 7 contains Ta. and Ma. akam 'inside, house, abode'."
cdial:1558:dedr:d517,1558,d517,related,undetermined,low,CDIAL[entry 1558],"Turner/EWA identifies iñcāka- 'prawn, shrimp' as Dravidian; DEDR 517 is the Dravidian prawn/shrimp set (Ta. iṟā/iṟāl, Te. reyya/royya), although the formal correspondence is not transparent."
cdial:1699:dedr:d664,1699,d664,loan,entry-from-compared,high,CDIAL[entry 1699],"Turner derives the ball/roll senses from Dravidian and explicitly compares Ta. uṇṭai, Ma. uṇḍa, and Ka./Tu. uṇḍe, all contained in DEDR 664."
cdial:2931:dedr:d1299,2931,d1299,loan,entry-from-compared,medium,CDIAL[entry 2931],"Turner supports Dravidian origin for kalāpa- 'bundle, collection' with Ka. kalappu 'miscellaneous collection'; DEDR 1299 contains Ka. kalapu 'miscellaneous mass' in the *kal- 'mix, join' set."
cdial:3153:dedr:d2020,3153,d2020,related,undetermined,medium,CDIAL[entry 3153],"Turner directs *kicca-/*kacca-/*khacca- 'mud, dirt' to unnamed Dravidian comparanda; DEDR 2020 *kec-aṯ- 'mud, slush' supplies the closest form-and-meaning match."
cdial:3244:dedr:d2064,3244,d2064,loan,entry-from-compared,medium,CDIAL[entry 3244],"Turner/EWA derives kuṭhāra- 'axe' probably from Dravidian and connects it with √kuṭṭ; DEDR 2064 contains koṭṭ-/kuṭ- 'peck, strike, dig' and nouns for hoe or spade. Secondary main-entry comparison beside the existing appendix da32 link."
cdial:3246:dedr:d1651,3246,d1651,loan,entry-from-compared,high,CDIAL[entry 3246],"Turner/EWA derives kuḍava- 'grain measure' from Dravidian and states that its original sense was 'pot'; DEDR 1651 contains Ta. kuṭam, Ka. koḍa, and Te. kuḍaka 'pot, cup, bowl'. Secondary comparison beside the existing DEDR 1827 measure link."
cdial:3352:dedr:d1828,3352,d1828,loan,entry-from-compared,high,CDIAL[entry 3352],"Turner explicitly compares the pond/tank member kūla- with Ta. kuḷam 'tank'; this form belongs to DEDR 1828 *kuḷ-am 'tank, reservoir, lake'."
cdial:3401:dedr:d1895,3401,d1895,loan,entry-from-compared,high,CDIAL[entry 3401],"Turner derives kūpa- 'mooring post, mast' from Dravidian Ta./Ma. kūmpu and Tu. kūvè 'mast', the forms collected in DEDR 1895."
cdial:3489:dedr:d1859,3489,d1859,related,undetermined,medium,dedr[entry 1859],"Editorial comparison of CDIAL *kōcc- 'thrust, pierce, dig' with DEDR 1859 Ka./Tu. koccu 'cut up or into pieces' and the wider *kuṟ-/koṟ- set 'cut, bore, excavate, pierce'."
cdial:3500:dedr:d2207,3500,d2207,loan,entry-from-compared,high,"dedr[entry 2207, DED 1831]","DEDR 2207 explicitly compares Skt. koṭṭa-/koṭa- 'fort, stronghold'; the Dravidian entry contains Ta. kōṭṭai, Ma. kōṭṭa, Ka. kōṭe, Te. kōṭa and reconstructs *kōṭṭ-ay 'fort'."
cdial:4516:dedr:d1711,4516,d1711,related,undetermined,medium,CDIAL[entry 4516],"Turner/EWA calls ghōṭa- 'horse' non-Aryan and probably Dravidian; DEDR 1711 is the kutirai/kudire/guṟṟamu horse set, but its note also allows Te. guṟṟamu to be borrowed from IA ghoṭaka-, so direction remains open."
cdial:4658:dedr:d2448,4658,d2448,related,undetermined,medium,"dedr[entry 2448, DED 2021]","DEDR 2448 explicitly compares Skt. candana- 'sandal'; the entry combines Ta. cāttu 'smear, anoint', cāntam/cāntu 'sandal (paste/wood)', and corresponding South Dravidian forms."
cdial:6128:dedr:d3056,6128,d3056,related,undetermined,medium,CDIAL[entry 6128],"CDIAL treats daṇḍa- 'stick, staff; stalk, stem' as probably non-Aryan; DEDR 3056 contains Ta./Ma. taṇṭu, Ka. daṇṭu/daṇḍa, and Te. daṇṭu 'stalk, stem'."
cdial:8168:dedr:d4162,8168,d4162,related,undetermined,medium,CDIAL[entry 8168],"Turner cites a Dravidian proposal for píṇḍa- 'lump; ball of rice'; DEDR 4162 contains Ta. piṇṭi and Te./Central Dravidian piṇḍi 'flour, meal, powder'. Direction is left open because the Dravidian nominal forms may reflect IA influence."
cdial:8317:dedr:d4352,8317,d4352,related,undetermined,low,dedr[entry 4352],"Editorial cross-reference for the classical proposal connecting pūjā- 'worship' with ritual smearing/anointing: DEDR 4352 Ta./Ma. pūcu, Ka. pūsu, Tu. pūjuni, Te. pūyu 'smear, anoint'. The proposal is contested, so no direction is asserted."
