Strand_ID,CDIAL_ID
n66,8216
n93,8028
n140,8363
n144,8124
n148,1820
n164,7215
n167,7731
n181,8335
n199,7701
n207,8045
n210,8030
n233,8303-2
n261,2190
n343,9173
n361,9437a
n438,9479
n595,10058
n653,8727-2
n660,9935
n711,8730-3
n721,9812
n722,9809
n734,9870
n758,8720
n777,10052
n780,9999
n783,10023
n801,14753
n919,12064
n926,11370
n1033,2218
n1046,1582
n1063,14257
n1145,14573
n1299,6494
n1301,2178a
n1304,6493
n1312,6523
n1313,6539
n1349,2001
n1357,6634
n1443,8655
n1446,8655-3
n1449,8661
n1459,5228-2
n1462,5228
n1489,6591
n1509,6628-2
n1537,13309
n1590,7465
n1669,7128
n1715,1920
n1766,12559
n1774,1854
n1775,1855
n1812,13646
n1828,4336
n1830,13756
n1850,1907
n1887,2268
n1935,13843a
n1956,12659
n1973,11002
n1976,10539
n1980,1356
n1983,1356-2
n1996,10624
n2025,11862
n2047,11122
n2066,11885
n2069,1373
n2082,1363
n2104,7603
n2168,7031
n2173,14661
n2219,2102
n2223,7087
n2225,7084
n2350,11168
n2355,10866
n2358,11158
n2362,10852
n2451,12258
n2478,2462
n2480,2470
n2482,2477
n2514,12223
n2517,1288
n2518,11834
n2533,7256
n2574,10412
n2622,11045
n2626,2461
n2713,12620
n2767,12331
n2797,12345
n2971,3470
n3029,2753
n3041,4813
n3099,3521
n3102,2584
n3106,3308
n3112,3208
n3113,3208
n3131,4562
n3207,3645
n3217,3682
n3220,3687
n3240,11956
n3241,11949
n3244,12693
n3527,5450
n3581,4916
n3620,4605-2
n3697,3652
n3713,5141
