Character	Codepoint	Unicode_Name	Occurrences	Covered_By_Existing_Profile
 	U+0020	SPACE	8	yes
:	U+003A	COLON	1	yes
K	U+004B	LATIN CAPITAL LETTER K	1	yes
M	U+004D	LATIN CAPITAL LETTER M	1	yes
a	U+0061	LATIN SMALL LETTER A	312	yes
b	U+0062	LATIN SMALL LETTER B	28	yes
d	U+0064	LATIN SMALL LETTER D	110	yes
e	U+0065	LATIN SMALL LETTER E	225	yes
g	U+0067	LATIN SMALL LETTER G	70	yes
h	U+0068	LATIN SMALL LETTER H	3	yes
i	U+0069	LATIN SMALL LETTER I	255	yes
j	U+006A	LATIN SMALL LETTER J	62	yes
k	U+006B	LATIN SMALL LETTER K	147	yes
l	U+006C	LATIN SMALL LETTER L	101	yes
m	U+006D	LATIN SMALL LETTER M	156	yes
n	U+006E	LATIN SMALL LETTER N	177	yes
o	U+006F	LATIN SMALL LETTER O	91	yes
p	U+0070	LATIN SMALL LETTER P	134	yes
r	U+0072	LATIN SMALL LETTER R	112	yes
s	U+0073	LATIN SMALL LETTER S	13	yes
t	U+0074	LATIN SMALL LETTER T	219	yes
u	U+0075	LATIN SMALL LETTER U	196	yes
v	U+0076	LATIN SMALL LETTER V	34	yes
y	U+0079	LATIN SMALL LETTER Y	3	yes
æ	U+00E6	LATIN SMALL LETTER AE	9	yes
ŋ	U+014B	LATIN SMALL LETTER ENG	24	yes
œ	U+0153	LATIN SMALL LIGATURE OE	1	yes
ɐ	U+0250	LATIN SMALL LETTER TURNED A	8	yes
ɑ	U+0251	LATIN SMALL LETTER ALPHA	68	yes
ɔ	U+0254	LATIN SMALL LETTER OPEN O	3	yes
ɕ	U+0255	LATIN SMALL LETTER C WITH CURL	9	yes
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	35	yes
ə	U+0259	LATIN SMALL LETTER SCHWA	55	yes
ɛ	U+025B	LATIN SMALL LETTER OPEN E	11	yes
ɜ	U+025C	LATIN SMALL LETTER REVERSED OPEN E	21	yes
ɨ	U+0268	LATIN SMALL LETTER I WITH STROKE	66	yes
ɩ	U+0269	LATIN SMALL LETTER IOTA	1	yes
ɬ	U+026C	LATIN SMALL LETTER L WITH BELT	1	yes
ɭ	U+026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK	73	yes
ɲ	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK	30	yes
ɳ	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	52	yes
ɻ	U+027B	LATIN SMALL LETTER TURNED R WITH HOOK	2	yes
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	1	yes
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	41	yes
ʃ	U+0283	LATIN SMALL LETTER ESH	94	yes
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	37	yes
ʋ	U+028B	LATIN SMALL LETTER V WITH HOOK	12	yes
ʌ	U+028C	LATIN SMALL LETTER TURNED V	70	yes
ʒ	U+0292	LATIN SMALL LETTER EZH	23	yes
ʰ	U+02B0	MODIFIER LETTER SMALL H	11	yes
ː	U+02D0	MODIFIER LETTER TRIANGULAR COLON	214	yes
̪	U+032A	COMBINING BRIDGE BELOW	170	yes
̻	U+033B	COMBINING SQUARE BELOW	2	yes
ᵉ	U+1D49	MODIFIER LETTER SMALL E	2	yes
ᵊ	U+1D4A	MODIFIER LETTER SMALL SCHWA	13	yes
ᵘ	U+1D58	MODIFIER LETTER SMALL U	11	yes
ᵬ	U+1D6C	LATIN SMALL LETTER B WITH MIDDLE TILDE	1	yes
ᶤ	U+1DA4	MODIFIER LETTER SMALL I WITH STROKE	5	yes
ⁱ	U+2071	SUPERSCRIPT LATIN SMALL LETTER I	19	yes
