Language_ID	Parameter_ID	Form	Gloss	Native	Phonemic	Notes	Source	Cognateset	Etymology	Entry_Key	Variant_Of_Key	Borrowed_From_Key	Derivation_Parent_Keys	Tags
markodi_pannithadam		itʃi	Body		itʃi	JLSR 2025-005 physical p.28 / printed p.22 / item 1 / MTP / left column	canvin2025[p. 22, item 1, MTP]			sil-mavilan-2025-001-mtp				
markodi_vannarkadav		itʃi	Body		itʃi	JLSR 2025-005 physical p.28 / printed p.22 / item 1 / MTV / left column	canvin2025[p. 22, item 1, MTV]			sil-mavilan-2025-001-mtv				
markodi_ennappara		itʃi	Body		itʃi	JLSR 2025-005 physical p.28 / printed p.22 / item 1 / MTE / left column	canvin2025[p. 22, item 1, MTE]			sil-mavilan-2025-001-mte				
markodi_pannithadam		t̪ʌlʌd	Head		t̪ʌlʌd	JLSR 2025-005 physical p.28 / printed p.22 / item 2 / MTP / left column	canvin2025[p. 22, item 2, MTP]			sil-mavilan-2025-002-mtp				
markodi_vannarkadav		t̪ələɖ	Head		t̪ələɖ	JLSR 2025-005 physical p.28 / printed p.22 / item 2 / MTV / left column	canvin2025[p. 22, item 2, MTV]			sil-mavilan-2025-002-mtv				
markodi_ennappara		t̪ʌlad	Head		t̪ʌlad	JLSR 2025-005 physical p.28 / printed p.22 / item 2 / MTE / left column	canvin2025[p. 22, item 2, MTE]			sil-mavilan-2025-002-mte				
markodi_pannithadam		t̪araɳaːl	Hair		t̪araɳaːl	JLSR 2025-005 physical p.28 / printed p.22 / item 3 / MTP / left column	canvin2025[p. 22, item 3, MTP]			sil-mavilan-2025-003-mtp				
markodi_vannarkadav		t̪ʌrəɳal	Hair		t̪ʌrəɳal	JLSR 2025-005 physical p.28 / printed p.22 / item 3 / MTV / left column	canvin2025[p. 22, item 3, MTV]			sil-mavilan-2025-003-mtv				
markodi_ennappara		t̪araɳal	Hair		t̪araɳal	JLSR 2025-005 physical p.28 / printed p.22 / item 3 / MTE / left column	canvin2025[p. 22, item 3, MTE]			sil-mavilan-2025-003-mte				
markodi_pannithadam		muːd	Face		muːd	JLSR 2025-005 physical p.28 / printed p.22 / item 4 / MTP / left column	canvin2025[p. 22, item 4, MTP]			sil-mavilan-2025-004-mtp				
markodi_vannarkadav		mːɖ	Face		mːɖ	JLSR 2025-005 physical p.28 / printed p.22 / item 4 / MTV / left column	canvin2025[p. 22, item 4, MTV]			sil-mavilan-2025-004-mtv				
markodi_ennappara		muːɖ	Face		muːɖ	JLSR 2025-005 physical p.28 / printed p.22 / item 4 / MTE / left column	canvin2025[p. 22, item 4, MTE]			sil-mavilan-2025-004-mte				
markodi_pannithadam		kɑnnɨ	Eye		kɑnnɨ	JLSR 2025-005 physical p.28 / printed p.22 / item 5 / MTP / left column	canvin2025[p. 22, item 5, MTP]			sil-mavilan-2025-005-mtp				
markodi_vannarkadav		kanːɨ	Eye		kanːɨ	JLSR 2025-005 physical p.28 / printed p.22 / item 5 / MTV / left column	canvin2025[p. 22, item 5, MTV]			sil-mavilan-2025-005-mtv				
markodi_ennappara		kɑnni	Eye		kɑnni	JLSR 2025-005 physical p.28 / printed p.22 / item 5 / MTE / left column	canvin2025[p. 22, item 5, MTE]			sil-mavilan-2025-005-mte				
markodi_pannithadam		tʃevi	Ear		tʃevi	JLSR 2025-005 physical p.28 / printed p.22 / item 6 / MTP / left column	canvin2025[p. 22, item 6, MTP]			sil-mavilan-2025-006-mtp				
markodi_vannarkadav		tʃevi	Ear		tʃevi	JLSR 2025-005 physical p.28 / printed p.22 / item 6 / MTV / left column	canvin2025[p. 22, item 6, MTV]			sil-mavilan-2025-006-mtv				
markodi_ennappara		tʃevi	Ear		tʃevi	JLSR 2025-005 physical p.28 / printed p.22 / item 6 / MTE / left column	canvin2025[p. 22, item 6, MTE]			sil-mavilan-2025-006-mte				
markodi_pannithadam		muːkʰ	Nose		muːkʰ	JLSR 2025-005 physical p.28 / printed p.22 / item 7 / MTP / middle column	canvin2025[p. 22, item 7, MTP]			sil-mavilan-2025-007-mtp				
markodi_vannarkadav		muːkʰ	Nose		muːkʰ	JLSR 2025-005 physical p.28 / printed p.22 / item 7 / MTV / middle column	canvin2025[p. 22, item 7, MTV]			sil-mavilan-2025-007-mtv				
markodi_ennappara		muːkʰ	Nose		muːkʰ	JLSR 2025-005 physical p.28 / printed p.22 / item 7 / MTE / middle column	canvin2025[p. 22, item 7, MTE]			sil-mavilan-2025-007-mte				
markodi_pannithadam		vay	Mouth		vay	JLSR 2025-005 physical p.28 / printed p.22 / item 8 / MTP / middle column	canvin2025[p. 22, item 8, MTP]			sil-mavilan-2025-008-mtp				
markodi_vannarkadav		kət̪ʌr	Mouth		kət̪ʌr	JLSR 2025-005 physical p.28 / printed p.22 / item 8 / MTV / middle column	canvin2025[p. 22, item 8, MTV]			sil-mavilan-2025-008-mtv				
markodi_ennappara		ket̪ər	Mouth		ket̪ər	JLSR 2025-005 physical p.28 / printed p.22 / item 8 / MTE / middle column	canvin2025[p. 22, item 8, MTE]			sil-mavilan-2025-008-mte				
markodi_pannithadam		kuːli	Tooth		kuːli	JLSR 2025-005 physical p.28 / printed p.22 / item 9 / MTP / middle column	canvin2025[p. 22, item 9, MTP]			sil-mavilan-2025-009-mtp				
markodi_vannarkadav		kuːli	Tooth		kuːli	JLSR 2025-005 physical p.28 / printed p.22 / item 9 / MTV / middle column	canvin2025[p. 22, item 9, MTV]			sil-mavilan-2025-009-mtv				
markodi_ennappara		kuli	Tooth		kuli	JLSR 2025-005 physical p.28 / printed p.22 / item 9 / MTE / middle column	canvin2025[p. 22, item 9, MTE]			sil-mavilan-2025-009-mte				
markodi_pannithadam		naʋu	Tongue		naʋu	JLSR 2025-005 physical p.28 / printed p.22 / item 10 / MTP / middle column	canvin2025[p. 22, item 10, MTP]			sil-mavilan-2025-010-mtp				
markodi_vannarkadav		naʋ	Tongue		naʋ	JLSR 2025-005 physical p.28 / printed p.22 / item 10 / MTV / middle column	canvin2025[p. 22, item 10, MTV]			sil-mavilan-2025-010-mtv				
markodi_ennappara		nɑʋu	Tongue		nɑʋu	JLSR 2025-005 physical p.28 / printed p.22 / item 10 / MTE / middle column	canvin2025[p. 22, item 10, MTE]			sil-mavilan-2025-010-mte				
markodi_pannithadam		nentʃ	Chest		nentʃ	JLSR 2025-005 physical p.28 / printed p.22 / item 11 / MTP / middle column	canvin2025[p. 22, item 11, MTP]			sil-mavilan-2025-011-mtp				
markodi_vannarkadav		nəɲdʒ	Chest		nəɲdʒ	JLSR 2025-005 physical p.28 / printed p.22 / item 11 / MTV / middle column	canvin2025[p. 22, item 11, MTV]			sil-mavilan-2025-011-mtv				
markodi_ennappara		nɛntʃː	Chest		nɛntʃː	JLSR 2025-005 physical p.28 / printed p.22 / item 11 / MTE / middle column	canvin2025[p. 22, item 11, MTE]			sil-mavilan-2025-011-mte				
markodi_pannithadam		vɑntʃi	Belly		vɑntʃi	JLSR 2025-005 physical p.28 / printed p.22 / item 12 / MTP / middle column	canvin2025[p. 22, item 12, MTP]			sil-mavilan-2025-012-mtp				
markodi_vannarkadav		vəɲtʃi	Belly		vəɲtʃi	JLSR 2025-005 physical p.28 / printed p.22 / item 12 / MTV / middle column	canvin2025[p. 22, item 12, MTV]			sil-mavilan-2025-012-mtv				
markodi_ennappara		vɑjarᵘ	Belly		vɑjarᵘ	JLSR 2025-005 physical p.28 / printed p.22 / item 12 / MTE / middle column	canvin2025[p. 22, item 12, MTE]			sil-mavilan-2025-012-mte				
markodi_pannithadam		kajː	Arm		kajː	JLSR 2025-005 physical p.28 / printed p.22 / item 13 / MTP / right column	canvin2025[p. 22, item 13, MTP]			sil-mavilan-2025-013-mtp				
markodi_vannarkadav		kɑi	Arm		kɑi	JLSR 2025-005 physical p.28 / printed p.22 / item 13 / MTV / right column	canvin2025[p. 22, item 13, MTV]			sil-mavilan-2025-013-mtv				
markodi_ennappara		kaj	Arm		kaj	JLSR 2025-005 physical p.28 / printed p.22 / item 13 / MTE / right column	canvin2025[p. 22, item 13, MTE]			sil-mavilan-2025-013-mte				
markodi_pannithadam		muʈʈ	Elbow		muʈʈ	JLSR 2025-005 physical p.28 / printed p.22 / item 14 / MTP / right column	canvin2025[p. 22, item 14, MTP]			sil-mavilan-2025-014-mtp				
markodi_vannarkadav		muʈʈ	Elbow		muʈʈ	JLSR 2025-005 physical p.28 / printed p.22 / item 14 / MTV / right column	canvin2025[p. 22, item 14, MTV]			sil-mavilan-2025-014-mtv				
markodi_ennappara		muʈː	Elbow		muʈː	JLSR 2025-005 physical p.28 / printed p.22 / item 14 / MTE / right column	canvin2025[p. 22, item 14, MTE]			sil-mavilan-2025-014-mte				
markodi_pannithadam		uɭɭɑmkɑi	Palm		uɭɭɑmkɑi	JLSR 2025-005 physical p.28 / printed p.22 / item 15 / MTP / right column	canvin2025[p. 22, item 15, MTP]			sil-mavilan-2025-015-mtp				
markodi_vannarkadav		uɭɭɑmkɑi	Palm		uɭɭɑmkɑi	JLSR 2025-005 physical p.28 / printed p.22 / item 15 / MTV / right column	canvin2025[p. 22, item 15, MTV]			sil-mavilan-2025-015-mtv				
markodi_ennappara		uɭɭamkɑj	Palm		uɭɭamkɑj	JLSR 2025-005 physical p.28 / printed p.22 / item 15 / MTE / right column	canvin2025[p. 22, item 15, MTE]			sil-mavilan-2025-015-mte				
markodi_pannithadam		viɾal	Finger		viɾal	JLSR 2025-005 physical p.28 / printed p.22 / item 16 / MTP / right column	canvin2025[p. 22, item 16, MTP]			sil-mavilan-2025-016-mtp				
markodi_vannarkadav		veɽʌɭɨ	Finger		veɽʌɭɨ	JLSR 2025-005 physical p.28 / printed p.22 / item 16 / MTV / right column	canvin2025[p. 22, item 16, MTV]			sil-mavilan-2025-016-mtv				
markodi_ennappara		viɾæl	Finger		viɾæl	JLSR 2025-005 physical p.28 / printed p.22 / item 16 / MTE / right column	canvin2025[p. 22, item 16, MTE]			sil-mavilan-2025-016-mte				
markodi_pannithadam		nakʰam	Fingernail		nakʰam	JLSR 2025-005 physical p.28 / printed p.22 / item 17 / MTP / right column	canvin2025[p. 22, item 17, MTP]			sil-mavilan-2025-017-mtp				
markodi_vannarkadav		nakʰəm	Fingernail		nakʰəm	JLSR 2025-005 physical p.28 / printed p.22 / item 17 / MTV / right column	canvin2025[p. 22, item 17, MTV]			sil-mavilan-2025-017-mtv				
markodi_ennappara		nakʰːam	Fingernail		nakʰːam	JLSR 2025-005 physical p.28 / printed p.22 / item 17 / MTE / right column	canvin2025[p. 22, item 17, MTE]			sil-mavilan-2025-017-mte				
markodi_pannithadam		kaːr	Leg		kaːr	JLSR 2025-005 physical p.28 / printed p.22 / item 18 / MTP / right column	canvin2025[p. 22, item 18, MTP]			sil-mavilan-2025-018-mtp				
markodi_vannarkadav		kar	Leg		kar	JLSR 2025-005 physical p.28 / printed p.22 / item 18 / MTV / right column	canvin2025[p. 22, item 18, MTV]			sil-mavilan-2025-018-mtv				
markodi_ennappara		kar	Leg		kar	JLSR 2025-005 physical p.28 / printed p.22 / item 18 / MTE / right column	canvin2025[p. 22, item 18, MTE]			sil-mavilan-2025-018-mte				
markodi_pannithadam		t̪ol	Skin		t̪ol	JLSR 2025-005 physical p.29 / printed p.23 / item 19 / MTP / left column	canvin2025[p. 23, item 19, MTP]			sil-mavilan-2025-019-mtp				
markodi_vannarkadav		tːoːl	Skin		tːoːl	JLSR 2025-005 physical p.29 / printed p.23 / item 19 / MTV / left column	canvin2025[p. 23, item 19, MTV]			sil-mavilan-2025-019-mtv				
markodi_ennappara		t̪oːl	Skin		t̪oːl	JLSR 2025-005 physical p.29 / printed p.23 / item 19 / MTE / left column	canvin2025[p. 23, item 19, MTE]			sil-mavilan-2025-019-mte				
markodi_pannithadam		ellᵉ	Bone		ellᵉ	JLSR 2025-005 physical p.29 / printed p.23 / item 20 / MTP / left column	canvin2025[p. 23, item 20, MTP]			sil-mavilan-2025-020-mtp				
markodi_vannarkadav		koʈʈᵊ	Bone		koʈʈᵊ	JLSR 2025-005 physical p.29 / printed p.23 / item 20 / MTV / left column	canvin2025[p. 23, item 20, MTV]			sil-mavilan-2025-020-mtv				
markodi_ennappara		Koʈːə	Bone		Koʈːə	JLSR 2025-005 physical p.29 / printed p.23 / item 20 / MTE / left column	canvin2025[p. 23, item 20, MTE]			sil-mavilan-2025-020-mte				
markodi_pannithadam		hɾidajʌm	Heart		hɾidajʌm	JLSR 2025-005 physical p.29 / printed p.23 / item 21 / MTP / left column	canvin2025[p. 23, item 21, MTP]			sil-mavilan-2025-021-mtp				
markodi_vannarkadav		hrid̪ʌjʌm	Heart		hrid̪ʌjʌm	JLSR 2025-005 physical p.29 / printed p.23 / item 21 / MTV / left column	canvin2025[p. 23, item 21, MTV]			sil-mavilan-2025-021-mtv				
markodi_ennappara		hɾid̪ajəm	Heart		hɾid̪ajəm	JLSR 2025-005 physical p.29 / printed p.23 / item 21 / MTE / left column	canvin2025[p. 23, item 21, MTE]			sil-mavilan-2025-021-mte				
markodi_pannithadam		tʃoɾeⁱ	Blood		tʃoɾeⁱ	JLSR 2025-005 physical p.29 / printed p.23 / item 22 / MTP / left column	canvin2025[p. 23, item 22, MTP]			sil-mavilan-2025-022-mtp				
markodi_vannarkadav		tʃɾe	Blood		tʃɾe	JLSR 2025-005 physical p.29 / printed p.23 / item 22 / MTV / left column	canvin2025[p. 23, item 22, MTV]			sil-mavilan-2025-022-mtv				
markodi_ennappara		tʃoɾɜ	Blood		tʃoɾɜ	JLSR 2025-005 physical p.29 / printed p.23 / item 22 / MTE / left column	canvin2025[p. 23, item 22, MTE]			sil-mavilan-2025-022-mte				
markodi_pannithadam		uːɾɨ	Village		uːɾɨ	JLSR 2025-005 physical p.29 / printed p.23 / item 23 / MTP / left column	canvin2025[p. 23, item 23, MTP]			sil-mavilan-2025-023-mtp				
markodi_vannarkadav		uːɾɨ	Village		uːɾɨ	JLSR 2025-005 physical p.29 / printed p.23 / item 23 / MTV / left column	canvin2025[p. 23, item 23, MTV]			sil-mavilan-2025-023-mtv				
markodi_ennappara		uːɾᵊ	Village		uːɾᵊ	JLSR 2025-005 physical p.29 / printed p.23 / item 23 / MTE / left column	canvin2025[p. 23, item 23, MTE]			sil-mavilan-2025-023-mte				
markodi_pannithadam		illɨ	House		illɨ	JLSR 2025-005 physical p.29 / printed p.23 / item 24 / MTP / left column	canvin2025[p. 23, item 24, MTP]			sil-mavilan-2025-024-mtp				
