PDF_Page	Printed_Page	Page_Line	Item	Gloss	Site	Similarity_Group	Extracted_Form	Record_Type	Extraction_Note
37	27	5	1	sky	Holanki, Papumpare AP	3	sĭnĭŋ	response	
37	27	6	1	sky	S Cherrapunjee	4	sŭiŋbneŋ	response	
37	27	7	1	sky	Hajarongpi, E K A	3	sŭneŋ	response	
37	27	8	1	sky	Amguri, Kamrup	2	ʌ̆ŋsoŋ	response	
37	27	9	1	sky	PaboiMisamari, Sonitpur	3	ɕĭniŋ	response	
37	27	10	1	sky	Maina Kharong, Kamrup	3	soneŋ	response	
37	27	11	1	sky	RongjariPlasha, Ri-Bhoi	3	ʃuniŋ	response	
37	27	12	1	sky	Assamese, Dibrugarh	1	akakh	response	
37	27	13	1	sky	Amguri, W K A	3	sĭneŋ	response	
37	27	14	1	sky	Sermansingner, E K A	3	sĭnĭŋ	response	
37	27	15	1	sky	Langhemphi, W K A	3	sĭneŋ	response	
37	27	16	1	sky	Umrinti, W K A	3	sĭnĭŋ	response	
37	27	17	1	sky	Bankri, W K A	3	sĭnĭŋ	response	
37	27	18	1	sky	Rongtheang, E K A	3	sĭneŋ	response	
37	27	19	1	sky	Sunajoli, Lakhimpur	3	sĭnĭŋ	response	
37	27	20	1	sky	Mikirgaon, Nagaon	3	ɕĭniŋ	response	
37	27	21	1	sky	Sardoka Ingti, E K A	3	sĭneŋ	response	
37	27	24	2	sun	Holanki, Papumpare AP	3	ʌ̆ɾni	response	
37	27	25	2	sun	S Cherrapunjee	4	sŋi	response	
37	27	26	2	sun	Hajarongpi, E K A	3	ʌ̆ɾni	response	
37	27	27	2	sun	Amguri, Kamrup	3	ʌ̆ɾni	response	
37	27	28	2	sun	PaboiMisamari, Sonitpur	3	ʌ̆ɾni	response	
37	27	29	2	sun	Maina Kharong, Kamrup	3	arni	response	
37	27	30	2	sun	RongjariPlasha, Ri-Bhoi	3	ʌɾni	response	
37	27	31	2	sun	Assamese, Dibrugarh	1	hŭdʒjɔ	response	
37	27	32	2	sun	Assamese, Dibrugarh	2	bĕlli	response	
37	27	33	2	sun	Amguri, W K A	3	ʌ̆ɾni	response	
37	27	34	2	sun	Sermansingner, E K A	3	ʌ̆ɾni	response	
37	27	35	2	sun	Langhemphi, W K A	3	ʌ̆ɾni	response	
37	27	36	2	sun	Umrinti, W K A	3	ʌ̆ɾni	response	
37	27	37	2	sun	Bankri, W K A	3	ʌ̆ɾni	response	
