Item	Gloss	List_Code	Raw_Form	Form	PDF_Page	Printed_Page	Column	Status	Continuation_Lines	Review
1	body	PES	bà'dVn	bɑ'dʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	PES	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	PES	wExtV	wɛxtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	CHS	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	CHS	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	CHS	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MAR	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MAR	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MAR	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	SWA	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	SWA	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	SWA	wExtV	wɛxtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MAD	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MAD	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MAD	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MIN	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MIN	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MIN	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	BAT	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	BAT	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	BAT	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	BAF	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	BAF	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	BAF	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	OGI	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	OGI	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	OGI	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	DIR	--		98	80	1	no_entry	0	SILDoulosNP positioned text
2	head	DIR	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	DIR	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	BAJ	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	BAJ	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	BAJ	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MOH	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MOH	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MOH	ixtV / wIxtà	ixtʌ / wɪxtɑ	98	80	3	response	0	SILDoulosNP positioned text
1	body	NIG	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	NIG	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	NIG	wEx'tV	wɛx'tʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	SHN	bà'dVn	bɑ'dʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	SHN	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	SHN	ixtV	ixtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	BAR	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	BAR	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	BAR	ixtV	ixtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MAL	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MAL	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MAL	ixtV	ixtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	ZKH	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	ZKH	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	ZKH	wExtV	wɛxtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	JAM	bà'dVn	bɑ'dʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	JAM	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	JAM	wex'tV	wex'tʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	TIR	bà'dVn	bɑ'dʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	TIR	sàr	sɑr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	TIR	wex'ton	wex'ton	98	80	3	response	0	SILDoulosNP positioned text
1	body	JAL	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	JAL	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	JAL	wes7tV	weɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	CHE	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	CHE	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	CHE	wes7tV	weɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	PAR	bVdàn	bʌdɑn	98	80	1	response	0	SILDoulosNP positioned text
2	head	PAR	sàr	sɑr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	PAR	wExtF	wɛxtə	98	80	3	response	0	SILDoulosNP positioned text
1	body	HAN	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	HAN	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	HAN	wextV	wextʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	TAL	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	TAL	sàr	sɑr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	TAL	wextF	wextə	98	80	3	response	0	SILDoulosNP positioned text
1	body	KRK	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	KRK	sàr	sɑr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	KRK	wextV3	wextʌ̃	98	80	3	response	0	SILDoulosNP positioned text
1	body	LAK	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	LAK	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	LAK	wes7tV	weɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	BAN	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	BAN	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	BAN	wis7tV	wiɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	MIR	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	MIR	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	MIR	wis7tV	wiɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	WAA	--		98	80	1	no_entry	0	SILDoulosNP positioned text
2	head	WAA	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	WAA	wàs7ti	wɑɕti	98	80	3	response	0	SILDoulosNP positioned text
1	body	QUE	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	QUE	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	QUE	wes7tàn / wes7tV	weɕtɑn / weɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	CHA	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	CHA	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	CHA	wes7tàn	weɕtɑn	98	80	3	response	0	SILDoulosNP positioned text
1	body	PAS	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	PAS	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	PAS	beS7tàn	beʂtɑn	98	80	3	response	0	SILDoulosNP positioned text
1	body	KAK	bVdVn	bʌdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	KAK	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	KAK	wuS7tàn	wuʂtɑn	98	80	3	response	0	SILDoulosNP positioned text
1	body	KHR	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	KHR	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	KHR	bes7tàn / wres7tV	beɕtɑn / wreɕtʌ	98	80	3	response	0	SILDoulosNP positioned text
1	body	WCI	bàdVn	bɑdʌn	98	80	1	response	0	SILDoulosNP positioned text
2	head	WCI	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	WCI	wEs7tàn	wɛɕtɑn	98	80	3	response	0	SILDoulosNP positioned text
1	body	ORM	dzàn	dzɑn	98	80	1	response	0	SILDoulosNP positioned text
2	head	ORM	sVr	sʌr	98	80	2	response	0	SILDoulosNP positioned text
3	hair	ORM	dre	dre	98	80	3	response	0	SILDoulosNP positioned text
4	face	PES	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	PES	'stVrgV	'stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	PES	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	CHS	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	CHS	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	CHS	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	MAR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MAR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MAR	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	SWA	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	SWA	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	SWA	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	MAD	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MAD	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MAD	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	MIN	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MIN	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MIN	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	BAT	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	BAT	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	BAT	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	BAF	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	BAF	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	BAF	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	OGI	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	OGI	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	OGI	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	DIR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	DIR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	DIR	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	BAJ	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	BAJ	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	BAJ	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	MOH	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MOH	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MOH	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	NIG	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	NIG	'stVrgà	'stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	NIG	Gwàg	ɣwɑg	99	81	3	response	0	SILDoulosNP positioned text
4	face	SHN	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	SHN	'stVrgV	'stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	SHN	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	BAR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	BAR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	BAR	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	MAL	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MAL	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MAL	Gwàg	ɣwɑg	99	81	3	response	0	SILDoulosNP positioned text
4	face	ZKH	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	ZKH	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	ZKH	Gweg	ɣweg	99	81	3	response	0	SILDoulosNP positioned text
4	face	JAM	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	JAM	'stVrgV	'stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	JAM	Gweg	ɣweg	99	81	3	response	0	SILDoulosNP positioned text
4	face	TIR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	TIR	'stVrgV	'stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	TIR	Gweg	ɣweg	99	81	3	response	0	SILDoulosNP positioned text
4	face	JAL	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	JAL	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	JAL	Gwe{	ɣweʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	CHE	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	CHE	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	CHE	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	PAR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	PAR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	PAR	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	HAN	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	HAN	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	HAN	Gweg	ɣweg	99	81	3	response	0	SILDoulosNP positioned text
4	face	TAL	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
