No.	Gloss	Hruso Aka (Jamiri)	Miji (Nafra)	Dammai (Rurang)	Dammai (Dibin)	Namrei (Nabolang)	Namrei (Bisai)
1	sky	medze	nadʒaŋ	dʒaŋ	nadʒəŋ	gijaŋ	gijaŋ
2	sun	dɹu	dʒoʔ	dʒoʔ	dʒoʔ	dʒoʔ	dʒoʔ; ʃovogram
3	moon	hŏbe	lu	lə	lə	lə	lə; ʃudʒoŋbijoŋ
4	star	lə̆tsə	dətʃuŋ	dətʃuŋ	dətʃuŋ	mətʃoŋbijaŋ	nitʃoŋbijoŋ
5	cloud	məmə	miemy	mimu	mimu	maimər	maimaŋ
6	rain	jedʒăʃə	fro	fro	fro	fro	fro
7	rainbow	ɲedʒiləgo	dʒumodəkhre	rumudəkhre	dʒimodəkhe	jomonəkəi	jomonəkəi
8	wind	ɲedʒĕʃə	jo	jo	jo	jo	jo
9	lightning	ɲelogo	dʒambuloʔ	dʒambuloʔ	nadʒabule	gijaŋbərija	gijaŋbərija
10	thunder	ɲedʒĕbjo	dʒaŋgən	nadʒaŋgaŋ	nadʒaŋgəŋ	gijaŋgərom	gijaŋbəra
11	sea	–	stərilu	və	fə	ɕətərəlou	ɕətərəlou
12	mountain	phu	phuŋ	poŋ	phuŋ	poŋ	poŋ
13	water	khu	və	və	və	və	və
14	river	khu	vədo	və	vijaŋ	vədo	vəjaŋ
15	soil/ground	no	naʔ	naʔ	naʔ	naʔ	naʔ
16	mud	nogzə	nagdʒu	nagdʒu	nakdʒo	nagdʒu	nakhədʒo
17	dust	nolmo	nadəmo	nadəmo	bərən	nanəmoʔ; pəʃambəlam	nanəmoʔ
18	stone	khunu	huloŋ	gəloŋ	gəloŋ	kə̆loŋ	kə̆loŋ
19	sand	bali	bai	bai	bai	ɕəgəroi	ɕəgəroi
20	gold	ʃə	sen	ʃə	sen	seʔ	san
21	silver	ləmə	dəman	dəme	demaŋ	nəmə	laman
22	today	jo	huŋhu	huŋgə	hũe	huŋgə	huŋgə
23	yesterday	ɸu	degau	degau	degau	təganogo	təganogo
24	tomorrow	dɹaha; dʒaha	nawo	dawo	nawo	nanəgo	nanəgo
25	week	ɲegimu	dʒoŋgomija	dʒoŋgomija	dʒaŋkhomija	geŋgəmija	geŋgəmija
26	month	khobe	lu	lə	lə	lə	lə
27	year	ʔodʒe	dure	dure	duren	dəraŋ	dəraŋ
28	day	jow; ɲetho	dʒaŋtaŋ	dʒaŋtaŋ	hũe	gijaŋtaŋ	gijaŋtaŋ
29	morning	saxa	meiduo	midʒu	meduwo	nəgou	nəgoja
30	noon	xumdʒu	mogolu	məgəlou	agəluluŋ	məgəlou	məgəlobom
31	evening	dʒid̪u	gejin	geji	gəjiŋ	kəjen	kəjen
32	night	ɲegi	dʒaŋgau	dʒaŋgau	tʃaŋgau	geŋgau	keŋgau
33	paddy rice	ʔo	aɲsoʔ	enʃo	an	ŋam	ŋam
34	uncooked rice	ʔolgə	andəgən	andəgən	an	ŋamnəgam	
35	cooked rice	ʔăʋa	tʃavoʔ	tʃavəkhə	tʃavoʔ	atʃan	
36	wheat	phu	phijo	phijo	phijo	phijo	
37	corn	sə̆be	sibeʔ	sibeʔ	sibeʔ	ɕə̆ban	ʃibat
38	potato	lasaɲekʃi	lasiɲio	lasiɲio	lasiɲau	laɕoɲija	laʃoɲija
39	cauliflower	–	–	kobi	kobi	kobi	kobi
40	cabbage	–	–	kobi	kobi	kobi	kobi
41	eggplant	khatʃo	penthu	baigon	baigon	baigon	baigon
42	peanut	badam	badam	badam	badam	badam	badam
43	tree	ʃoɲi	oʔni	uɲi	uniʔ	genoi	gonoi
44	branch	ʔoɸotsa; ʃoɸo	odətʃaŋ	mətʃitʃau	udətʃa	mənətʃaŋ	gonotʃaŋ
45	leaf	ʔə̆xe	uleʔ	məle	uleʔ	məlam	golap
46	thorn	kutʃu	gədʒu	bitʃu	gədʒik	khəzau	gəzau
47	root	ʔə̆kʃe	okhriŋ	khrən	ukhən	məkhən	gokhrən
48	bamboo	sə	dʒiu	brau	bro	brə	brau
49	fruit	ʃə̆dʒe	uthen	uthen	uthen	gutan	gutan
50	jack fruit			kotal		dʒagutan	
51	coconut (ripe)	–	–	naɾikol	naɾijal	naɾikol	naɾikol
52	banana	xol̪o	rilaŋ	rilaŋ	rilaŋ	ləlaŋ	ləlaŋ
53	mango	am	–; am		am		am
54	flower	ʃoba	uboʔ	uboʔ	uboʔ	gəbo	gəbo
55	seed	ʔə̆sə	thedʒo; theli	malai	ăli	tailoi	tailoi
56	sugarcane	d̪ŭgo	gəlaŋdʒaŋ	gəlaŋdʒaŋ	gedaŋ	kəlaŋdʒan	kəlaŋdʒan
57	betelnut	ʃetə	tamul	tamalan	tamalan	tamalan	tamalan
58	lime (for betelnut)	tʃhun; tʃun	tʃuna	tʃhun; tʃun	tʃina; tʃun	tʃun	tʃun
59	liquor	tʃə	tʃaŋ	tʃaŋ	tʃaŋ	tʃaŋ	pə̆tʃaŋ
60	milk	aphu	dut̪	ʃunovə	ʃufunu	nag	mənaŋ
61	oil	luboxu	pheŋdʒanrə	tel	pheŋdʒanrə	pandʒaŋvə	pandʒaŋvə
62	meat	ɸu	ʃitʃuŋ	ʃitʃuŋ	ʃitʃuŋ	sĭkijuŋ	sĭkijuŋ
63	salt	xu	lu	lu	lu	lə	lə
64	onion	pjas	piaʒ	pjas	pəkhemu	pias; tʃoŋ	pias; tʃoŋ
65	garlic	lasan	khikmo	khikmo	pəkhemu	kiomu	kemoŋ
66	red pepper	adə	dʒau	dʒau	dʒaju	dʒaijo	dʒaijo
67	elephant	atʃhə	atʃi	atʃi	atʃi	atai	atai
68	tiger	ʃə̆kʃə	tiŋgraŋ	tiŋgraŋ	tiŋdraŋ	təgraŋ	keŋgraŋ
69	bear	ʃə̆tʃo	ʃistaŋ	ʃitʃaŋ	ʃitʃaŋ	ʃitʃaŋ	ʃitʃaŋ
70	deer	ɸumi	ʃistʃu	ʃistʃu	ʃitʃu	ʃiʃə	ʃitʃu
71	monkey	ʃoɸu	ʃudo	ʃubo	ʃubo	ʃəbo	ʃubo
72	rabbit	pohapohu	–	–	dʒuk	ʃidʒam	kaɾgos
73	snake	by	ɲabəu	nabu	bhu	bəu	bəu
74	crocodile	ʃebdʒa	vəphi	vəphi	vəphi	vəpi	vəpi
75	house lizard (gecko)	dadʒə	busimən	bitʃaptʃi	bətʃabətʃi	gusuman	–
76	turtle	katʃo	adʒiro	adʒiro	adʒario	dʒazero	dʒazero
77	frog	ʃedʒa	dʒou	dʒou	dʒou	dʒou	dʒou
78	dog	ʃyjo	ʃazeʔ	sadʒi	ʃadʒik	zazai	zazai
79	cat	ăʃa	gaʃu	kaʃu	gaʃu	kaʃə	kaʃu
80	cow	pholxu	dərfu	dʒufu	ʃufu	ʃufə	ʃufə
81	buffalo	ɸəmə	ʃukhre	ʃukhre	ʃəkhen	ɕəkham	ɕəkəram
82	horn (of buffalo)	ʔə̆ʃə̆bdʒa	ʃudʒuŋ	məsəʃoŋ	aʃidʒuŋ	məsəʃoŋ	məsəzuŋ
83	tail	ʔexem	mədərə	adəmai	adəmek	mənəmərai	mənəməre
84	goat	khəʃə	ʃəphə̆rən	tʃeprem	tʃeprem	ʃəpen	ɕuprem
85	pig	ʋo	dʒuo	dʒio	dʒoʔ	dʒoʔ	dʒo
86	rat	rh̥umo	dʒək	dʒəu	dʒək	dʒəu	dʒək
87	chicken	dʒuo	doʔ	dok	dup	dou	dou
88	egg	dʒedʒe	doriŋ	dori	doriŋ	doriŋ	doriet
89	fish	tʃhə	thri	thri	tri	tʃoi	tʃoi
90	duck	ʔosa	husõ	ũso	muso	ũso	ũso
91	bird	musə	budʒuʔ	bədʒə	bəzii	bədʒi	pəɕə
92	insect	bŭlːu	biluŋ	biluŋ	trəkhuŋ	biluŋ	bilo
93	cockroach	thumtʃə	zaŋzia	dʒaŋdʒi	dʒaŋdʒi	zaŋzia	zaŋzia
94	bee	mădʒəd̪u	miʔ	gəvoʔ	mei	miʔ	mai
95	fly	tʃhələbjo	bədʒuŋlo	bədʒuŋlo	bədʒuŋlo	pədʒoŋlo	pədʒoŋlo
96	spider	ʃagəxa	basidərgiaŋ	baʃidərgau	batʃibəgau	nərija	nərijanam
97	ant	siɲi	siɲi	ʃiŋiŋ	ʃiŋiŋ	ɕəni	ɕəni
98	mosquito	səxən	suriŋdaŋ	sirijaŋdo	sərədaŋ	sirdoŋmai	sirijoŋdaŋmai
99	head	ʔekhje	uː	tokijaŋ	dəkhijaŋ	gou	mogou
100	face	ʔokhumo	gamija	gamija	gamija	khamija	khamija
101	neck	ʔənəxo	dumu	demitraŋ	dəmu	domə	domə
102	hair	ʔeketʃe	uphiu	wophijo	umu	gopə	gopal
103	eye	ʔiɲi	məri	mər	meʔ	mẽ	mẽ
104	nose	ʔuʃə	nibiuŋ	nebijoŋ	nibuŋ	nebijoŋ	nebijoŋ
105	ear	ʔĕɸə	dʒuo	dʒo	dʒoʔ	dʒo	dʒo
106	cheek	ʔekhimoʔadʒu	gamijeadʒiŋ	gamijatʃə	gəmijaatʃuŋ	kəmijeadʒen	kəmijeadʒen
107	chin	ʔĕgado	gutʃaʔ	gutʃa	gutʃa	gutʃaʔ	gutʃa
108	mouth	ʔə̆nzu	go	niwi	nui	ɲeləi	ɲek
109	tongue	ʔedʒabla	dʒakihi	lakʃi	jaʔkhi	jakhijoi	jakhe
110	tooth	ʔethu	thu	thu	tu	tə	tə
111	elbow	apobe	patʃiŋku	paŋtrəŋkhu	gi	paʔtʃəŋkaŋ	patʃeka
112	hand	ʔagdʒə	gi	gi	giphijoŋ	gi	gi
113	palm	ʔə̆gdʒəkhu	giphijaŋ	giphijaŋ	gitʃo	gineluŋ	gineluŋ
114	finger	ʔĕdʒətʃə	gitʃoʔ	gitʃoʔ	githə	gitʃoʔ	ditʃo
115	fingernail	ʔĕdʒitʃə	giten	giten	legəphu	giten	giten
116	knee	ʔəʃpə	lekəpiu	legəphu	leikhu	lekəpiu	lekəpiu
117	foot	ʔə̆ʃə̆ku	leikhu	lai	ajem	lei	lei
118	bone	ʔə̆xə̆be	miliaŋ	miliaŋ	abau	mariaŋ	mariaŋ
119	fat	ʔə̆bi	məmbau	məmbau	aʔphri	məmbau	məmbou
120	skin	ʔə̆tʃhə	nuphri	məpre	zəai	məpə	məpre
