	Bugun (Wangho)	Bugun (Bichom)	Bugun (Singchung)	Bugun (Kaspi)	Bugun (Namphri)	Sherdukpen (Shergaon)	Sherdukpen (Rupa)	Sartang (Khoitam)	Sartang (Darbu 1)	Sartang (Darbu 2)	Sartang (Khoina)	Chug (Chug)	Lish (Lish)
1st pl.	kəthəa	khət̪he	kəthəa	khət̪he	gəthəe	ga	ga	khət̪he	gyɾy	gu	gu	gaɾkaŋpu	galu ganga
1st sg. (I)	ko	go; gu	go	gu	go	gu	gu	gu	gũ	gu	gu	ga	ga
2nd pl. (familiar)	nathəa	nat̪hek	nathəa	nathe	nathəa	nai	nabluŋ	nat̪hek	năthek	năŋthek	năthek	naɾgaŋpu	naɾugaŋga
2nd pl. (honorific)	nathəa	nathek	nathəa	nathe	nathəa	nai	nabluŋ	khiraŋ	nathek	naŋthekdʒi	nathek	nargaŋpu	naɾugaŋga
2nd sg. (familiar)	no	no	no	no	no	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	ni	naŋ
2nd sg. (honorific)	no	no	no	no	no	naŋ	naŋ	naŋ	naŋ	naŋdʒi	nare	naŋ	naŋ
3rd pl.	ethe	ethe	nathəa	thei	ethəe	jar	wabluŋ	wathek	athek	thuwe	thiwathi	waɾbaʔ	walu
3rd sg. (female)	we	uwe	uwe	thei	uwe	jai	wa	naŋ	naŋ	thuwe	khawadʒi	naŋ	ʔuid̪amu
3rd sg. (generic/male)	we	uwe	oe	thei	oe	jai	wa	khuə	naŋ	thuwe	thiwadʒi	hoi	ʔui
above	lakhuŋ	lakhuŋ	lakhuŋ	lakhuŋ	lakhuŋ	khumu	khinto	atʃuŋ	ist̪aŋan	khuŋlo	khuŋro	tʃaŋkho	khoa; khotʃamŋa
all	dʒap	dʒap	dʒap	dʒap	tham; dʒap	zaptaŋ	athom; dʒebdoŋ	athym	ăthem	athom	ăthem	kaŋpu	galugaŋga
ant	ʃiŋiŋ	siiŋ	ʃiŋiŋ	ʃiŋiŋ	ʃiŋiŋ	sandʒok	sandʒok	saŋdʒo	saŋdʒo	săŋdʒoʔ	saŋdʒo	khintʃhoʔ	khetʃho
arrow	mijak	mẽt	mẽt	məthua	mẽt	dʒili	mik	mik	ɾiʔ	ɾiʔ	ɾiʔ	miʔ	miʔ
ashes	spije	spije	spije	sə̆phije	spije	bɾoptʃhaplu	bɾoptʃhaplu	tʃaphlu	tʃăphɾu	tʃăphɾu	tʃaphlu	tʃhuba	tʃukphak
axe	thapijoŋ	thabu	thabijou	thabiu	thabijou	phĕlu	phĕlu	phullu	phɾu	phuɾu	phullu	pha	pha
back	phapuŋzak	raguŋ; ephiŋbaŋ	hadu	phadum	ləbəu; phaduŋlaŋ	ɲakhu	d̪ekhe	aky	ky	kyː	naguŋ	dʒiap	lispo
bad	avije	avije	avije	avije	avije	bedʒakpa	aɲu	aŋuba	ănuŋ	ănuŋ	ănuŋ	udʒan	nakpapaŋ
bamboo	moi	muẽ	moi	mai	mai	ma	ma	me	meʔ	meh̥	ma	mei	mei
banana	səm	səm; siŋ	səm	səm	səm	musuŋ	musuŋ	musuŋ	pə̆suŋ	bosuŋ	musuŋ	leisi	lisi
bear	stəm	stəm	stəm	stəm	sə̆thum	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	ʃijathum	sathom
bee	tʃəmut	tʃəmut	tʃəmut	tʃəmut	tʃəmut	tʃidʒemo	tʃhimu	tʃi	tʃăŋkwĕm	tʃhankhom	tʃə̆khəma	tʃhutʃhu	tʃiʔtʃhuama
belly	elui	elui	elui	lui	lui	siɾiŋ	siɾiŋ	fəriŋ	səɾiŋ	siɾiŋ	seri	hiliŋ	hiɲiŋ
below	bətʃou	bətʃou; ləwa	bətʃou	bətʃou	bətʃou	khuto	khuto	suŋkhu	ist̪aŋanɾo	khuɾo	khuɾo	beita	khja
betelnut	sali	sali	sali	sali	sali	sali	sali	gui	sali	sali	sali	goi	–
big	ebou	bou	ebou	bou	bou	adok	odok	adok	ăd̪oʔ	adoʔ	adok	adoʔ	ʔelaŋ
bird	fua	fua	fua	fo	fua	hu	hu	hu	huʔ	huʔ	fu	hua	hua
