item	gloss	group	site_codes	status	form	visible_base	note
86	rat	1	bcr	attested	moʃai̯		
86	rat	2	m	ambiguous		miʔtʃut	A small upper-right corner-like modifier is printed after visible `miʔtʃut`; its value is not inferred. Repeated source response at groups 2 and 4.
86	rat	2	l	ambiguous		midʒut	A small upper-right corner-like modifier is printed after visible `midʒut`; its value is not inferred.
86	rat	3	0	attested	idur		
86	rat	4	q	attested	motʃot		
86	rat	4	m	ambiguous		miʔtʃut	A small upper-right corner-like modifier is printed after visible `miʔtʃut`; its value is not inferred. Repeated source response at groups 2 and 4.
87	chicken (adult female)	1	bclmqr	attested	tau̯		
87	chicken (adult female)	2	0	attested	murgi		
88	egg	1	bcr	attested	pitɨk		
88	egg	1	q	attested	tau̯tɨk		
88	egg	2	lm	attested	tɨi̯		
88	egg	3	0	attested	dim		
89	fish	1	bclmqr	attested	na		
89	fish	2	0	attested	matʃʰ		
