item	gloss	group	site_codes	status	form	visible_base	note
77	frog	1	lm	attested	luklak		
77	frog	1	bcr	ambiguous		luwak	A small upper-right corner-like modifier is printed after visible `luwak`; its value is not inferred.
77	frog	2	0q	attested	bæŋ		
78	dog	1	lm	attested	kɨi		
78	dog	1	bcqr	attested	kui		
78	dog	2	0	attested	kukur		
79	cat	1	lm	attested	bɨi̯ɾa		
79	cat	1	bcr	attested	bilai̯		
79	cat	1	0	attested	biral		
79	cat	2	q	attested	mɛa̯o̯		
80	cow	1	q	attested	maʔʃu		
80	cow	1	bclmr	attested	maʔsu		
80	cow	2	0	attested	goru		
81	buffalo	1	bcr	attested	muʃi		
81	buffalo	2	lm	attested	tʃɨndɨk		
81	buffalo	3	0	attested	mohiʃ		
81	buffalo	4	q	attested	bus		
