item	gloss	group	site_codes	status	form	visible_base	note
158	spoon (for eating)	1	bq	attested	kortʃali		
158	spoon (for eating)	1	c	attested	kortʃila		
158	spoon (for eating)	2	0lmr	attested	tʃamotʃ		
159	knife (to cut meat)	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
160	hammer	1	bclmqr	attested	hatur		
160	hammer	1	0	attested	haturi		
161	axe	1	q	attested	ruwa		
161	axe	2	bcr	attested	wakɛŋ		
161	axe	3	0lm	attested	kutʰar		
162	bow	1	0bclmqr	attested	dʰonuk		
163	arrow	1	0bclmqr	attested	tir		
164	spear	1	bcqr	attested	tʃɛwal		
164	spear	2	m	attested	gutʰini		
164	spear	2	l	attested	gutʰini		
164	spear	3	0	attested	bɔrʃa		
165	fire	1	lm	attested	wal		
165	fire	1	bcqr	attested	war		
165	fire	2	0	attested	agun		
166	ashes	1	bcqr	ambiguous		tʰappala	A small upper-right corner-like modifier is printed after visible `tʰap` before `pala`; its value is not inferred.
166	ashes	2	m	attested	tʰapʰra		
166	ashes	2	l	attested	tʰapra		
166	ashes	3	0	attested	tʃʰai̯		
167	smoke	1	lm	attested	walkʰu		
167	smoke	1	bcr	attested	warkʰu		
167	smoke	2	0	attested	dʰõa̯		
167	smoke	3	q	attested	dʰumʌ		
