physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
59	58	255	shallow	0	b	Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	c	Kholchanda	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	q	Uttor Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	r	Chandabhoi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	l	Bharatpur	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	m	Nalchapra	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	255	shallow	0	0	Bangla	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	3	b	Nokshi	target	attested	purno			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	1	c	Kholchanda	target	attested	tiptip			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	4	q	Uttor Nokshi	target	attested	pʰuŋni			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	5	r	Chandabhoi	target	attested	ʃɛrni			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	2	l	Bharatpur	control	attested	pʰiŋa			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	2	m	Nalchapra	control	attested	pʰiŋa			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	256	full (cup)	3	0	Bangla	control	attested	purno			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	1	b	Nokshi	target	attested	baba			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	1	c	Kholchanda	target	attested	baba			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	4	q	Uttor Nokshi	target	attested	ɛra			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	3	r	Chandabhoi	target	attested	kʰali			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	0	l	Bharatpur	control	blank			Source explicitly prints `no entry` for this site.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	2	m	Nalchapra	control	attested	kantra			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	257	empty (cup)	3	0	Bangla	control	attested	kʰali			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	1	b	Nokshi	target	attested	ukʰai̯			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	1	c	Kholchanda	target	attested	ukʰai̯			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	3	q	Uttor Nokshi	target	attested	mai̯ hoi̯to			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	1	r	Chandabhoi	target	attested	ukʰai̯			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	1	l	Bharatpur	control	attested	ukʰi			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	1	m	Nalchapra	control	attested	okʰi			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	258	hungry	2	0	Bangla	control	attested	kʰidɛ laga			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	b	Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	c	Kholchanda	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	q	Uttor Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	r	Chandabhoi	target	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	l	Bharatpur	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	m	Nalchapra	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	259	thirsty	0	0	Bangla	control	not_used			Source explicitly marks the item `[not used]` globally.	df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
59	58	260	sweet	1	b	Nokshi	target	attested	ʃumni			df1cf41fd91981070c9ee6d21135a0093c4f5ff8337c4e45e4ff3ee72ea39c82
