item	gloss	group	site_codes	status	form	visible_base	note
24	tomorrow	0	l	blank			Printed `no entry`.
24	tomorrow	1	bcr	attested	gɛnɛ		
24	tomorrow	2	m	attested	hanɛp		
24	tomorrow	3	0	attested	agamikal		
24	tomorrow	4	q	attested	oi̯dina		
25	week	1	bc	attested	hatai̯		
25	week	2	0lmqr	attested	ʃɔpta		
26	month	1	lm	attested	dʒa		
26	month	2	0bcqr	attested	maʃ		
27	year	1	lm	attested	bɨlʃi		
27	year	2	0bcqr	attested	bɔtʃʰor		
28	day	1	lm	attested	ʃan		
28	day	2	bc	attested	sanok		
28	day	3	0qr	attested	din		
