item	gloss	group	site_codes	status	form	visible_base	note
269	different	1	lm	attested	diŋtʰaŋ		
269	different	2	bcr	ambiguous		bɛgat	A small upper-right corner-like modifier is printed after visible final `t`; its value is not inferred.
269	different	3	0	attested	bʰinno		
269	different	4	q	attested	dʒudʌ		
270	dry	1	m	attested	raʔna		
270	dry	1	bcqr	attested	ranni		
270	dry	2	m	attested	raʔna		
270	dry	2	l	ambiguous		raʔnok	A small upper-right corner-like modifier is printed after visible final `k`; its value is not inferred.
270	dry	3	0	attested	ʃukna		
271	wet	1	bc	attested	ʃum		
271	wet	2	m	attested	pei̯ʃia		
271	wet	2	l	ambiguous		pei̯ʃok	A small upper-right corner-like modifier is printed after visible final `k`; its value is not inferred.
271	wet	3	0	attested	bʰidʒa		
271	wet	4	q	attested	tiʃam		
271	wet	5	r	attested	ʃumni		
272	hot (weather)	1	l	attested	duŋʔa		
272	hot (weather)	2	br	attested	burni		
272	hot (weather)	3	c	attested	gumbarto		
272	hot (weather)	4	m	attested	kʰama		
272	hot (weather)	5	0q	attested	gɔrom		
273	cold (weather)	1	lm	ambiguous		tʃikka	A small upper-right corner-like modifier is printed between the two visible `k` letters; its value is not inferred.
273	cold (weather)	1	bcr	attested	tʃikni		
273	cold (weather)	2	0q	attested	tʰanɖa		
274	good	1	lm	attested	nɛma		
274	good	2	bcqr	attested	pɛ.ɛn		
274	good	3	0	attested	bʰalo		
275	bad	1	lm	attested	nɛmʈʃa		
275	bad	2	bc	attested	natʰi		
275	bad	2	r	attested	nattʰi		
275	bad	3	0	attested	kʰarap		
275	bad	4	q	attested	hɛnda		
