item	gloss	group	site_codes	status	form	visible_base	note
90	duck	1	bcr	attested	haŋsu		
90	duck	2	m	ambiguous		dao̯gɛp	A small upper-right corner-like modifier is printed after visible `dao̯gɛp`; its value is not inferred.
90	duck	2	l	ambiguous		dao̯gɛt	A small upper-right corner-like modifier is printed after visible `dao̯gɛt`; its value is not inferred.
90	duck	3	0	attested	haʃ		
90	duck	4	q	attested	hantʃuk		
91	bird	1	bclmqr	attested	tau̯		
91	bird	2	0	attested	pakʰi		
92	insect	1	bclmqr	attested	tʃoŋ		
92	insect	2	0	attested	poka		
93	cockroach	1	lm	attested	saluŋ		
93	cockroach	2	bcr	attested	atʃɛp		
93	cockroach	3	q	attested	tɛltʃora		
93	cockroach	4	0m	attested	tɛlapoka		
