item	gloss	group	site_codes	status	form	visible_base	note
177	to walk	1	m	attested	ramari		
177	to walk	2	bcr	attested	bɛrai̯		
177	to walk	3	l	attested	rai̯		
177	to walk	4	0	attested	hãta		
177	to walk	5	q	attested	lʌdʒʌmlai̯		
178	to fly	0	r	blank			Source explicitly prints `no entry` for this site.
178	to fly	1	b	attested	pur		
178	to fly	2	l	attested	piu̯		
178	to fly	2	c	attested	pu		
178	to fly	3	m	attested	bul		
178	to fly	4	0q	attested	ora		
179	to enter	1	bclmqr	attested	daŋ		
179	to enter	2	0	attested	dʰoka		
180	to kick	0	l	blank			Source explicitly prints `no entry` for this site.
180	to kick	1	bc	attested	tʃasum		
180	to kick	1	r	attested	taʃum		
180	to kick	2	m	attested	gatʰilni		
180	to kick	3	0	attested	latʰi mara		
180	to kick	4	q	attested	gurei̯ aʃik		
181	to swim	1	bclmr	attested	huŋ		
181	to swim	2	0	attested	ʃatar kata		
181	to swim	3	q	attested	hatrei̯		
182	to see	1	bclmqr	attested	tʃai̯		
182	to see	2	0	attested	dɛkʰa		
183	to hear	1	bcr	attested	natʰum		
183	to hear	2	0	attested	ʃona		
183	to hear	3	l	attested	nana		
183	to hear	3	m	attested	naniʔ		
183	to hear	4	q	attested	natʰim		
