item	gloss	group	site_codes	status	form	visible_base	note
67	elephant	1	lm	attested	moŋma		
67	elephant	2	0bcqr	attested	hati		
68	tiger	1	bcr	ambiguous		matsa	A small upper-right corner-like modifier is printed between visible `t` and `s`; its value is not inferred.
68	tiger	1	lm	ambiguous		mattʃʰa	A small upper-right corner-like modifier is printed between visible `t` and `tʃʰ`; its value is not inferred.
68	tiger	1	q	attested	maʃa		
68	tiger	2	0	attested	bagʰ		
69	bear	1	lm	ambiguous		makbul	A small upper-right corner-like modifier is printed between visible `k` and `b`; its value is not inferred.
69	bear	2	bcr	attested	baluk		
69	bear	2	0q	attested	bʰaluk		
70	deer	1	bcr	attested	matʃao̯		
70	deer	2	lm	ambiguous		mattʃok	A small upper-right corner-like modifier is printed between visible `t` and `tʃ`; its value is not inferred.
70	deer	3	0	attested	horin		
70	deer	4	q	attested	hogra		
71	monkey	1	lm	ambiguous		hamak	A small upper-right corner-like modifier follows the visible final `k`; its value is not inferred.
71	monkey	2	bc	attested	kao̯ i		The source prints an internal space after the nonsyllabic-marked vowel.
71	monkey	2	r	attested	kawai̯		
71	monkey	3	q	attested	bandor		
71	monkey	3	0	attested	banor		
