item	gloss	group	site_codes	status	form	visible_base	note
238	hundred	1	lm	attested	radʒa		
238	hundred	2	0bcqr	attested	ʃɔ		
239	thousand	1	0bclmqr	attested	hadʒar		
240	few	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
241	some	1	qr	attested	akui̯ʃa		
241	some	2	bcr	ambiguous		tɛp	A small upper-right corner-like modifier is printed after final visible `tɛp`; its value is not inferred.
241	some	3	lm	attested	tʃoi̯ʃan		
241	some	4	0	attested	kitʃʰu		
242	many	1	cr	attested	paŋa		
242	many	2	b	attested	tamti		
242	many	3	lm	attested	panʃembia̯		
242	many	4	0qr	attested	ɔnɛk		
243	all	0	b	blank			Source explicitly prints `no entry` for this site.
243	all	1	cq	ambiguous		bɛbak	A small upper-right corner-like modifier is printed after final visible `bɛbak`; its value is not inferred.
243	all	2	lm	attested	dʒamai̯n		
243	all	3	0r	attested	ʃob		
244	big	1	c	ambiguous		matta	A small upper-right corner-like modifier is printed after the first visible `mat` before final `ta`; its value is not inferred.
244	big	1	bqr	attested	mata		
244	big	2	l	ambiguous		tʃuŋ(bijok)	A small upper-right corner-like modifier is printed after visible `k` inside the parenthesized suffix; its value is not inferred.
244	big	2	m	attested	tʃuŋa		
244	big	3	0	attested	bɔro		
245	small	1	r	attested	tukti		
245	small	1	bc	attested	tuti		
245	small	2	lm	attested	milla		
245	small	3	0	attested	tʃʰoto		
245	small	4	q	attested	tamui̯		
246	long	1	lm	ambiguous		rao̯twa	A small upper-right corner-like modifier is printed after visible `t` before final `wa`; its value is not inferred.
246	long	2	bcr	attested	pilao		
246	long	3	0q	attested	lɔmba		
