item	gloss	group	site_codes	status	form	visible_base	note
52	banana	1	bcr	attested	lɛtʰai̯		
52	banana	1	lm	ambiguous		rɛktʰai̯	A small upper-right corner-like modifier is printed between visible `k` and `tʰ`; its value is not inferred.
52	banana	2	0q	attested	kɔla		
53	mango	1	bcr	attested	botʃor		
53	mango	1	lm	attested	botʃot		
53	mango	2	0	attested	am		
53	mango	3	q	attested	ambok		
54	flower	0	l	blank			Printed `no entry`.
54	flower	1	bcr	attested	par		
54	flower	2	0mq	attested	ful		
55	seed	0	b	blank			Printed `no entry`.
55	seed	1	q	attested	biʃun		
55	seed	2	m	attested	tʃara		
55	seed	2	l	attested	tʃari		
55	seed	3	0c	attested	bidʒ		
55	seed	4	r	attested	kɛr		
56	sugarcane	0	l	blank			Printed `no entry`.
56	sugarcane	1	m	ambiguous		golot	A small upper-right corner-like modifier follows the visible final `t`; its value is not inferred.
56	sugarcane	2	q	attested	koi̯har		
56	sugarcane	2	bcr	attested	kosɛr		
56	sugarcane	3	0	attested	akʰ		
