item	gloss	group	site_codes	status	form	visible_base	note
43	tree	1	bcqr	attested	pan		
43	tree	2	lm	attested	panpʰaŋ		
43	tree	3	0	attested	gatʃʰ		
44	branch	1	0	attested	dal		
44	branch	1	bclmqr	attested	dala		
45	leaf	1	bqr	attested	lai̯tʃak		Repeated source response under groups 1 and 2 for the same sites.
45	leaf	1	c	attested	lɛsak		
45	leaf	2	bqr	attested	lai̯tʃak		Repeated source response under groups 1 and 2 for the same sites.
45	leaf	2	lm	attested	pantʃak		
45	leaf	3	0	attested	pata		
46	thorn	1	bcqr	attested	kanta		
46	thorn	1	0	attested	kaʈa		
46	thorn	2	lm	attested	asu		
