item	gloss	group	site_codes	status	form	visible_base	note
115	fingernail	1	m	ambiguous		tʃakʃikʰor	A small upper-right corner-like modifier is printed after visible `tʃak` before `ʃikʰor`; its value is not inferred.
115	fingernail	1	bclr	ambiguous		tʃakʃikor	A small upper-right corner-like modifier is printed after visible `tʃak` before `ʃikor`; its value is not inferred.
115	fingernail	1	q	attested	tʃatʃikul		
115	fingernail	2	0	attested	nɔk		
116	knee	1	bc	attested	tʃakrɛŋgila		
116	knee	2	lm	attested	tʃakɨu̯		
116	knee	3	q	attested	antʰu		
116	knee	3	r	attested	atʰu		Repeated source response at groups 3 and 4.
116	knee	4	r	attested	atʰu		Repeated source response at groups 3 and 4.
116	knee	4	0	attested	hatʰu		
117	foot	1	l	attested	tʃaʔpʰa		
117	foot	2	b	ambiguous		tʃakrɛŋ aprak	A small upper-right corner-like modifier is printed after final visible `aprak`; its value is not inferred.
117	foot	3	cr	attested	tʃakrɛŋ		
117	foot	4	m	attested	tʃaʔ		
117	foot	5	0	attested	pɔd		
117	foot	6	q	attested	tatʰɛŋ		
118	bone	1	bclmqr	attested	kɛrɛŋ		
118	bone	2	0	attested	har		
