item	gloss	group	site_codes	status	form	visible_base	note
255	shallow	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
256	full (cup)	1	c	attested	tiptip		
256	full (cup)	2	lm	attested	pʰiŋa		
256	full (cup)	3	0b	attested	purno		
256	full (cup)	4	q	attested	pʰuŋni		
256	full (cup)	5	r	attested	ʃɛrni		
257	empty (cup)	0	l	blank			Source explicitly prints `no entry` for this site.
257	empty (cup)	1	bc	attested	baba		
257	empty (cup)	2	m	attested	kantra		
257	empty (cup)	3	0r	attested	kʰali		
257	empty (cup)	4	q	attested	ɛra		
258	hungry	1	m	attested	okʰi		
258	hungry	1	bcr	attested	ukʰai̯		
258	hungry	1	l	attested	ukʰi		
258	hungry	2	0	attested	kʰidɛ laga		
258	hungry	3	q	attested	mai̯ hoi̯to		
259	thirsty	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
260	sweet	1	q	attested	ʃuma		
260	sweet	1	bcr	attested	ʃumni		
260	sweet	2	lm	attested	sɨma		
260	sweet	2	q	attested	ʃuma		
260	sweet	3	0	attested	miʃti		
261	sour	1	b	attested	hui̯ni		
261	sour	1	cr	attested	kʰui̯ni		
261	sour	1	q	attested	hini		
261	sour	2	lm	attested	kʰɨja		
261	sour	3	0	attested	ʈok		
