item	gloss	group	site_codes	status	form	visible_base	note
14	river	1	q	attested	gaŋ		
14	river	2	b	attested	dʒora		
14	river	3	c	attested	tʰoloŋ		
14	river	4	l	attested	tei̯ kʰar		
14	river	5	m	attested	tei̯ muŋ		
14	river	6	0	attested	nodi		
14	river	7	r	attested	timat		
15	soil/ground	1	bclmqr	attested	haʔ		
15	soil/ground	2	0	attested	maʈi		
16	mud	1	lm	attested	doba		
16	mud	2	bcr	attested	haʔdilɛka / kadoŋ		
16	mud	2	q	attested	hadlika		
16	mud	3	0	attested	kada		
16	mud	3	bcr	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.
17	dust	1	b	attested	hapu		
17	dust	1	cr	ambiguous		haput	A small upper-right corner-like modifier follows final t; its value is not inferred.
17	dust	2	m	attested	hadula		
17	dust	3	l	attested	habukʰu		
17	dust	4	0	attested	dʰula		
17	dust	5	q	attested	haʃɛŋ		
18	stone	1	bcr	attested	loŋtʰai̯		
18	stone	1	q	attested	loŋtʰɛŋ		
18	stone	1	lm	attested	roŋtʰai̯		
18	stone	2	0	attested	patʰor		
