item	gloss	group	site_codes	status	form	visible_base	note
200	to work	1	bcqr	attested	kam lau̯		
200	to work	1	lm	attested	kam pii̯		
200	to work	2	0	attested	kadʒ kɔra		
201	to play	1	bcr	attested	kʰɛl		
201	to play	1	0q	attested	kʰɛla		
201	to play	1	lm	attested	kʰɛlai̯		
202	to dance	1	bcr	attested	baʃa		
202	to dance	1	m	attested	biʃii̯		
202	to dance	1	l	attested	biʃi		
202	to dance	2	0	attested	natʃa		
202	to dance	3	q	attested	buʃuk		
203	to throw	1	bcr	ambiguous		tʰuk	A small upper-right corner-like modifier is printed after final visible `tʰuk`; its value is not inferred.
203	to throw	2	lm	ambiguous		tʰip	A small upper-right corner-like modifier is printed after final visible `tʰip`; its value is not inferred.
203	to throw	3	0	attested	tʃʰora		
203	to throw	4	q	attested	dʌmpʰai̯		
204	to lift	1	bcqr	attested	pai̯		
204	to lift	2	lm	attested	pai̯tao̯		
204	to lift	3	0	ambiguous		tola	A small upper-right corner-like modifier is printed after final visible `tola`; its value is not inferred.
205	to push	1	bc	attested	tʃur		
205	to push	2	l	ambiguous		ʃipʰak	A small upper-right corner-like modifier is printed after final visible `ʃipʰak`; its value is not inferred.
205	to push	3	m	attested	ʃikdou̯		
205	to push	4	0	attested	dʰakka dɛwa		
205	to push	5	q	attested	dʰɛkar hao̯		
205	to push	6	r	attested	butʃur		
206	to pull	1	lm	ambiguous		bɨt	A small upper-right corner-like modifier is printed after final visible `bɨt`; its value is not inferred.
206	to pull	1	bcr	ambiguous		but	A small upper-right corner-like modifier is printed after final visible `but`; its value is not inferred.
206	to pull	2	0	attested	ʈana		
206	to pull	3	q	attested	buk		
