item	gloss	group	site_codes	status	form	visible_base	note
136	elder brother	1	cl	attested	dada		Site `c` has a second separately printed attestation at group 2.
136	elder brother	2	bcr	attested	kaka		Site `c` also has the separately printed group-1 response `dada`.
136	elder brother	3	m	attested	pʰao̯ tʃuŋguwa		
136	elder brother	4	0	attested	bɔro bʰai̯		
136	elder brother	5	q	attested	matadada		
137	elder sister	1	bclr	attested	adʒa		Site `c` has a second separately printed attestation at group 2.
137	elder sister	2	c	attested	bai̯		Site `c` also has the separately printed group-1 response `adʒa`.
137	elder sister	3	m	attested	dʒa tʃuŋguwa		
137	elder sister	4	0	attested	bɔro bon / didi		Source prints both alternatives on one response line separated by a slash.
137	elder sister	5	q	attested	matabai̯		
138	younger brother	1	bcr	attested	dʒoŋ		
138	younger brother	2	l	attested	dʒoŋ goa̯		
138	younger brother	3	m	attested	dʒoŋ mɨlguwa		
138	younger brother	4	0	attested	tʃʰoto bʰai̯		
138	younger brother	5	q	attested	tamur bʰai̯		
139	younger sister	1	l	attested	nono		
139	younger sister	2	bcr	attested	nau̯		
139	younger sister	3	m	attested	nao̯ mɨlguwa		
139	younger sister	4	0	attested	tʃʰoto bon		
139	younger sister	5	q	attested	tamui̯ dʒanao̯		
140	friend	1	lm	attested	badʒu		
140	friend	2	br	attested	ʃaŋgra		
140	friend	2	c	attested	saŋgra		
140	friend	3	0q	attested	bondʰu		
141	name	1	l	attested	bimuŋ		
141	name	2	bcmr	attested	muŋ		
141	name	3	0q	attested	nam		
142	village	1	lm	attested	ʃoŋ		
142	village	2	bcr	attested	goŋ		
142	village	3	0q	attested	gram		
