item	gloss	group	site_codes	status	form	visible_base	note
192	to laugh	1	lm	attested	mɨnei̯		
192	to laugh	1	q	attested	mimin		
192	to laugh	1	bcr	attested	mini		
192	to laugh	2	0	attested	haʃa		
193	to speak	1	lm	attested	bal		
193	to speak	1	bcqr	attested	bar		
193	to speak	1	0	attested	bɔla		
194	to tell	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
195	to know	1	bcr	attested	tʰarman		
195	to know	2	lm	attested	tiŋ		
195	to know	3	0q	attested	dʒana		
196	to forget	1	c	attested	wandalai̯		
196	to forget	1	br	ambiguous		wandatlai̯	A small upper-right corner-like modifier is printed after visible `wandat` before `lai̯`; its value is not inferred.
196	to forget	2	lm	attested	awan		
196	to forget	3	0	attested	bʰulɛ dʒawa		
196	to forget	4	q	attested	mon hara		
197	to sleep	1	lm	attested	dʒɨu̯		
197	to sleep	1	bcqr	attested	dʒu		
197	to sleep	2	0	attested	gʰumano		
198	to dream	1	bcr	ambiguous		dʒamuk nuk	Small upper-right corner-like modifiers are printed after visible `dʒamuk` and final `nuk`; their value is not inferred.
198	to dream	1	lm	ambiguous		dʒumaŋ nuk	A small upper-right corner-like modifier is printed after final visible `nuk`; its value is not inferred.
198	to dream	2	0	attested	ʃopno dɛkʰa		
198	to dream	3	q	attested	hopon nukra		
199	to make	1	bclr	attested	banai̯		
199	to make	2	m	attested	tʰari		
199	to make	3	0	attested	kɔra		
199	to make	4	q	attested	tuɛr nak		
