physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
50	49	108	mouth	1	b	Nokshi	target	attested	kʰutʃar			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	1	c	Kholchanda	target	attested	kʰutʃar			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	3	q	Uttor Nokshi	target	attested	hotoŋ			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	1	r	Chandabhoi	target	attested	kʰutʃar			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	1	l	Bharatpur	control	ambiguous		kʰutʃuk	A small upper-right corner-like modifier is printed after visible `kʰutʃuk`; its value is not inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	1	m	Nalchapra	control	ambiguous		kʰutʃuk	A small upper-right corner-like modifier is printed after visible `kʰutʃuk`; its value is not inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	108	mouth	2	0	Bangla	control	attested	muk			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	1	b	Nokshi	target	attested	tʰalai̯			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	1	c	Kholchanda	target	attested	tʰalai̯			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	3	q	Uttor Nokshi	target	attested	dʒibʌ			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	1	r	Chandabhoi	target	attested	tʰalai̯			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	2	l	Bharatpur	control	attested	tʰɛlampa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	2	m	Nalchapra	control	attested	tʰɛlampa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	109	tongue	3	0	Bangla	control	attested	dʒib			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	2	b	Nokshi	target	attested	tʰa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	2	c	Kholchanda	target	attested	tʰa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	4	q	Uttor Nokshi	target	attested	pʰa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	4	r	Chandabhoi	target	attested	pʰa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	1	l	Bharatpur	control	attested	wa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	1	m	Nalchapra	control	attested	wa			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	110	tooth	3	0	Bangla	control	attested	dãt			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	1	b	Nokshi	target	ambiguous		tʃak gilai̯	A small upper-right corner-like modifier is printed after visible `tʃak` before `gilai̯`; its value is not inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	1	c	Kholchanda	target	attested	tʃa gilai̯			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	1	q	Uttor Nokshi	target	attested	tʃa gilʌ			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	1	r	Chandabhoi	target	ambiguous		tʃak gilai̯	A small upper-right corner-like modifier is printed after visible `tʃak` before `gilai̯`; its value is not inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	2	l	Bharatpur	control	ambiguous		tʃaktʃuk	Small upper-right corner-like modifiers are printed after both visible `k` segments; neither value is inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	3	m	Nalchapra	control	ambiguous		tʃakwɛŋ	A small upper-right corner-like modifier is printed after visible `tʃak` before `wɛŋ`; its value is not inferred.	ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
50	49	111	elbow	4	0	Bangla	control	attested	konui̯			ebc2715bc94dc8921ad61aa1d062fb79fd50df2fe6a102961d98817924dd7ba1
