item	gloss	group	site_codes	status	form	visible_base	note
230	six	1	m	ambiguous		(go)korok	A small upper-right corner-like modifier is printed after final visible `(go)korok`; its value is not inferred.
230	six	1	l	ambiguous		(miŋ)korok	A small upper-right corner-like modifier is printed after final visible `(miŋ)korok`; its value is not inferred.
230	six	2	0bcqr	attested	tʃʰoi̯		
231	seven	1	m	attested	(go)ʃini		
231	seven	1	l	attested	(miŋ)ʃɛnɛ		
231	seven	2	0bcqr	attested	ʃat		
232	eight	1	l	ambiguous		(miŋ)tʃakik	A small upper-right corner-like modifier is printed after final visible `(miŋ)tʃakik`; its value is not inferred.
232	eight	2	m	attested	gandanii̯		
232	eight	3	0bcqr	attested	aʈ		
233	nine	1	l	attested	(miŋ)skʰu		
233	nine	2	0bcqr	attested	nɔi̯		
233	nine	3	m	attested	gandanii̯ goi̯ʃa		
234	ten	1	l	ambiguous		(miŋ)tʃɛgik	A small upper-right corner-like modifier is printed after final visible `(miŋ)tʃɛgik`; its value is not inferred.
234	ten	1	m	ambiguous		tʃei̯gik	A small upper-right corner-like modifier is printed after final visible `tʃei̯gik`; its value is not inferred.
234	ten	2	0bcqr	attested	doʃ		
235	eleven	1	l	attested	(miŋ)tʃiʃa		
235	eleven	2	0bcqr	attested	ægaro		
235	eleven	3	m	ambiguous		tʃei̯gik ʃa	A small upper-right corner-like modifier is printed after visible `tʃei̯gik` before `ʃa`; its value is not inferred.
236	twelve	1	l	attested	(miŋ)tʃini		
236	twelve	2	0bcqr	attested	baro		
236	twelve	3	m	ambiguous		tʃei̯gik nii̯	A small upper-right corner-like modifier is printed after visible `tʃei̯gik` before `nii̯`; its value is not inferred.
237	twenty	1	l	ambiguous		(miŋ)kʰolgik	A small upper-right corner-like modifier is printed after final visible `(miŋ)kʰolgik`; its value is not inferred.
237	twenty	2	0bcqr	attested	biʃ		
237	twenty	3	m	attested	kʰoltʃaŋʃa		
