item	gloss	group	site_codes	status	form	visible_base	note
168	candle	1	0bclmqr	attested	mombati		
169	boat	1	lm	attested	ruŋ		
169	boat	2	bcq	attested	nau̯ka		
169	boat	2	0r	attested	nou̯ka		
170	road	1	bcqr	attested	lam		
170	road	1	lm	attested	ram		
170	road	2	0	attested	rasta / ʃorok		Source prints both alternatives on one response line separated by a slash.
171	path	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
172	to go	1	bcqr	attested	lai̯		
172	to go	2	lm	attested	rɛʔɛŋ		
172	to go	3	0	attested	dʒawa		
173	to come	1	bcqr	attested	pʰai̯na		
173	to come	1	l	attested	pʰina		
173	to come	2	m	attested	hi		
173	to come	3	0	attested	aʃa		
174	to stand	1	bclmqr	ambiguous		tʃap	A small upper-right corner-like modifier is printed after final visible `tʃap`; its value is not inferred.
174	to stand	2	0	attested	darano		
175	to sit	1	q	attested	moʃoŋ		
175	to sit	2	bclr	attested	nu		
175	to sit	3	m	attested	mu		
175	to sit	4	0	attested	bɔʃa		
176	to lie down	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
