item	gloss	group	site_codes	status	form	visible_base	note
184	to wait	1	bclmr	attested	ʃam		
184	to wait	1	q	attested	sam		
184	to wait	2	0	attested	opɛkkʰa kɔra		
185	to cry	1	bcr	ambiguous		kʰɛt	A small upper-right corner-like modifier is printed after final visible `kʰɛt`; its value is not inferred.
185	to cry	2	lm	ambiguous		kʰɛp	A small upper-right corner-like modifier is printed after final visible `kʰɛp`; its value is not inferred.
185	to cry	3	0	attested	kãda		
185	to cry	4	q	attested	hɛp		
186	to cook	1	bcqr	attested	lum		
186	to cook	1	lm	attested	rɨm		
186	to cook	2	0	attested	ranna kɔra		
187	to boil (water)	1	bclmr	ambiguous		rot	A small upper-right corner-like modifier is printed after final visible `rot`; its value is not inferred.
187	to boil (water)	2	0	attested	ʃiddʰo kɔra		
187	to boil (water)	3	q	attested	rok		
188	to eat	1	bcr	attested	ʃaʔ		
188	to eat	1	m	ambiguous		ʃat	A small upper-right corner-like modifier is printed after final visible `ʃat`; its value is not inferred.
188	to eat	1	lq	attested	saʔ		
188	to eat	2	0	attested	kʰawa		
189	to drink	1	lm	attested	riŋ		
189	to drink	2	bcr	attested	niŋ		
189	to drink	3	0	attested	pani kʰawa		
189	to drink	4	q	attested	sa		
190	to sing	1	lm	attested	riŋʔ		
190	to sing	2	bcr	attested	gai̯		
190	to sing	3	0	attested	gan gawa		
190	to sing	4	q	attested	ganluŋ		
191	to bite	1	bc	ambiguous		kat	A small upper-right corner-like modifier is printed after final visible `kat`; its value is not inferred.
191	to bite	2	lmqr	ambiguous		kak	A small upper-right corner-like modifier is printed after final visible `kak`; its value is not inferred.
191	to bite	3	0	attested	kamrano		
