physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
48	47	90	duck	1	b	Nokshi	target	attested	haŋsu			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	1	c	Kholchanda	target	attested	haŋsu			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	4	q	Uttor Nokshi	target	attested	hantʃuk			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	1	r	Chandabhoi	target	attested	haŋsu			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	2	l	Bharatpur	control	ambiguous		dao̯gɛt	A small upper-right corner-like modifier is printed after visible `dao̯gɛt`; its value is not inferred.	3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	2	m	Nalchapra	control	ambiguous		dao̯gɛp	A small upper-right corner-like modifier is printed after visible `dao̯gɛp`; its value is not inferred.	3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	90	duck	3	0	Bangla	control	attested	haʃ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	b	Nokshi	target	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	c	Kholchanda	target	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	q	Uttor Nokshi	target	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	r	Chandabhoi	target	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	l	Bharatpur	control	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	1	m	Nalchapra	control	attested	tau̯			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	91	bird	2	0	Bangla	control	attested	pakʰi			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	b	Nokshi	target	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	c	Kholchanda	target	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	q	Uttor Nokshi	target	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	r	Chandabhoi	target	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	l	Bharatpur	control	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	1	m	Nalchapra	control	attested	tʃoŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	92	insect	2	0	Bangla	control	attested	poka			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	2	b	Nokshi	target	attested	atʃɛp			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	2	c	Kholchanda	target	attested	atʃɛp			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	3	q	Uttor Nokshi	target	attested	tɛltʃora			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	2	r	Chandabhoi	target	attested	atʃɛp			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	1	l	Bharatpur	control	attested	saluŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	1	m	Nalchapra	control	attested	saluŋ			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	4	m	Nalchapra	control	attested	tɛlapoka			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
48	47	93	cockroach	4	0	Bangla	control	attested	tɛlapoka			3ccaccce8cecc40c2f08a24ea4d6f061759496738e680af5f0ff25d9c032236c
