item	gloss	group	site_codes	status	form	visible_base	note
292	who	1	bclmqr	attested	tʃaŋ		
292	who	2	0	attested	kɛ		
293	what	1	bcr	attested	bita		
293	what	2	0	attested	ki		
293	what	3	q	attested	ata		
293	what	3	lm	attested	atoŋ		
294	how many	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
295	this thing	1	lm	attested	i̯jɛ		
295	this thing	2	bcr	attested	idʒa		
295	this thing	3	0	attested	eta		
295	this thing	4	q	attested	ja.a		
296	that thing	1	q	attested	hoa		
296	that thing	2	bcr	attested	udʒa		
296	that thing	3	0	attested	ota		
296	that thing	4	lm	attested	uwɛ		
297	these things	1	bcr	attested	idʒoroŋ		
297	these things	2	0	attested	ɛgulo		
297	these things	3	lm	attested	iraŋ		
297	these things	3	q	attested	ɛtaŋ		
298	those things	1	bcr	attested	udʒoroŋ		
298	those things	2	q	attested	otaŋ		
298	those things	2	lm	attested	uraŋ		
298	those things	3	0	attested	ogulo		
299	1s	1	bclmqr	attested	aŋ		
299	1s	2	0	attested	ami		
300	2s (familiar)	1	bclmqr	attested	naŋ		
300	2s (familiar)	2	0	attested	tumi		
