item	gloss	group	site_codes	status	form	visible_base	note
72	rabbit	0	l	blank			Printed `no entry`.
72	rabbit	1	0m	attested	kʰorgoʃ		
72	rabbit	2	bcqr	attested	hedʒabari		
73	snake	1	lm	attested	dipiu̯		
73	snake	1	cq	ambiguous		dupu	A small upper-right corner-like modifier is printed between visible `p` and `u`; its value is not inferred.
73	snake	1	br	attested	dupʰu		
73	snake	2	0	attested	ʃap		
74	crocodile	1	m	attested	ariŋga		
74	crocodile	1	l	attested	hariŋga		
74	crocodile	2	0bcqr	attested	kumir		
75	house lizard	0	l	blank			Printed `no entry`.
75	house lizard	1	bcr	attested	nok dabrɛk		
75	house lizard	2	m	attested	toktokkorot		
75	house lizard	3	0	attested	tiktikki		
75	house lizard	4	q	attested	nok diba		
76	turtle	1	bcr	attested	kaʃin		
76	turtle	2	m	attested	katʰua̯		
76	turtle	3	l	attested	kʰuʃum		
76	turtle	4	0	attested	kɔttʃʰop		
76	turtle	5	q	attested	dura		
