item	gloss	group	site_codes	status	form	visible_base	note
122	sweat	0	b	blank			Source explicitly prints `no entry` for this site.
122	sweat	1	cr	attested	ramti		
122	sweat	2	m	attested	tuŋgoa̯		
122	sweat	2	l	ambiguous		tuŋok	A small upper-right corner-like modifier is printed after final visible `tuŋok`; its value is not inferred.
122	sweat	3	0q	attested	gʰam		
123	belly	1	bcr	ambiguous		hok	A small upper-right corner-like modifier is printed after final visible `hok`; its value is not inferred.
123	belly	2	0	attested	pɛt		
123	belly	3	l	attested	pipʰuʔ		
123	belly	3	m	ambiguous		pipuk	A small upper-right corner-like modifier is printed after final visible `pipuk`; its value is not inferred.
123	belly	4	q	attested	ok		
124	heart (organ)	0	bqr	blank			Source explicitly prints `no entry` for these sites.
124	heart (organ)	1	l	attested	pikʰa		Site `l` has a second separately printed attestation at group 3.
124	heart (organ)	2	c	ambiguous		pʰoktʃa	A small upper-right corner-like modifier is printed after visible `pʰok` before `tʃa`; its value is not inferred.
124	heart (organ)	3	lm	attested	dʒaŋgi		Site `l` also has the separately printed group-1 response `pikʰa`.
124	heart (organ)	4	0	attested	ridoi̯		
125	back	1	bcr	attested	kundu		
125	back	2	lm	attested	kin		
125	back	3	0	attested	pitʰ		
125	back	4	q	attested	huŋdʒuŋ		
126	body	1	bcqr	attested	kan		
126	body	2	lm	attested	randai̯		
126	body	3	0	attested	ga		
127	person	1	m	attested	mandi		
127	person	2	bclqr	ambiguous		morot	A small upper-right corner-like modifier is printed after final visible `morot`; its value is not inferred.
127	person	3	0	attested	lok		
128	man	1	cr	attested	purʃi		
128	man	1	b	attested	puʃi		
128	man	2	lm	attested	bipʰa		
128	man	3	0	attested	puruʃ		
128	man	4	q	attested	maʔwa		
