physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
57	56	222	to die	1	b	Nokshi	target	attested	tʰi			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	1	c	Kholchanda	target	attested	tʰi			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	1	q	Uttor Nokshi	target	attested	tʰi			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	1	r	Chandabhoi	target	attested	tʰi			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	1	l	Bharatpur	control	attested	tʰii̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	1	m	Nalchapra	control	attested	tʰii̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	222	to die	2	0	Bangla	control	attested	mara dʒawa			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	2	b	Nokshi	target	attested	milai̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	4	c	Kholchanda	target	attested	pɛn			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	4	q	Uttor Nokshi	target	attested	pɛn			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	2	r	Chandabhoi	target	attested	milai̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	1	l	Bharatpur	control	ambiguous		namnuk	A small upper-right corner-like modifier is printed after final visible `namnuk`; its value is not inferred.	3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	1	m	Nalchapra	control	ambiguous		nɛmnuk	A small upper-right corner-like modifier is printed after final visible `nɛmnuk`; its value is not inferred.	3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	223	to love	3	0	Bangla	control	attested	bʰalobaʃa			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	1	b	Nokshi	target	attested	ʃini			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	1	c	Kholchanda	target	attested	ʃini			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	2	q	Uttor Nokshi	target	attested	kantʃik			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	1	r	Chandabhoi	target	attested	ʃini			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	0	l	Bharatpur	control	blank			Source explicitly prints `no entry` for this site.	3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	3	m	Nalchapra	control	attested	kubiʃi			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	224	to hate	4	0	Bangla	control	attested	gʰrina kɔra			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	1	b	Nokshi	target	ambiguous		(got)ʃa	A small upper-right corner-like modifier is printed after visible `t` inside the parenthesized prefix; its value is not inferred.	3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	1	c	Kholchanda	target	attested	(gon)ʃa			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	2	q	Uttor Nokshi	target	attested	ek			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	2	r	Chandabhoi	target	attested	ek			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	1	l	Bharatpur	control	attested	(miŋ)ʃa			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	1	m	Nalchapra	control	attested	(go)ʃa			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	225	one	2	0	Bangla	control	attested	ek			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	226	two	3	b	Nokshi	target	attested	dui̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	226	two	3	c	Kholchanda	target	attested	dui̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
57	56	226	two	3	q	Uttor Nokshi	target	attested	dui̯			3d6d46e7392c8b0c2a87871aa3b2aa0e6f548813aa4cad0ff7831d1baa3071e0
