item	gloss	group	site_codes	status	form	visible_base	note
143	house	1	bclmqr	ambiguous		nok	A small upper-right corner-like modifier is printed after final visible `nok`; its value is not inferred.
143	house	2	0	attested	bari / gʰor		Source prints both alternatives on one response line separated by a slash.
144	door	1	lm	attested	dokor		Repeated source response at groups 1 and 3.
144	door	1	bcr	attested	dukat		
144	door	2	0	attested	dɔrdʒa		
144	door	3	q	attested	duar		
144	door	3	lm	attested	dokor		Repeated source response at groups 1 and 3.
145	window	0	r	blank			Source explicitly prints `no entry` for this site.
145	window	1	c	attested	kʰokai̯ duar		
145	window	1	b	ambiguous		kʰokai̯ dukat	A small upper-right corner-like modifier is printed after final visible `dukat`; its value is not inferred.
145	window	2	lm	attested	kɛlki		
145	window	3	q	attested	kokri dʰonda		
145	window	4	0	attested	dʒanala		
146	roof	1	b	attested	nukʰaraŋ		
146	roof	1	r	attested	nukʰraŋ		Repeated source response at groups 1 and 3.
146	roof	1	c	attested	nukʰuraŋ		Site `c` has a second separately printed attestation at group 3.
146	roof	2	q	attested	tʃal		
146	roof	2	0	attested	tʃʰad / tʃal		Source prints both alternatives on one response line separated by a slash.
146	roof	3	lm	attested	nukʰuŋ		
146	roof	3	c	attested	nukʰuraŋ		Site `c` also has the separately printed group-1 response `nukʰuraŋ`.
146	roof	3	r	attested	nukʰraŋ		Repeated source response at groups 1 and 3.
147	wall (of house)	1	bcl	attested	bɛra		
147	wall (of house)	2	q	attested	dolan		
147	wall (of house)	3	0m	attested	dɛal		
147	wall (of house)	4	r	attested	kʰadʒa		
148	pillow	1	0lmqr	attested	baliʃ		
148	pillow	1	b	attested	balus		
148	pillow	1	c	attested	baluʃ		
149	blanket	1	0bclmqr	attested	kɔmbol		
