item	gloss	group	site_codes	status	form	visible_base	note
119	fat	0	bl	blank			Source explicitly prints `no entry` for these sites.
119	fat	1	c	ambiguous		hokpɛkɛn	A small upper-right corner-like modifier is printed after visible `hok` before `pɛkɛn`; its value is not inferred.
119	fat	2	qr	attested	tɛl		
119	fat	3	m	attested	ludi		
119	fat	4	0	attested	tʃorbi		
120	skin	1	bcr	ambiguous		kʰopak	A small upper-right corner-like modifier is printed after final visible `kʰopak`; its value is not inferred.
120	skin	2	lm	attested	kʰol		
120	skin	3	0q	attested	tʃamra		
121	blood	1	lm	attested	tʰɨi̯		
121	blood	1	bcqr	attested	tʰi		
121	blood	2	0	attested	rɔkto		
