item	gloss	group	site_codes	status	form	visible_base	note
283	right	1	bclmr	attested	dʒagara		
283	right	2	0	attested	ɖan		
283	right	3	q	attested	mai̯		
284	left	1	lm	attested	dʒagiʃi		
284	left	2	bcqr	attested	dɛbara		
284	left	3	0	attested	bam		
285	black	1	bcr	ambiguous		pinak	A small upper-right corner-like modifier is printed after visible final `k`; its value is not inferred.
285	black	2	lm	attested	naka		
285	black	2	q	attested	nɛka		
285	black	3	0	attested	kalo		
286	white	1	lmq	ambiguous		boka/gippok	Small upper-right corner-like modifiers are printed after visible `p` and final `k`; their values are not inferred.
286	white	2	bcr	ambiguous		pɛbok	A small upper-right corner-like modifier is printed after visible final `k`; its value is not inferred.
286	white	3	0	attested	ʃada		
287	red	1	bcr	attested	ʃakraŋ		
287	red	2	lm	attested	saka		
287	red	3	0	attested	lal		
287	red	4	q	attested	raŋa		
288	green	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
289	yellow	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
290	when (near future)	1	lm	attested	biba		
290	when (near future)	1	bcr	attested	bibala		
290	when (near future)	2	0	attested	kɔkʰon		
290	when (near future)	3	q	attested	biʃumai̯		
291	where	1	bc	attested	bɛʃoŋ		
291	where	1	lm	attested	biʃaŋ		
291	where	1	r	attested	biʃoŋ		
291	where	1	q	attested	biaŋ		
291	where	2	0	attested	kotʰai̯		
