physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
53	52	150	ring (on finger)	1	b	Nokshi	target	attested	antʰi			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	c	Kholchanda	target	attested	antʰi			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	q	Uttor Nokshi	target	attested	antʰi			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	r	Chandabhoi	target	attested	aŋti			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	l	Bharatpur	control	attested	aŋti			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	m	Nalchapra	control	attested	aŋti			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	150	ring (on finger)	1	0	Bangla	control	attested	aŋti			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	2	b	Nokshi	target	attested	soka			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	2	c	Kholchanda	target	attested	soka			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	2	q	Uttor Nokshi	target	attested	ʃoka			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	2	r	Chandabhoi	target	attested	ʃoka			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	3	l	Bharatpur	control	attested	tʃola			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	1	m	Nalchapra	control	attested	bara			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	151	clothing	4	0	Bangla	control	attested	poʃak			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
