item	gloss	group	site_codes	status	form	visible_base	note
94	bee	1	cr	attested	nija (tʃoŋ)		Parenthetical source component retained literally.
94	bee	1	br	attested	nijatʃoŋ		
94	bee	2	lq	attested	nɛ		
94	bee	3	m	attested	mɛ		
94	bee	4	0	attested	mou̯matʃʰi		
95	fly	1	bcr	attested	mai̯ paratʃoŋ		
95	fly	2	lm	attested	sot		
95	fly	3	0	attested	matʃʰi		
95	fly	4	q	attested	tʃoŋ		
96	spider	1	lm	attested	gawaŋ		
96	spider	2	bcr	ambiguous		abrɛk	A small upper-right corner-like modifier is printed after visible `abrɛk`; its value is not inferred.
96	spider	3	0	attested	makorʃa		
96	spider	4	q	attested	makrɛk		
97	ant	1	c	attested	ʃɛmar		
97	ant	1	q	attested	ʃimer		
97	ant	1	lm	attested	samal		
97	ant	1	b	attested	sɛmal		
97	ant	1	r	attested	sɛmar		
97	ant	2	0	attested	pipra		
