item	gloss	group	site_codes	status	form	visible_base	note
57	betelnut	1	lm	attested	gawai̯		
57	betelnut	1	bcr	attested	goja		Repeated source response under groups 1 and 2 for the same sites.
57	betelnut	2	bcr	attested	goja		Repeated source response under groups 1 and 2 for the same sites.
57	betelnut	2	q	attested	goi		
57	betelnut	3	0	attested	ʃupari		
58	lime for betelnut	1	0lmq	attested	tʃun		
58	lime for betelnut	1	bcr	attested	tʃunu		
59	liquor	1	lm	attested	tʃi̯u		
59	liquor	2	bcr	attested	mɛra		
59	liquor	3	0	attested	mɔd		
59	liquor	4	q	attested	tʃokot		
60	milk	1	0bclmqr	attested	dudʰ		
61	oil	1	0bclmqr	attested	tɛl		
