item	gloss	group	site_codes	status	form	visible_base	note
214	to burn	1	bcmr	attested	ʃau̯		
214	to burn	2	0	attested	porano		
214	to burn	3	lq	attested	sau̯		
215	to buy	1	bcr	attested	pɛra		
215	to buy	2	lm	attested	ra		
215	to buy	3	0	attested	kena		
215	to buy	3	q	attested	kinnai̯		
216	to sell	1	bclmqr	attested	pʰal		
216	to sell	2	0	attested	bikri kɔra		
217	to steal	1	bcr	attested	tʃora		
217	to steal	1	q	attested	tʃur		
217	to steal	2	lm	attested	ʃakʰau̯		
217	to steal	3	0	attested	tʃuri kɔra		
218	to lie, fib	1	bc	attested	boja bar		
218	to lie, fib	2	lm	attested	tʰolai̯ (bal)		
218	to lie, fib	3	0	attested	mittʰa bɔla		
218	to lie, fib	4	q	attested	pʰat		
218	to lie, fib	5	r	attested	malam bar		
219	to take	1	bc	ambiguous		nak	A small upper-right corner-like modifier is printed after final visible `nak`; its value is not inferred.
219	to take	2	lm	attested	ra		
219	to take	3	0	attested	nɛa		
219	to take	4	qr	attested	laŋ		
220	to give	1	l	attested	hin		
220	to give	2	q	attested	laha		
220	to give	2	bcr	attested	lakʰa		
220	to give	3	0	attested	dɛa		
220	to give	4	m	ambiguous		hut	A small upper-right corner-like modifier is printed after final visible `hut`; its value is not inferred.
221	to kill	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
