item	gloss	group	site_codes	status	form	visible_base	note
222	to die	1	lm	attested	tʰii̯		
222	to die	1	bcqr	attested	tʰi		
222	to die	2	0	attested	mara dʒawa		
223	to love	1	l	ambiguous		namnuk	A small upper-right corner-like modifier is printed after final visible `namnuk`; its value is not inferred.
223	to love	1	m	ambiguous		nɛmnuk	A small upper-right corner-like modifier is printed after final visible `nɛmnuk`; its value is not inferred.
223	to love	2	br	attested	milai̯		
223	to love	3	0	attested	bʰalobaʃa		
223	to love	4	cq	attested	pɛn		
224	to hate	0	l	blank			Source explicitly prints `no entry` for this site.
224	to hate	1	bcr	attested	ʃini		
224	to hate	2	q	attested	kantʃik		
224	to hate	3	m	attested	kubiʃi		
224	to hate	4	0	attested	gʰrina kɔra		
225	one	1	c	attested	(gon)ʃa		
225	one	1	m	attested	(go)ʃa		
225	one	1	b	ambiguous		(got)ʃa	A small upper-right corner-like modifier is printed after visible `t` inside the parenthesized prefix; its value is not inferred.
225	one	1	l	attested	(miŋ)ʃa		
225	one	2	0qr	attested	ek		
226	two	1	m	attested	(go)ni		
226	two	2	l	attested	(miŋ)nii̯ ʃa		
226	two	3	0bcqr	attested	dui̯		
227	three	1	m	attested	(go)tʰam		
227	three	1	l	attested	(miŋ)tʰam		
227	three	2	0bcqr	attested	tin		
228	four	1	m	attested	(go)bri		
228	four	1	l	attested	(miŋ)bri		
228	four	2	0bcqr	attested	tʃar		
